"","ECP_RS00190","ECP_RS00370","ECP_RS00740","ECP_RS01615","ECP_RS24385","ECP_RS01770","ECP_RS02230","ECP_RS24500","ECP_RS03475","ECP_RS03935","ECP_RS03970","ECP_RS05115","ECP_RS05335","ECP_RS07085","ECP_RS11530","ECP_RS12160","ECP_RS12300","ECP_RS12465","ECP_RS15645","ECP_RS15660","ECP_RS15840","ECP_RS16300","ECP_RS16470","ECP_RS19550","ECP_RS21650","ECP_RS25825","ECP_RS22145","ECP_RS22165","ECP_RS22915","ECP_RS23765"
"UPEC_Oss_2 (GE) - TPM",0.532079819754018,0.590846463163773,0.635707755139486,1.32932757319638,1.05779595777875,0.816894049337904,0.60659445297157,0.588642852548691,0.389863429830759,0.849535220532965,0.798218275807328,-0.294010766006826,0.61336636086877,0.762926834718338,0.295176336036691,0.79718922404855,0.180431067270029,-0.319105655903033,1.32448491768998,0.609963176771048,0.977864849149314,-0.262147737298145,1.44276240418388,-0.56594780685608,2.46224945276896,0.381214706205701,-0.29541879395674,-0.0409866497535619,0.106939072787061,1.09664121112843
"UPEC_Oss_3 (GE) - TPM",1.38025764700382,0.862646214624882,1.51300969275538,0.702544900415682,-0.280413481943207,-0.0862364080173371,1.54070517686789,1.90814428703962,2.54991593441752,0.087720436512664,-0.0299702726920319,-0.294010766006826,1.65067088390804,2.00173051828444,-0.549321050557607,0.788420972110369,-0.570895445901754,0.109101594598678,2.07244341184233,0.814774672899081,0.726351218156906,-0.697104075891726,0.0165089060979262,1.33450478577891,-0.511941548278683,0.46584444319475,-0.901118703262995,-0.121990581558279,-0.808519396337109,-0.267970259473669
"UPEC_Oxs_1 (GE) - TPM",0.141971863518113,0.303063813633931,-0.398772726800205,-0.536983773284541,-0.280413481943207,1.03725898883152,-0.467358233002794,-0.0163503143393576,-0.402888352750523,-0.399054780414673,0.144254767268356,-0.0641413052970704,-0.703208322177273,-0.322179291972971,0.27498654570327,-0.505162080652472,-0.163470889243644,-0.525485677837833,-0.548500966956194,-0.397737492321101,-0.445747448765341,-0.456591504303748,-0.64245274352091,0.70216980877997,-0.511941548278683,0.391674532355272,0.412701653840465,-0.441673523448195,-0.73214570588317,-0.267970259473669
"UPEC_Oxs_2 (GE) - TPM",0.161591648512828,0.211122908707437,-0.883318559961233,-0.507882752209499,-0.280413481943207,0.563330831851705,-0.174779652203903,0.108015401368575,-0.402888352750523,-0.49299250786559,-0.344162621541456,0.289069411587429,-0.341014546856498,-0.438638082479142,-0.549321050557607,-0.107072213865932,-0.570895445901754,-0.229452643486443,-1.00855383950364,-0.369270750908666,-0.279506125816353,1.10604666173265,-0.255919718310694,0.018901320582603,-0.00056082221383736,0.733151529634114,-0.0679690926235187,-0.294764267382645,-0.808519396337109,-0.267970259473669
"UPEC_Oxs_3 (GE) - TPM",-0.433911508645264,0.338784426098734,0.443855247461255,-0.135729835654718,-0.280413481943207,0.0902144285218882,0.182356739750993,-0.083130733247765,-0.402888352750523,-0.49299250786559,0.849965903608245,0.0994978386339421,-0.214334329586115,-0.14215133309755,0.548212458956061,0.0321629530749137,0.824027292027527,0.162445206848376,-0.319443516111255,0.0746963306187843,0.0498487906912658,-0.305419468346602,-0.345719898165167,-0.368596590893198,-0.511941548278683,0.269971089176524,0.504569371840799,-0.28267944766259,-0.808519396337109,-0.267970259473669
"UPEC_Sp_1 (GE) - TPM",-1.19924495229339,-1.22384385211908,-0.0416232431573155,-0.871087327425214,-0.280413481943207,-1.16838220618427,-1.44000836773412,-0.479907779531452,-0.402888352750523,0.322894656392977,-0.847081623465325,-0.294010766006826,0.536969710008423,0.0369388272317277,-0.549321050557607,-0.505162080652472,-0.570895445901754,0.00437984734555681,-1.00855383950364,-0.724558994719206,-0.579452736018885,-0.865714281284138,0.0981233651595124,-0.56594780685608,-0.511941548278683,0.353812499435211,-0.901118703262995,0.529098942008267,-0.808519396337109,-0.267970259473669
"UPEC_Sp_2 (GE) - TPM",-1.19924495229339,-1.18906472270314,-0.883318559961233,-0.871087327425214,-0.280413481943207,-1.16838220618427,-1.44000836773412,-0.479907779531452,-0.402888352750523,-0.49299250786559,-0.847081623465325,-0.294010766006826,-0.703208322177273,0.303978874164756,-0.549321050557607,-0.505162080652472,-0.570895445901754,-0.557852161483087,-1.00855383950364,-0.724558994719206,-1.14192831073764,-0.865714281284138,-1.50242966594907,-0.56594780685608,-0.511941548278683,-0.69148893501127,-0.901118703262995,0.702857245191186,-0.808519396337109,-0.267970259473669
"UPEC_Sp_3 (GE) - TPM",-1.19924495229339,-0.761306379436328,-0.883318559961233,-0.871087327425214,-0.280413481943207,-1.16838220618427,-1.44000836773412,-0.479907779531452,-0.402888352750523,-0.49299250786559,-0.847081623465325,-0.294010766006826,-0.703208322177273,-0.809395978744821,-0.549321050557607,-0.505162080652472,-0.570895445901754,-0.557852161483087,-1.00855383950364,0.961153523062854,-0.265097476898931,-0.865714281284138,-0.393510995995792,-0.56594780685608,-0.511941548278683,-0.69148893501127,-0.901118703262995,1.43360265399056,-0.808519396337109,-0.267970259473669
"UPEC_Tm_1 (GE) - TPM",0.723046171762304,-0.600004081138363,-0.288056443545817,0.54592356500518,-0.280413481943207,-0.576997084161435,0.474888737640972,0.11329848335586,-0.402888352750523,-0.204487445373425,0.573745435320988,-0.0586828703831042,-0.410849560865622,0.337811910846458,-0.174262631098128,-0.505162080652472,1.09750127651048,0.00544371985768984,0.11001700589855,0.0879976361208333,-0.147446119793417,-0.0280388281908159,0.950106969601169,0.142177696287503,0.520010446074761,-0.116512017397009,-0.39673692385758,0.399550899288914,0.129727546767751,-0.267970259473669
"UPEC_Tm_2 (GE) - TPM",0.535124205712434,-0.626342389923833,1.15307059780734,-0.639637492524838,-0.280413481943207,0.529345885679877,1.2609594651508,-0.292582601902464,-0.402888352750523,-0.417071385957154,-0.847081623465325,-0.294010766006826,-0.472402612992251,0.056902205599802,-0.253227223673889,-0.505162080652472,-0.570895445901754,0.069959430724394,-0.0790090417856742,0.0301250133028333,-0.461504445317954,-0.535058418203286,0.284814267368274,1.48385508012425,-0.511941548278683,0.151508313094113,0.160720012334964,0.128469020107939,1.16670447114347,-0.267970259473669
"UPEC_Tm_3 (GE) - TPM",-0.483452071335148,-0.734657027813115,1.59921129974756,0.198757350779194,-0.280413481943207,-0.663899289859534,0.516572325041267,-0.479907779531452,-0.402888352750523,-0.192191225214458,0.740114843203178,-0.294010766006826,-0.245979480780761,0.0486774992408619,-0.549321050557607,-0.00261846775554198,0.0814187666464517,-0.0914638385934034,-0.271978141524181,-0.575055199567001,-0.00137407762137303,0.116835485825364,0.464543325035143,0.356934870063135,-0.189161267858646,-0.62725864559077,0.413578211107293,0.678899958118002,-0.441681097183158,-0.267970259473669
"UPEC_Vic_1 (GE) - TPM",-0.182057315510114,-0.540015139486938,0.219129660942581,-0.0566312716390614,-0.280413481943207,-0.570963363288294,-0.0214232785146917,-0.479907779531452,1.22726252315431,-0.49299250786559,-0.847081623465325,-0.294010766006826,-0.703208322177273,0.0219977713438213,-0.549321050557607,-0.505162080652472,-0.570895445901754,-0.557852161483087,-0.354352992734133,0.337713459948423,-0.681473541468523,-0.167581132388938,-1.50242966594907,0.0897899591646872,-0.511941548278683,0.449453125221248,0.0330156554484878,-0.274357336728305,-0.374102084789975,-0.267970259473669
"UPEC_Vic_2 (GE) - TPM",-1.19924495229339,-0.617487101439948,0.800337812971364,-0.456475525868755,-0.280413481943207,-0.256005531091605,-0.35677843403766,-0.479907779531452,-0.402888352750523,-0.0849845280947223,-0.847081623465325,-0.294010766006826,-0.703208322177273,-0.386161774594119,-0.549321050557607,-0.505162080652472,-0.570895445901754,0.0044686010352902,-0.509006829667268,0.0865910230735584,-0.157440668677544,0.200473049115817,-0.435225870247949,-0.56594780685608,-0.511941548278683,0.35397751028369,0.525489128893692,0.153306658508271,0.518362830511508,-0.267970259473669
"UPEC_Vic_3 (GE) - TPM",1.4846481190631,-0.635687429318901,0.0863003625958084,0.0840136175999588,-0.280413481943207,-0.642943819407976,-0.192342563702973,-0.479907779531452,-0.402888352750523,0.446895854539788,-0.847081623465325,-0.294010766006826,-0.703208322177273,-0.321914210409686,-0.549321050557607,-0.505162080652472,-0.570895445901754,-0.557852161483087,-0.433174871232376,-0.724558994719206,1.28793088207907,1.18101256632516,-0.887826228287314,0.587513614955659,-0.511941548278683,0.51268082868363,0.742050260360975,0.052589837183152,-0.0443669627052884,-0.267970259473669
