"","OG1RF_RS00960","OG1RF_RS01420","OG1RF_RS01975","OG1RF_RS02160","OG1RF_RS02415","OG1RF_RS02420","OG1RF_RS02425","OG1RF_RS13430","OG1RF_RS05445","OG1RF_RS05470","OG1RF_RS05475","OG1RF_RS05480","OG1RF_RS05485","OG1RF_RS05490","OG1RF_RS05495","OG1RF_RS05500","OG1RF_RS05505","OG1RF_RS05510","OG1RF_RS05515","OG1RF_RS06370","OG1RF_RS06375","OG1RF_RS06805","OG1RF_RS06810","OG1RF_RS06815","OG1RF_RS06820","OG1RF_RS09005","OG1RF_RS09010","OG1RF_RS09025","OG1RF_RS13570","OG1RF_RS10845","OG1RF_RS11010","OG1RF_RS11520","OG1RF_RS11690","OG1RF_RS11750","OG1RF_RS11755","OG1RF_RS12415","OG1RF_RS13075","OG1RF_RS13080","OG1RF_RS13090"
"ENTFA_Ns_3 (GE) - TPM",0.218936413880647,0.524278777811337,0.282043832756059,0.28525306268963,-0.00860834804282485,0.00287714326270939,0.0376457138594471,1.2715109956385,0.330713140404799,0.397247901872358,0.466838368417843,0.560768859400546,0.219391561328646,0.463238680117436,0.343387197674026,0.400046311721996,0.471496603103365,0.315739173797508,0.35598985656389,-0.0553320860074333,0.105834740894901,0.0797625761508708,-0.0565646338635127,-0.195214274873967,-0.00311694394197658,-0.0889234428558424,-0.00457775656132446,0.0529789660169061,-0.21397869889597,0.0347504436385319,1.18622897031842,0.453509785824944,0.468390320228278,1.02684077513384,0.599283955270668,0.0573544159220363,0.153786128238067,0.015526358176036,-0.0998568629842243
"ENTFA_Oss_1 (GE) - TPM",0.251997158926871,0.615083962230884,-0.59398375247618,-0.0177305163564779,0.172981692959503,-0.0889568704610692,-0.172046913885065,0.293388765061722,1.37647141499162,-0.0836959659830795,-0.183646449574522,-0.00243041734064764,0.211459607352757,0.0946063863889039,-0.0181580692235703,0.0405167764517458,-0.0251977082909602,0.0566481163860668,-0.0804466923824647,0.164526487542186,0.0293432800308211,-0.162330636326936,-0.0460863129106472,1.46609263310686,1.63763973387835,0.0702897917782892,-0.306248023964357,0.274389158192306,-0.134798757436923,2.6729173707224,-1.00766854500379,-0.511503372597056,-0.313713023861018,-0.74391551976088,-0.677939185871946,1.00640496533239,0.725306724569538,0.16161994968109,-0.421651480505261
"ENTFA_Oss_2 (GE) - TPM",-0.240671586113667,0.498101390764054,-0.819169210172686,-0.226424652931176,-0.418311806084382,-0.456208464648886,-0.454037840851136,-0.409049070938193,1.03812102932499,0.0995099318549217,-0.0348527242049219,0.0572900013103434,0.020672079801586,0.159788183236143,0.184363413479695,0.0342115099967692,0.0436991674683466,-0.0894102450318403,0.0430306577587499,-0.258382975143005,-0.326370287675348,-0.478993581819391,-0.324972965512511,0.404891037190341,0.433695621172698,-0.419243575777253,-0.412659001486173,-0.391396213696913,0.430976451720552,0.881312732259817,-1.43191863864193,-0.773859479081207,-0.717976763206579,-0.827382189730522,-1.1364306840448,0.726136414025349,-0.0670813591809515,-0.204336522776539,-0.954326576016119
"ENTFA_Oss_3 (GE) - TPM",-0.0285490037736713,0.928531899035315,-0.474512128748411,-0.594482421526946,-0.311621109422694,-0.307425580327963,-0.448052453838432,0.680545622486055,1.09806795606221,-0.359834664568418,-0.298604856831898,-0.164684467672914,-0.0518246564799036,-0.254705722826169,-0.313935997377721,-0.0855660052053311,-0.334155192385066,-0.465452523719126,-0.408313492583643,-0.0766873396659016,-0.253608025134613,-0.403071053307725,-0.26184916409167,0.338907659823312,0.342509639761159,-0.17241852953312,-0.486906057191808,-0.0183624984835402,-0.673186324491557,0.285931887810285,-0.67347907804966,-0.597907113841539,0.0956873511928978,-0.887339174996146,-1.20439042016401,0.8322823566483,0.00209529180723715,-0.0433023612250403,-1.20490876760318
"ENTFA_Oxs_1 (GE) - TPM",-0.754359801501514,-1.02417615016121,-1.15145581389166,-0.595442997117551,-0.651069201212085,-0.585594732999986,-0.566953192580145,0.384198687425561,0.922758049366161,0.30652327350757,0.504973783776528,0.594141152163425,0.187755799867676,0.431931647418897,0.192540833726519,0.35679046945534,0.4739864954747,0.389260680228293,0.259908778901885,-0.218114861218928,-0.14865631018674,-0.111416250964727,-0.256881648469186,-0.157475676752988,0.122482921517638,-0.441839494184061,-0.476266169862204,-0.543912602729706,-0.673186324491557,-0.26824953098479,-0.555598020614725,-0.98782768847713,0.635714611392475,-1.48347313805198,-1.26461400921356,-0.352861592317317,-0.531325098842241,-0.451014147090367,0.471154873584816
"ENTFA_Oxs_2 (GE) - TPM",-0.829909511735207,-1.20720137390471,-1.08795688582391,-0.855039853661215,-0.599651109831917,-0.53840915537883,-0.580852357234832,0.192763573123591,0.604016519733471,0.246694778727435,0.259138188187125,0.33376674719719,-0.0251116326845874,0.44461165897782,0.12268311493325,0.380473301462632,0.188419540445133,0.108746589379417,0.233179236313685,-0.39718627824504,-0.0651786814061574,-0.134826713265736,-0.25018860241739,-0.212419903285158,0.144342753300483,-0.413247857175756,-0.548705193248493,-0.636425599338172,-0.673186324491557,0.144699861839006,-0.698146900505998,-0.861801436767343,0.961831964484981,-1.24990779233237,-0.843882939832158,-0.0973999606637483,-0.615667270058353,-0.514807633244124,0.878641102865422
"ENTFA_Oxs_3 (GE) - TPM",-0.731780472024305,-1.30666338502132,-0.89301851249904,-0.917407056388578,-0.433672104260178,-0.544858052158762,-0.49788812854692,-0.138430941363114,1.19481173117093,0.389036126629645,0.299031844746125,0.397258413826832,0.183877996568575,0.389733281944925,0.174821974048165,0.190119824341765,0.433088827819353,0.160006400962202,0.261405302866225,0.0438005548182751,0.180915256717856,0.230763278049271,-0.101368521129615,0.06471486016498,0.521848932911521,-0.147772297369902,-0.401056554489774,-0.404502636468767,-0.673186324491557,-0.0278945840972496,-0.308160039713283,-0.771187958695739,1.34437606357381,-1.31868574181794,-1.11227893628611,0.0550738944798474,-0.487572901214423,-0.42457584698856,-0.21584408167729
"ENTFA_Sp_1 (GE) - TPM",-0.882927167153586,-0.754043504974974,-0.669521453290396,-0.63437919632117,-0.713721583420586,-0.454615438190977,-0.265717145129504,-0.69343892688017,-1.05607230360586,-0.707703508842169,-0.672836655099801,-0.678978050402664,-0.676041051675364,-0.616986384049749,-0.415511806581082,-0.592224440778626,-0.74054253802693,-0.527605625540501,-0.823277009236403,-0.580919918921436,-1.02662186842933,-0.830548301638805,-0.641559949688901,-0.752394924291784,-0.952150749663617,-0.658674419948639,-0.590486159027371,-0.910852298968021,-0.673186324491557,-1.05758973442533,-0.610492035669656,-0.704718007852651,-1.29926519627962,-0.840025773590371,-1.16146524423647,-0.862438919270334,-1.03530064089914,-0.767909914453384,-0.59679413238521
"ENTFA_Sp_2 (GE) - TPM",-0.888032343350775,-0.920019133570635,-0.65362858207805,-1.0790043762797,-0.709806126492263,-0.381239184750073,-0.128954871231525,-0.0779876440706151,-0.607083865936376,-0.444437151271793,-0.523766350283809,-0.32709290881889,-0.621084575693233,-0.511638204559455,-0.611553973692082,-0.667811348529474,-0.809153711312718,-0.409363849481248,-0.638506048231031,-0.425165332940544,-1.10552499820194,-0.83361131296176,-0.643151739398691,-0.737986834737476,-0.980525231206534,-0.962297605890542,-0.579381119927705,-0.919548577795795,-0.673186324491557,-1.20488167017694,-0.381311365949457,-0.743122514664431,-0.718738754098013,0.00819759370598698,-1.6587444587342,-0.586082364563639,-1.0581769937151,-0.782284969233277,-1.69215702577409
"ENTFA_Sp_3 (GE) - TPM",-0.745884207421253,-0.049485470120961,-0.53445267398035,-0.086908079437729,-0.6270414206761,-0.392030473620854,-0.394868414290244,-0.970413083913043,-1.18341895884232,-0.948070317061284,-1.05118560371477,-0.958040970888748,-0.983146121037277,-0.964150980282995,-0.940535927635295,-0.947245278315401,-0.80638147173881,-0.74537412884055,-0.897485453618128,-0.441801935452601,-0.997313533191422,-0.830159627453827,-0.640482598869616,-0.771917952824618,-0.881876737456517,-0.399273068405077,-0.65948915873193,-0.892704605415887,-0.673186324491557,-0.683871454684248,-1.25311271001002,-0.662721089697523,-0.897651398182972,-0.240836822172857,-0.427646020870451,-0.998172886600797,-1.0159394987021,-0.812143468373743,-0.669116559070044
"ENTFA_Tm_1 (GE) - TPM",0.998843419566141,0.408651371111718,1.06777027243259,-0.0101561353625766,-0.289476570179341,-0.0181134775365671,-0.0445480877556972,-0.337023740911854,0.243080998298755,-0.64334206119377,-0.517811932101863,-0.609158805644086,-0.601585373474369,-0.60837462921182,-0.578312685930047,-0.546718219245827,-0.569556388943537,-0.3878109647267,-0.342699787142792,-0.272251578364807,-0.75689784854827,-0.563505599572838,-0.426274975739066,-0.523401767365072,-0.627718758318928,0.162808348433756,-0.386095223825925,-0.790437674048844,0.871114401431,-0.606065177789248,-0.911986607873891,0.308190107686627,0.0799160292317427,0.339190976883524,0.891587369036375,-0.330911537264757,-0.909373381043196,-0.757226536386207,0.664039913841867
"ENTFA_Tm_2 (GE) - TPM",0.43108694938647,0.116345376463154,0.517255643542927,-0.00918407169932458,-0.409771569808141,-0.035341496124263,-0.0159603961458458,-0.482415417533678,0.580047684583506,-0.522412814329655,-0.455605512542542,-0.43661211790171,-0.51039075494722,-0.602409162398346,-0.510677925634138,-0.560366294514358,-0.538152557357323,-0.53492547194156,-0.368271970590124,-0.397346964281673,-0.785542601716542,-0.625803293281532,-0.49841403421293,-0.56418690083887,-0.700858126952337,0.056509008587692,-0.472647619905623,-0.828069004372007,-0.111879219903323,-0.703102888254502,-0.274347183116656,-0.0473812891201832,0.41270669461118,0.236619443385452,0.367803928971702,-0.122007800921384,-0.945582054204495,-0.724498852757672,0.200797484863431
