"","VC0158","VC0278","VC0651","VC0652","VC0654","VC0655","VC0791","VC0826","VC0827","VC1115","VC1555","VC1731","VC1973","VC2101","VC2145","VC2160","VC2175","VC2484","VC2614","VC2656","VC2689","VCA0180","VCA0205","VCA0274","VCA0400","VCA0526","VCA0540","VCA0621","VCA0665","VCA0693","VCA0718","VCA0724","VCA0741","VCA0751","VCA0784"
"Vibrio_Ns_3 (GE) - TPM",-1.44863708839469,-1.06293741024954,-0.644860617065149,-0.805553259948697,-0.965274801291377,-0.63959262601909,-0.693834282909442,-0.73910051109889,-0.8547259805346,-0.715177828067691,-0.844828845129905,-0.39699410941877,-0.681993155920722,-0.64375617780755,-0.738277954423359,-0.797450014320817,-0.280430986173622,-0.19657254551645,-0.651869010202811,-0.649887019293459,-0.445736390766527,-0.739710643771371,-0.836327450791995,-0.798018270762689,-0.794182866296493,-0.865955204768203,-0.600250490195481,-1.17550072406315,-0.653540150565857,-0.723512212118446,-0.776040008553443,-0.890483844917484,-0.241415453131313,-1.27112604494569,-0.755721128708251
"Vibrio_Oss_1 (GE) - TPM",-0.278509608194899,-0.633748090508242,-0.0487686564463742,0.496305466074032,1.41319131210777,-0.27969630683676,-0.154870224050712,-0.633129158193389,-0.719771605987651,0.18402651663775,-0.681147003900309,0.226388966897837,-0.0892631508288063,0.0562130066040549,-0.336480085457652,-0.454160061629436,-0.0973003797589008,0.243146490480109,-0.221634152094256,-0.501138886445358,-0.00350325438794017,0.117326446763072,-0.445543812669904,-0.483095248456387,-0.426169188460183,-0.645380417063312,-0.600861743182688,1.13849179134947,0.410140024970214,-0.590121765007606,0.127859985498104,-0.567937644050723,-0.023864842626111,-0.640179626783819,-0.20877924088178
"Vibrio_Oss_2 (GE) - TPM",0.118211519298428,-0.596717661358569,-0.666322085328995,-0.653156889161969,-0.820638387986888,-1.1819626228012,-0.598343472394519,-0.706283428731828,-0.712150300659,-0.57790546990054,-0.458155615127128,-0.564599943621755,-0.98844192015565,-0.499274521014778,-0.921390353242695,-0.502136855012128,-0.448264185477206,-0.807409823279579,-0.980653495442774,-0.750392116150665,-0.376149002141103,-0.454238852994209,-0.921909403051077,-0.39802632574735,0.56246814193575,-0.650531989291455,-0.60098989425444,1.13674933860604,-0.752856012091259,-0.425592901766897,-0.731921977431904,-1.08290006580289,-0.663560637855739,-0.815896666586765,-0.736003790883448
"Vibrio_Oss_3 (GE) - TPM",-0.517696227776644,-0.0958620483640192,-0.897602366396091,-0.489576926828182,0.0177675391744814,-1.10301558738477,-0.820608706313361,-0.825374818526409,-0.758593959592411,-0.543429538707903,-0.793657540987754,-0.770292771786599,-0.967612064722649,-0.113500793844894,-1.0836050137456,-1.37782043290518,-0.984208612820301,-0.512476087986385,-0.757159002450765,-0.717511550701854,-0.339218791733513,-0.717262619975086,-0.797306622856141,-0.60135964528927,0.837119934575562,-0.978214239606428,-0.602667982092303,0.698410994913494,-0.648651379350376,-0.168484214708737,-0.350584398591068,-0.66600750973027,-0.600278775264035,-0.267629246414613,-0.980241894447185
"Vibrio_Oxs_1 (GE) - TPM",-0.449211679846454,-0.73890598558328,0.152655837595484,0.0861100385225543,-0.0284453558757596,1.73425414266842,-0.108997459654854,-0.511961049647286,-0.686523632780124,-0.0879660176214738,-0.922086386664587,-0.688319101516086,0.98114703495773,-0.175435393726114,0.0881725593791556,-0.387528074835837,-0.971651463027535,0.96765563673466,-0.327168455321988,-0.260663894810154,-0.203549447433058,0.721815050275275,-0.249026810586822,-0.501119014014901,-0.794182866296493,-1.01517983406711,-0.602561635026447,0.134085517620577,0.105712343688357,-0.793050591085482,0.59275880702446,0.615462190124369,-0.834503385063004,-0.298289229717744,-0.321773076618586
"Vibrio_Oxs_2 (GE) - TPM",-0.470421861564151,-1.03523555907772,-1.01980705268039,-0.991253903358664,-1.13937793163351,-1.47789915987974,-0.687549512831407,-0.793538140491713,-0.913070222758154,-0.839840251915525,-0.673939006816473,-0.623098371252969,-0.820669634453348,-0.657326487842884,-0.768755841383025,-0.89357256622809,0.112093729261028,-0.978715038427973,-1.06842105350262,-0.723087571312293,-0.93229959174309,-0.731133729930636,-0.889684748532931,-0.949111078546014,-0.133374924044789,-1.12614996791441,-0.600267962011603,-1.41085954600912,-0.880129721532554,-0.58241260737898,-1.16817083038462,-0.652412478549495,-0.702632368091657,-0.670937612649414,-0.944221429866884
"Vibrio_Oxs_3 (GE) - TPM",-0.857836657303757,-1.08452206544633,-0.741418143748598,-0.623045616801152,-1.08148037570215,-1.28782417953206,-0.652010263186053,-0.764278142216677,-0.802958978293505,-0.647865714321706,-0.621842305018025,-0.35411550254575,-0.716071025915429,-0.712027910572245,-0.44058824024652,-0.65656943088486,-0.631105477651617,-0.259809212244115,-0.710066386129316,-0.660625269385568,-0.968279974225816,-0.747527040128245,-0.816916110406092,-0.773605204694072,-0.794182866296493,-0.96169260929758,-0.60203807532036,-1.45150415973941,-0.85284699767057,-0.743871196875526,-0.924157714574329,-1.2776230611228,-0.985718324173146,-0.774156701703144,-0.803490994723726
"Vibrio_Sp_1 (GE) - TPM",-1.42810727649551,-1.16613425813935,-0.0982769682946754,-0.751148994556227,-0.858340354555516,-0.916884894710144,-0.563050983135383,-0.717902083383395,-0.882160738568866,-0.406820731419604,-0.615751670443065,-0.454204210702141,-0.951786735738454,-0.346619813185723,-0.874978384779826,-0.842644454437093,-0.386125938024039,-1.11884817562319,-0.54015333012647,-0.624839798369423,-0.765501840821955,-0.642515810970009,-0.810484295269321,-0.596609011633877,-0.794182866296493,-0.682401771936102,-0.600586867677454,-0.900088288283853,-0.693212263788797,-0.908064118564025,0.830646413898711,-0.800687706077142,-0.960304612069225,1.09695048313558,-0.274857371143846
"Vibrio_Sp_2 (GE) - TPM",-1.55820262281685,-0.866762157554212,-0.0449246999405017,-0.828851976353449,-0.960596132647872,-0.850472173717822,-0.134516005399814,-0.881546763647589,-0.810209532698406,-0.291950876774565,0.0129938620316728,-0.454156470520699,-1.00893180317377,-0.912212343560988,-0.555832982658525,-1.0307285231388,-0.207389309109663,-1.16190798789582,-0.347975189059075,-0.547431239847679,-1.02162856234562,-0.852859756773608,-0.211295107237049,-0.62125418291888,-0.794182866296493,-0.482951817953871,-0.59097917048208,-0.580754000390077,-0.794353737125052,-0.619023666554096,0.345814861801759,1.01761694760401,-0.851173743825838,-0.529564261588785,-0.295360545058948
"Vibrio_Sp_3 (GE) - TPM",-0.541428491376036,-1.01476813142694,0.507235267733441,-0.744410958404334,-0.114317291895338,-0.646201164887139,-0.591961693874374,-0.687245592793559,-0.733443314157282,-0.256290925842223,-0.792908580943573,-0.770292771786599,-0.917283408048154,-0.912212343560988,-0.840785216125416,-1.13128980483063,-1.3479103733558,-0.71568246926189,-0.553203331022842,-0.586458524942373,-1.20675223352893,-0.604524639727195,-0.461468895871715,-0.515751256079659,-0.794182866296493,-0.543343870392301,-0.597499730783894,-0.443889319506816,-0.747340136490311,0.141606742870536,-0.060818885250027,0.334226084588643,-1.18116027278594,0.623895222944143,-0.261284261049039
"Vibrio_Tm_1 (GE) - TPM",-0.0813318494585359,0.739236619833913,1.13149222619984,0.493876386542651,0.444082653706811,0.859809547673454,0.28360208213875,2.45663197458396,2.40006849684334,0.00650600124349033,-0.157430937743201,0.649345984050367,0.262337022875389,2.71276853713436,0.674849878480089,0.490859514665347,0.865302244331645,0.291385149128678,0.859605680385163,0.125065612158345,0.732527392996811,0.840885886937116,0.980817793100518,2.45433207011287,0.488853123248372,0.606006264158513,1.76237966226642,0.382965073321217,0.862479023381675,-0.629527404828049,0.596450698785089,1.06357590685265,0.240191448123153,0.380943976854016,1.00563169148148
"Vibrio_Tm_2 (GE) - TPM",1.01747666354168,1.57555260297239,0.233747025324103,0.385854491209628,0.405800480265331,0.712300213522814,0.362600220578117,0.828595528272926,1.94264603340402,0.169959441439109,1.32467507592565,0.122917222323462,0.627831771925114,2.06949483013026,1.14180878077943,1.71715013737799,2.09082128089082,1.09594176532571,1.01075050096863,1.22920744406106,0.87186876964694,0.553041437738303,1.27518184396509,1.24984617023765,0.138898604739648,1.49081790486122,1.48326249323967,-0.362722283583354,0.365644237881204,0.865605688079812,0.571312664999274,1.50634393843396,0.240063740709919,1.23664122910591,0.14960484856103
"Vibrio_Tm_3 (GE) - TPM",1.62316124499506,1.53958785685262,0.963394296529655,0.385061904958065,0.292163425308072,0.150806005954519,-0.0062512031341289,1.25590086182023,1.69347839328281,0.0231652291836122,0.943219975867888,0.218288280788996,0.425070420524822,1.49780960169084,0.873921885421848,1.33380396500034,0.0487042387312449,1.01001863830421,1.06804935155685,0.930231717616768,0.920670476476417,0.622429959408283,1.31397143707325,1.10428945368327,2.82858499865784,3.03201830517343,1.49801701995622,0.959681354050479,0.136398734703284,0.0133482126780406,0.824779352124574,0.897310906011356,0.5622015483559,0.646104388541971,0.45236454713552
"Vibrio_Vic_1 (GE) - TPM",0.783380168414869,0.0321960131974195,0.101442380066157,-0.0624015495601897,1.29633051922748,0.840737074878265,-0.161616755925521,-0.0253417873716822,-0.271024421862963,-0.262771588511454,-0.0444883162953605,-0.409846263964052,0.676755034567324,-0.615984478985044,0.119226640752721,0.969606108379826,1.38143950700938,1.99868147907791,-0.205945434656929,0.0633215767868292,-0.478031928112816,-0.129221356219131,1.5553416869008,0.391059948039214,1.22705077968083,0.695740462759993,-0.225689301033873,-0.113913234303771,-0.157147560571749,0.306190629523984,1.10354151533261,1.34481946371627,-0.25899889023284,0.775306565222644,0.877968721563844
"Vibrio_Vic_2 (GE) - TPM",0.678586872696856,-0.348809650894203,-0.425273286806801,-0.0881723632061678,1.43687106630209,1.02577906419933,-0.390360660207502,0.336474667210108,0.0862096508587925,-0.144447665684367,0.521790363254056,-0.562603596715901,0.0114133749354599,-0.822302277496696,0.439952955803906,0.566181205246125,0.978087277060147,1.47948923711881,0.0735547912258917,-0.0945556897780145,-0.769577640557094,-0.292083907601335,1.23316721567318,1.41160490909519,-0.794182866296493,0.925685028014062,0.14104194346888,1.44880891027831,-0.269141948402501,-0.148947522530085,0.0410064883579551,-0.706798583770733,-0.201010363449743,1.45965777474948,0.567208083858933
"Vibrio_Vic_3 (GE) - TPM",-0.275625595592768,-0.429646236071456,0.0892712974164365,-0.191913826362046,1.09344205559717,0.86400062804372,-0.284200668642781,-0.156426548330557,-0.186873644692576,-0.139448679249868,0.61104073656026,0.447577998654171,0.170218511155922,-0.812467149711049,0.393863118152839,1.228722277696,0.633108789594495,1.02861570083103,0.288917377623869,0.0350559052804851,-0.419507402859661,0.0389062932644717,1.33078567186122,-0.0754667668829118,0.768758889453587,0.250370109173621,-0.0733257289827145,1.18352206891969,-0.289836358133685,-0.831099506317672,0.199362012837541,0.137595929680605,0.089199834165024,0.0906101993625525,0.624581960812447
