"","NGO0063","NGO0302","NGO0303","NGO0440","NGO0602","NGO0682","NGO0781","NGO0955","NGO1367","NGO1375","NGO1676","NGO1820","NGO1821","NGO18211","NGO1822","NGO1830","NGO1904","NGO1941","NGO2170"
"NGON_Ns_3 (GE) - TPM",-0.343979487297993,-0.845941000908565,0.227568934511272,-0.500203755282445,0.32624548349222,-0.200762204387395,1.36239746529006,-0.801589668063657,0.272135981872187,0.272629578041216,-0.943685087443809,-0.274699185007043,-0.516061159933869,-0.835811986688056,-0.492303895083198,-0.491113969849033,1.83663189470808,0.393303457550361,-0.0203339861729918
"NGON_Oss_1 (GE) - TPM",-0.595315736371372,0.395103378582388,0.602130142800003,-0.830504518849296,1.55148422542611,-0.510579369431014,-1.17806926106925,1.30614563165442,-0.293390403963465,-0.501928906768402,0.158608188546678,0.554899573392623,0.762792565554962,1.05773133796413,0.527612490648842,0.589189364981702,1.4314345550288,0.786036322171803,0.617431144693733
"NGON_Oss_2 (GE) - TPM",-0.884839201356414,0.0466196356199454,0.204023207396373,-1.13150141904814,0.488066437214942,-1.6366244605177,-0.124059718192444,0.0198683617129888,0.673757062310476,-1.29725243726039,1.36490686182833,2.05074370273839,0.0893888233361913,1.3039192839202,-0.256719358301819,-0.473016660953895,-0.1536093687527,0.508608038293949,0.0487531781223362
"NGON_Oss_3 (GE) - TPM",-0.322014074767411,0.59102596879637,0.774640508821537,-0.940068672728848,0.845016492890624,-0.366099396073649,1.43105482760375,0.919743258453834,1.3967939974149,-0.225760972612059,0.115034917388237,1.28736162165229,0.682856615283668,1.14530999850274,0.59753508917779,0.0139588230280274,0.323399255825718,1.13671001212144,1.63684234933654
"NGON_Oxs_1 (GE) - TPM",0.171102815851793,0.107691683321407,-0.431460179405631,-0.810058942094589,-1.00425216686583,0.157090012225687,-0.121376928402692,-1.29073167380093,-0.211297983447224,-0.721817160124727,-0.32482003403712,-0.0879038167833295,-0.55267017336787,-0.780508394993036,-0.0141333346498105,-0.531329618422064,-1.05585316766053,0.0817368542467939,-0.0151823310395275
"NGON_Oxs_2 (GE) - TPM",-0.539374278152174,-0.527958510873906,0.00138055737479471,-0.998719609592825,-0.607175958030136,-0.152899511935844,-0.451420335407641,-1.21618917276345,-0.262467553468529,-1.26951912785385,-0.561250588854032,0.603747742774361,-0.011317950201328,0.139618929936689,-0.187484406664302,-0.511449774710846,-0.623665986199878,0.0430998730240515,-1.10150630255612
"NGON_Oxs_3 (GE) - TPM",0.117984400284215,-1.59520803887778,-0.350690867450819,-0.95260903413632,0.25316256414266,1.05509297003879,0.191331848106891,-0.254598274288473,-0.501480740702859,-0.0243362163743467,-0.305071489967187,-0.539721300788313,-0.501402146373519,-0.192414505935602,-0.434022382313369,-0.689785624839858,0.640611670170373,-0.106893192604919,0.671171061417766
"NGON_Sp_1 (GE) - TPM",1.46247504580682,0.195987575561451,-0.88580518939661,1.02028684096219,-2.01626339804591,0.786312241380993,0.338582805530994,0.869980502978038,-1.00783700168802,1.07593176862118,-0.987897654123285,-1.35768261626438,-0.149305765492179,-0.540023952471027,0.43195648529465,0.935411998301714,-1.17114813991265,-0.695825802330067,-0.806938694799042
"NGON_Sp_2 (GE) - TPM",2.05178947474987,-0.584936323262876,-1.50678445132221,0.778053601230308,-1.17868848858518,1.95536639097044,0.879639242929148,-0.563896759295127,-1.18836360468563,1.05506396604981,-0.166579878291941,-1.2965892326671,-0.849372633801049,-1.02492546617171,0.0944581165419167,0.238089515434368,-0.689751572755867,-1.90563356567233,-1.36737203076446
"NGON_Sp_3 (GE) - TPM",1.97705152472126,-1.3405162026083,-2.01852844173868,0.220245466444138,-1.30843429447739,2.20588503610012,0.220224847376262,-2.11692572557935,-1.18790557565422,2.72110050412831,-1.12990435762622,-1.99771846151513,-1.40248036333225,-1.08967206885811,-0.607632464768977,-0.0824171539215898,-1.46831500909006,-1.0350667844753,-0.756978149639516
"NGON_Tm_1 (GE) - TPM",1.41301586474917,-0.547925107674144,-1.12180075404427,0.765160166397687,-0.194869181713307,0.198361696342248,0.909506105937017,-1.13391483162558,-0.765239873616805,-0.18656032409869,-0.707951656975115,-0.240779952094106,-0.307336834378818,-0.371766323430513,-0.115943934805905,-0.530983966708995,0.39073868859884,-0.982713891994626,0.370458123768006
"NGON_Tm_2 (GE) - TPM",1.27686761355272,0.31943165115049,-0.203609621819303,0.358850581804735,-0.918764632145975,0.169833568424512,-0.424749889424796,-0.824593854530998,-0.388405276203824,-0.690205735232632,-0.192608221341499,0.113419675662852,-0.181297951752448,-0.509868177608755,-0.490749883525918,-0.434206226419179,-0.634607331115567,-0.635960454002771,-0.245598050927882
"NGON_Tm_3 (GE) - TPM",0.768774498126334,-1.27875297162076,-0.232733039186781,0.598361691916719,-0.598357544928313,1.05350078156312,0.0764120667834207,-1.56730203973556,-0.0371237272906171,0.0119500524850758,-1.09145292020323,-0.363361470771682,-0.511237634765996,-0.848247730617715,-0.207655520356563,-0.601334523415142,0.171467995887708,-0.525169787715333,-0.884569297615359
"NGON_Vic_1 (GE) - TPM",0.0691513929201627,0.47350661517304,1.017613239635,-0.0672337149041892,0.755127302158368,-0.225139592984144,-1.3659069904809,1.07855302097131,0.29149236862146,0.358823053242236,-0.810823871900215,0.702647468097951,0.421979808863999,0.626284295612666,0.197308607915658,-0.178020668053214,0.894188202940317,-0.010563311502725,-0.374057882623973
"NGON_Vic_2 (GE) - TPM",-0.692460777817739,0.320303259853252,0.86338790754872,-0.156727766044756,0.92597068914693,0.00589768867975013,-0.188229767903134,-0.00644545806693595,0.560307058492107,0.194641252232304,-0.0542674359818723,0.213314507643966,0.0342100320654124,0.378320886637448,1.15288582797723,-0.211248959611904,0.348769452585642,0.552813302389122,-0.401641459039162
"NGON_Vic_3 (GE) - TPM",-0.742391919911212,-0.215222718228053,1.39058731482306,0.42347199766279,0.752731568495824,-0.670835506873313,-0.495516077021611,0.484168518605969,1.1099838004941,-0.130218648497428,-0.786135186909485,-0.0503245359665416,0.137218066934297,0.192879137801919,1.40484683561106,0.283537556815769,1.21126617652729,1.28596276536601,0.230916991784609
