"","SP5448_RS09140","SP5448_RS00765","SP5448_RS00770","SP5448_RS00845","SP5448_RS00850","SP5448_RS00855","SP5448_RS00860","SP5448_RS01405","SP5448_RS01410","SP5448_RS01480","SP5448_RS02370","SP5448_RS03010","SP5448_RS03015","SP5448_RS03020","SP5448_RS03025","SP5448_RS03030","SP5448_RS03035","SP5448_RS03040","SP5448_RS03370","SP5448_RS03600","SP5448_RS03605","SP5448_RS08255","SP5448_RS08330","SP5448_RS08335","SP5448_RS08340","SP5448_RS08345","SP5448_RS08350","SP5448_RS08385","SP5448_RS08390","SP5448_RS08400","SP5448_RS08970","SP5448_RS08975","SP5448_RS09030"
"SPYO_Ns_3 (GE) - TPM",1.31417460464974,-0.927311968108978,-0.883367804429381,-0.753106417715649,-0.872443757487703,-0.797066592519481,0.0826498005384261,1.15185786229332,1.13873625546303,-0.753367095089874,-0.962256520875949,-0.542798231046897,-0.500186232240923,-0.45382523098699,-1.03933375999888,-0.545822765074763,-0.770526332430934,-1.30375954365383,-0.811050799140002,-0.699178930100887,-0.66893176397983,-0.584554237106208,-0.259703358335178,-0.392856718289455,-0.199861338198416,-0.423492194673955,-0.54287593197494,-0.401292681473768,-0.433789075530964,-0.77887475601538,-0.928320183244507,-1.02653547032223,-0.374124384472555
"SPYO_Oss_1 (GE) - TPM",1.5454646121635,-0.749805080945722,-0.679287345664343,-0.858415167879076,-0.92330442543619,-0.922821705529915,-0.78796512529986,1.39679571994384,1.44203519558204,-0.553396345689368,-1.50406359040901,-0.442372594571706,-0.762368588307999,-0.965612953366324,-1.26851444783972,-0.956620671556522,-0.939128491824865,-0.346312485242136,-1.2192504002859,-1.35436887750463,-1.56469985769607,-0.592209833679488,-0.476110634891495,-0.717381367991297,-0.7376286003236,-0.635109513778056,-0.806331978367375,-0.429975372054549,-0.541955304804747,-0.78970512775957,-0.741886224563929,-0.646726830893176,-0.584902953873764
"SPYO_Oss_2 (GE) - TPM",1.27698372847704,-0.713132218487794,-0.736817109945703,-0.86748769220003,-0.929968038890526,-0.907277419657051,-0.534818079729167,0.933230749970311,0.808960271293284,-0.877355386526282,-1.61760085050176,-0.836589775788436,-0.369298586664483,-1.10515539493577,-1.41042654311186,-1.12920841983689,-1.51942990213382,-0.933797870977725,-1.10789305326957,-1.24560574190093,-1.52869893694854,-0.349556812687973,-0.628047464607106,-0.759449583210778,-0.832778122607567,-0.920400789996863,-0.97953354525713,-0.582961113813515,-0.711226095777612,-0.913809544485992,-0.715222754872755,-0.682934408299664,-0.0952542260670188
"SPYO_Oss_3 (GE) - TPM",2.10681438873927,-0.654394160453165,-0.652924647924023,-0.932356303185291,-1.02939133031505,-0.971213027151038,-0.383161987986198,1.37699284854596,0.347808215571203,-0.697842342288386,-1.57764967641576,-1.16609625753586,-1.51217899278544,-1.20313752143498,-1.42572094750712,-0.580024045249716,-1.04176111617017,-1.19844686966215,-0.832808013174693,-1.35117658302811,-1.44152911494481,-0.512756357168536,-0.661790125235626,-0.748659020767684,-0.902248782065958,-0.624864760017365,-0.779737570467291,-0.662467917021155,-0.769732319135266,-0.847905663089255,-0.74350527857632,-0.660594267429001,-0.807057326992404
"SPYO_Oxs_1 (GE) - TPM",-1.35682585911157,1.67109327168046,1.54848603246181,0.415476327336599,1.26343823652694,1.38282756591829,1.15088988118472,-1.78741890203663,-0.672988150657785,1.3182566344775,1.03787362775534,0.74019893502118,0.619984699679647,1.25118735885102,0.576507909964885,0.620915892786318,1.30775249381953,2.48739767818147,2.87260936420961,0.689810496917414,1.16552091525761,1.99648172513923,0.736824143398245,0.710651576949186,1.55852096076945,1.5424075355279,1.16896831074491,1.96490972702086,1.18520550386497,1.72037103864059,0.378249762591304,0.634471069661639,1.68550701393967
"SPYO_Oxs_2 (GE) - TPM",-1.2166420133968,1.07797162421321,1.68890205137898,0.62292120942156,0.696493225568507,1.35712176111523,2.15579203018326,-1.20973068677405,-0.703239349164418,1.52080403987073,0.994203120981486,1.19469564562412,1.38772324391859,1.77765857551586,1.18951490664287,0.435849272330128,2.22735564659794,2.87187962191605,1.35301003730455,0.638406555098521,0.983356916340919,1.38553519616116,0.941727432237723,1.6546635604739,1.94144286732725,1.96221538462388,0.90474633670778,1.83975251741612,0.972798767458876,1.98246968840174,0.397308803039021,0.825212230474022,1.77409274097748
"SPYO_Oxs_3 (GE) - TPM",-1.09085987165878,1.25659431527498,1.36758363098656,0.407101550999227,1.02671065527767,1.34366399476974,0.114727113765375,-1.38850596119628,-0.587702176360029,1.91091445201825,0.782727909643203,1.34073857280204,2.45263518387584,1.94653962074522,0.742049062566577,0.22846379930849,0.772310910450025,0.955582423698291,0.981362542230585,0.253774822018315,1.009323843826,2.76256178995108,0.95288235823844,0.995292631802587,2.71756118201972,1.8570654355827,1.45805006107199,1.79306834355841,1.28971028687979,1.38965185843912,0.52140729733921,0.661851347381049,0.977389735241582
"SPYO_Sp_1 (GE) - TPM",0.318151390576217,-0.972584689155481,-0.850108619734967,-1.15092130181348,-1.16209802782992,-1.14611498787523,-0.990882839398064,0.104220215934907,-0.752662646204094,-0.745073136090682,-0.0575537406889883,-0.604694858397282,-1.37090540857556,-1.01828295639402,1.12375581952706,-0.809668113032356,-0.782307608991509,-0.082316007502877,0.856886256382229,-0.889418595909944,-0.479951700986413,-0.613375700565359,-1.34407972906414,-1.27656687530217,-1.21509802333054,-1.01556455377571,-1.22685206689643,-1.11662448270883,-1.2119914169306,-0.93794564051678,-1.00341327367203,-1.04424350215821,-1.07688637216624
"SPYO_Sp_2 (GE) - TPM",0.924524548766574,-0.969275918559967,-0.882453210979694,-1.09944023753035,-1.08542318637864,-1.09855179102868,-0.829967298401157,-0.210213869172074,-0.0624502051385468,-1.24397394502505,-0.171273307943279,-0.891556997773691,-1.31809773556152,-0.772949119931825,0.0458879285465503,0.0569086392893335,-0.576165871996709,-1.01601867766442,-1.34636706182459,-1.15127149375101,-0.544731586479203,-0.220798158082836,-1.35866774716804,-1.35407081060254,-1.25068280803253,-0.997195073108327,-1.30755832061925,-1.1205141288279,-1.24278936644108,-0.998969798390062,-1.00858552680475,-1.05253171259593,-1.45444180437072
"SPYO_Sp_3 (GE) - TPM",0.738396524730009,-0.958356256849965,-0.890179732886739,-1.12582981665246,-1.05708792742964,-1.11300885237579,-1.46970776560863,-0.129070360876655,0.501206625030158,-1.06992005638143,-0.545549628261828,-0.619400949363318,-1.31854326995025,-1.28735732156383,0.234887330752936,-1.04755837815963,-0.317929362479867,-0.884109949977182,-0.34790404976616,-0.927749236196423,-0.526347907457272,-1.11829021735471,-1.33328336002547,-1.26372102026042,-1.22622155561468,-1.08163923964286,-1.13671364743137,-1.13144000028442,-1.22353426748053,-1.04021648131384,-1.0390021807887,-1.07065771292061,-1.23949086745015
"SPYO_Tm_1 (GE) - TPM",-0.164839177758147,1.07584374724573,0.699473045193135,0.338100385782662,0.621742925495453,0.392069807285845,0.44343445724448,-0.926327591027662,-0.7076517222671,0.412058280605513,0.978673356457922,1.58738672823065,1.8393002560057,1.46751315352033,1.52083082758925,2.16754219870055,0.851782872905456,1.0811325688033,1.88938689217248,0.30089589655391,-0.013980506940254,-0.726864216247485,-0.250355919527818,0.299583111070601,0.265011234266743,0.499987534943313,0.405341001051774,0.345298545818243,0.495801421360729,0.413331535980788,0.905002803305042,1.03411323844076,0.533330947447118
"SPYO_Tm_2 (GE) - TPM",-0.504165115135656,0.972420012575422,0.671347693368226,0.321830926683373,0.491736074403898,0.191444008607015,0.823105744527395,-0.717873435575266,-1.0379647972262,-0.254456069970844,0.808122805347585,1.29409538062531,0.91402079220031,0.674713601998275,0.737116321177503,0.4858824010442,0.814627179900286,1.2438365029048,0.147060255080915,0.334696628363628,-0.194559693753606,-0.183574866209617,-0.355774141083833,-0.0110318342388191,-0.338190436966969,-0.0379835623005829,0.0204036007592051,0.0470168470370732,0.233231805679144,0.306075869369772,1.01244606244536,1.33125603997501,0.659643707328362
"SPYO_Tm_3 (GE) - TPM",0.111937294336645,0.716222838226921,0.638226530723081,0.455359926745165,0.179943235148105,0.270442427456707,0.272043227927419,-0.138973627772222,-0.297196996911009,0.00803705769891717,0.847477949247685,1.63514612719007,0.685781440561721,1.48515797490381,1.21596161631206,1.96184507108651,1.37272381623476,0.546901754783039,0.228548058971509,0.328515097900506,-0.167617619227959,-0.269575067670592,-0.392479849367746,0.49553718459792,0.395837359031806,0.32427360919779,0.205273951203741,0.0812910043026508,0.371556717890187,0.719515862887535,0.830974316970412,1.15229375197413,0.437317707207002
"SPYO_Vic_1 (GE) - TPM",0.052553850042976,-0.729227944185141,-0.68223851377448,0.167822947785109,-0.0373830313595672,-0.269425778262524,-0.11846854780855,-0.171150906838836,-0.691895035652878,-0.819399157703728,0.120832754234481,0.00851731290989553,0.0457416291839718,-0.205823028013324,-0.167808964225081,0.336470224963411,0.0557264934832418,-0.65909680330404,0.183297191567619,1.3935094445253,0.662741219677455,-0.926205591662496,0.393968756418843,-0.248382015818549,-0.376084745507251,-0.495935465221429,-0.498908967960591,-0.679560098132956,-0.622467011360463,-0.383726882436249,-0.450318420684091,-0.636143669827364,-1.00650065000949
"SPYO_Vic_2 (GE) - TPM",-0.123000398054255,-0.804188376938752,-0.76219000559271,0.0884385242578545,-0.130493268733513,-0.0947527016879672,1.18583175953439,-0.581103271659447,-0.962315347446154,-0.913714067741013,0.205926154120524,-0.0583969047849358,-0.625279245479203,0.614488837016295,0.107406651565331,-0.0939037664305918,-0.332058803266426,0.235057922636964,-0.376147582465991,0.908702491092129,0.790540481282122,-0.798011959027026,0.343097027824653,-0.479060133336226,-0.523117651385861,-0.496851089225498,-0.315787006288897,-0.547848496803906,-0.501050499191026,-0.356326811267296,-0.54022068688455,-0.723254606353232,-0.691248312345264
"SPYO_Vic_3 (GE) - TPM",-0.0734520398775729,-0.738322426199548,-0.690501573089406,-0.0208754995619565,-0.154120349002136,-0.192331359295342,-0.685575071463068,-0.673196213419754,-0.950973047720749,-1.17265987348934,-0.110958707100261,-0.936644994780575,-0.861669919462243,-0.774114756730735,-0.950372815995572,-0.842553491157022,-0.696734474389453,-0.418412849655763,-0.647816103800505,0.691075455842902,0.765846290266121,-0.777954090634156,0.11624333797847,-0.682856502250392,-0.673121223730081,-0.774065213767761,-0.560854920363946,-0.394901811075496,-0.331067030596661,-0.539936946969659,-0.613156515033784,-0.740125973208114,-0.598580210776095
