"","E2348C_RS00900","E2348C_RS26225","E2348C_RS05865","E2348C_RS09860","E2348C_RS09865","E2348C_RS10195","E2348C_RS10960","E2348C_RS12410","E2348C_RS12480","E2348C_RS15535","E2348C_RS18490","E2348C_RS27645","E2348C_RS19135","E2348C_RS19140","E2348C_RS19195","E2348C_RS19200","E2348C_RS19205","E2348C_RS19210","E2348C_RS19620","E2348C_RS24350","E2348C_RS24355"
"EPEC_Oxs_3 (GE) - TPM",1.17435255026552,0.355498955282805,-0.621458598523283,0.807490016662249,1.1463643370345,0.763291674099921,-0.354678520272358,0.96063939049713,-0.15744219554271,0.0705739900031631,1.32193325746306,-0.529593533304266,0.993796723347554,0.35251797954009,-0.850267600315933,-0.820008215162393,-0.788798075963997,-0.495596132418405,-0.663271793146119,1.4435171255524,0.650590448819448
"EPEC_Sp_1 (GE) - TPM",-1.65562646509329,-1.22002370372075,-1.42024044593038,-1.51916200399527,-1.49161878862465,-1.85453309527222,-1.26003062990283,-1.33580581523022,-1.04370303029523,-1.21759477548619,-1.78026701477615,-1.5480204199074,-1.42176640089991,-1.28656125473247,-1.15096190729011,-1.15559468224517,-1.2502596797308,-1.37489742579187,-0.758080666749057,-1.54331729634498,-1.38805480438193
"EPEC_Sp_2 (GE) - TPM",-1.66756612330716,-1.22006665128824,-1.68627429443445,-1.53061235831673,-1.47197639765091,-1.64102800742062,-1.39040926036872,-1.51604077943079,-1.06871088765752,-1.20293698373155,-1.7878993120454,-1.79494961509754,-1.42176640089991,-1.33709990569769,-1.18281633088011,-1.14524083484153,-1.23712791039638,-1.40630718854299,-0.880922985790763,-1.58203706007358,-1.39768990740308
"EPEC_Sp_3 (GE) - TPM",-1.6364707115062,-1.20911726806891,-1.68866942587179,-1.5285211945796,-1.56594383708468,-1.85704650278729,-1.39621184778994,-1.56663277645698,-1.06285699569963,-1.42622649918748,-1.76317819598723,-0.848351600552826,-1.42176640089991,-1.3625697884997,-1.16268157904916,-1.14548673131946,-1.24762109058534,-1.40304494931153,-0.721755483242045,-1.57758398580492,-1.41618907710784
"EPEC_Tm_1 (GE) - TPM",-0.381054493699519,-0.566040697711665,-0.48196099375501,-0.37263010331177,-0.393348955085958,-0.240125045186104,0.0707815604280712,-0.504859321380866,-0.631099946692923,-0.664838998830322,-0.249443100712109,-0.649356549491836,-0.558554117386481,-0.482371741441497,-0.585180846547033,-0.710811441216235,-0.714771449186372,-0.595909412553968,-0.656561561857844,-0.633367889666919,-0.619722469900104
"EPEC_Tm_2 (GE) - TPM",-0.324351456713943,-0.685291520952553,-0.431648570890982,-0.531213548575196,-0.358899150733066,0.00685072925465384,-0.302496119850963,-0.459941292103337,-0.568110249564898,-0.760834509019577,0.0413293032799269,0.603287282589195,-0.784457482175503,-0.566073856663087,-0.537950016655392,-0.602384521629054,-0.64555956101732,-0.482877537206133,-0.604846561455625,-0.638161312647876,-0.733314784778977
"EPEC_Tm_3 (GE) - TPM",-0.281386798173353,-0.610725563796598,-0.656860115847939,-0.487225309321304,-0.590953806228616,-0.00664736896969184,0.303294760571391,-0.640131882697039,-0.679250091612004,-0.812141061749412,-0.134504663952523,-0.395988928704886,0.363684043271961,-0.605060766026407,-0.486693399768647,-0.552087044183439,-0.584002230557885,-0.497430594214238,-0.610218675860855,-0.744699295088337,-0.596920025343375
"EPEC_Vic_1 (GE) - TPM",1.23845905909046,-0.0219932230722875,0.50259819195033,1.0718438662416,1.53151489770046,0.741832055524678,1.33211649919576,-0.222647825927863,-0.147405968468199,1.12424692868632,0.827338131819635,1.05979070975433,0.936965131645413,0.541555589502823,1.35141267762634,0.317327265443891,0.00494759531062869,0.742299050614347,-0.165676260513705,0.549968839148894,0.514442802579129
"EPEC_Vic_2 (GE) - TPM",0.725410499094942,0.241891090735867,0.42444304948758,1.25828646145353,1.08861392662679,0.481226940221957,2.28513857141597,-0.185053204706633,-0.224339111293587,1.41140481107923,0.579773918363362,0.322890732164333,0.441121436959863,0.635232960631299,1.08077236988255,0.445865596237706,0.286654703348963,0.809404130925784,-0.558128561971332,0.247931880331921,0.715424919004797
"EPEC_Vic_3 (GE) - TPM",1.27991252202257,1.32544321558724,1.48705102192641,1.87851453561061,1.63833948928276,1.79681063744975,3.58790496314103,0.285752359409992,0.249516703749888,3.02060153695537,1.04323336187932,1.61894409562021,1.61248926234505,1.55922316360099,1.45778674604779,0.700203792747235,1.06252642851325,1.71273025888569,-0.880922985790763,1.5133129132581,2.40697470867438
