"","SAS_RS00045","SAS_RS01030","SAS_RS01300","SAS_RS01455","SAS_RS02655","SAS_RS02660","SAS_RS02665","SAS_RS02670","SAS_RS04125","SAS_RS04175","SAS_RS04180","SAS_RS06945","SAS_RS06950","SAS_RS09760","SAS_RS09790","SAS_RS11465","SAS_RS11470","SAS_RS12375","SAS_RS14885","SAS_RS12390","SAS_RS12395","SAS_RS12400","SAS_RS12405","SAS_RS12410","SAS_RS12415","SAS_RS12420","SAS_RS12425","SAS_RS12430","SAS_RS12435","SAS_RS12440","SAS_RS14905","SAS_RS14055"
"MSSA_Ns_3 (GE) - TPM",0.675345846299625,0.767189513383615,-0.893359092546498,0.0921144546650333,-0.629422650915972,0.0930635885511868,0.156383994281676,0.547292996584078,-0.768706684671992,-0.802256027713124,-0.157346766724457,0.0226606883278848,0.48629795160232,-0.160775208309168,-0.792539214914404,0.629347667929951,0.465275385718825,0.23838100008997,-0.695175639100307,-0.527913751063398,-0.392122517103663,-0.513741437372712,-0.266108922476667,-0.0919371059837458,0.0903043405360014,0.132423260351699,-0.193743824507717,-0.204584315492697,-0.0820994723992587,-0.0682932059222797,-0.314258304552552,-0.689944970004968
"MSSA_Oss_1 (GE) - TPM",1.90521474455129,1.3481883378267,-1.30024638079385,1.66940710097635,0.9624930307057,1.45201246001992,0.847515218358878,1.44138039230382,2.68928002255179,1.15634296629196,1.33193971085613,2.47135565346458,2.73467549228066,2.33059961877619,2.14321537369954,0.6881517347386,0.978697970650262,1.59121515977743,0.112571453533382,0.175933217732726,0.808310752753797,1.16240585976591,1.06086523870183,1.05969428144678,1.27814061037472,1.74460553616045,1.24536922602588,1.51896401041574,1.71584284197334,1.75832733265043,1.49664939108743,1.70814463630442
"MSSA_Oss_2 (GE) - TPM",2.72126120161722,0.357242051307486,-0.981849418529794,0.875268380171438,2.2269005322366,2.01852880587748,2.05517687071305,2.24341490514188,1.56796227967981,1.72493859066585,2.24060873178064,3.67994600687556,1.4910831775761,2.29768515058191,0.989994440183555,1.51731868679381,1.85449802314929,2.25146798223296,3.14315683921671,1.19246941037263,1.94346330158101,1.83967358702358,1.81454370282665,2.27369075986302,2.32454371190864,2.38710415100829,2.0740788289386,2.49992291163707,2.41072673995775,2.73667745229071,-0.314258304552552,1.87130733184684
"MSSA_Oss_3 (GE) - TPM",3.26309004669649,-0.149175670988131,-0.714213929454966,0.541297721136112,2.82189637998865,2.93184808606552,1.28983175201012,2.32124353658517,1.5089940627651,2.70957584964943,2.19418362374664,1.91028774402492,2.08406914623531,2.99011059532591,1.9076725101741,1.6515155801038,1.16207606716017,1.840613247472,1.1684211156274,1.45797631179029,1.56834539520018,1.71093681836763,1.92086588121537,2.18681040457443,1.91497984386806,2.02261384387101,1.9072963578841,2.09223782754379,2.66444523123467,2.75975137487428,5.16043555969522,3.01849345030438
"MSSA_Oxs_1 (GE) - TPM",-0.685723635682991,-1.08303850166446,1.2520893517967,-1.08664047970762,0.250606236244371,0.954280454893121,0.204037214753024,0.35203248770821,-1.01465096322715,-0.993395162192919,-0.820001784213726,-0.821786094296363,-0.685923466461754,-0.792286553405011,-1.13683470884349,-0.817508464625563,-0.684831451419797,-0.823287448065344,-0.713746116599815,-0.97841864541686,-1.00717331526284,-1.10060229909378,-0.958510018999918,-0.870315169055288,-0.918782813109032,-0.789204595262931,-0.871719520791457,-0.869229184090469,-0.804586071342585,-0.763167058251802,0.101510169672652,0.148567364341126
"MSSA_Oxs_2 (GE) - TPM",-0.547263107179192,-0.211073440031153,1.45703105781009,-1.16139173884663,-0.0570176945910307,-0.550005841015741,0.377625283678046,0.625944141063935,-0.882704521455254,-0.759712591222254,-0.546495198359701,-0.333846450224537,-0.846063430656293,-0.605111395090245,-1.16603967273932,-0.623703651693103,-0.672850454607467,-0.825489435435072,-0.373841437835937,-1.02784658557112,-1.01854991903718,-1.10918478046462,-0.99992815182671,-0.89474869269546,-0.92395993927801,-0.788840239859525,-0.871504913389041,-0.870387061165536,-0.805094234510298,-0.770494375586784,0.241310686057971,-0.624876758723986
"MSSA_Oxs_3 (GE) - TPM",-0.624509135386469,-1.32018779864988,0.532135221711228,-1.1867079321998,-0.133598009728986,0.073131648799148,0.138597704987109,0.617208789868856,-0.990421578757933,-0.889474319706959,-0.779112710135453,-0.666526422732803,-0.781154703345975,-1.11945777108614,-1.18082708113486,-0.637561466927359,-0.824481320410411,-0.82410612891049,-0.927264001198133,-0.980005358393,-1.05570631597203,-1.01688751005474,-0.964885849014271,-0.873096994179528,-0.922080373457129,-0.784804507398325,-0.876089860226159,-0.868885450694041,-0.80405082649224,-0.769623872711373,-0.314258304552552,0.128886962240995
"MSSA_Sp_1 (GE) - TPM",0.0963804879244562,-1.32018779864988,0.422698762687252,0.310896266708102,1.07683877635241,0.0288297481485504,2.61240302115024,0.809521597435326,-0.0815064508522634,-0.116639078337663,0.790168402285711,0.407992305231748,-0.685357931415969,-0.624675382562404,-0.763562077252869,-0.832934808773676,-0.919253670117375,-0.694587976732242,-1.03577380632589,-0.358375467831201,-0.339364569511558,-0.275110214803283,-0.387390907207796,-0.644407312379786,-0.550746695206399,-0.591242028136118,-0.56574857957212,-0.540718520256403,-0.541942277922144,-0.436901575671833,-0.314258304552552,0.0215844811279625
"MSSA_Sp_2 (GE) - TPM",-0.509748062866034,-1.32018779864988,-1.08859976560776,-0.569674438136035,0.700741238034348,0.156235013960782,0.544598344294093,-1.01510240404573,-0.619505593553478,-0.523781265558851,0.885152245329937,-1.20550158105925,-1.16845157714755,-0.720715166921363,-0.11457845905014,-0.964335526345631,-0.90389564785598,-0.77182206117061,0.525556538145843,-0.513577437429239,-0.431530074839208,0.158390405553339,-0.528424853649625,-0.681039890638819,-0.715168874190785,-0.679210114542337,-0.759011506967071,-0.82165730628325,-0.688890649002552,-0.620156386613894,-0.314258304552552,-1.00183327805906
"MSSA_Sp_3 (GE) - TPM",-0.233619695199122,1.60902824734298,0.837781174341615,-0.284492985962696,0.904110342029427,0.306702190699168,1.03350718802987,-0.0936001162565255,-0.264235678407799,-0.06040892177685,0.0113706695877198,0.862674175632819,-0.704029659567306,-0.770497759546467,-0.861445346142913,-0.942086955883566,-0.926587282097526,-0.688640318644612,-0.0138903618215588,-0.479741090655309,-0.138727184945961,-0.242301748151916,-0.500690561338013,-0.678503551181167,-0.713649290224724,-0.62551195809192,-0.662556656670555,-0.65887421528325,-0.60968102000111,-0.442229411326165,-0.314258304552552,-0.0737026592990412
"MSSA_Tm_1 (GE) - TPM",-0.787565539111684,0.368456391371712,1.79231591111989,0.492412591232811,-0.354211872055377,0.265797962633401,-0.950546356573109,-1.27008053535093,1.52911146240637,-0.611850896519075,-0.494533023678346,-0.234023278883065,-0.732148410415318,-0.085882327962884,-0.174565565220297,-0.267876014345601,-0.480658391608602,0.51562713094233,2.72272191799398,1.32615828379091,1.14633594854591,1.04170372968756,1.05848565760087,0.85147425581374,0.838515005024948,0.112038888202604,0.912851557197117,0.423326815951163,0.228234618129825,-0.0669203120110383,-0.314258304552552,0.269754355274412
"MSSA_Tm_2 (GE) - TPM",-0.819407705746589,0.81455949264344,-0.0332517210804661,0.233123542666028,-1.52285567791208,-0.771287857400357,-1.00237326518672,-1.38432280824097,1.88843413043938,-0.245357925424084,0.631383545260888,-0.898471141238073,-0.547940971522846,0.231190283934762,-0.135737011158224,-0.333115310842224,-0.591477519535033,0.620952358793435,2.05037461429504,1.82961291268956,1.36465144659453,1.25474634165636,0.846205724211017,0.970097903159523,1.00231991983335,0.257080800736498,1.0566720199405,0.938224110776729,0.489225495969446,0.0509843948332283,-0.314258304552552,-1.38896463249295
"MSSA_Tm_3 (GE) - TPM",-0.911562836536987,2.86445268628039,0.681543207132022,1.67808946055355,-0.859181460714867,-1.17570240426169,-1.66152984088987,-0.766040036229251,1.37708653984901,-0.220145337542479,0.765077667518893,0.325307910251523,-0.00498011632681338,-0.138150253085459,-0.393198507883416,-0.448868647657372,-0.411999236211618,0.848990873771642,0.902923685633745,1.47462614537481,1.23774032039989,1.05547355705803,0.954421182436137,0.867369674334881,0.787850871600177,0.240268758469243,0.94323387839913,1.16658175696886,0.529946224545038,0.0665301188983862,-0.314258304552552,-0.300924899062318
"MSSA_Vic_1 (GE) - TPM",-0.603712657110326,0.349790418033223,-0.454749848346887,1.42388819007018,-1.18464061939264,-0.992207068758091,-0.651147215316992,-0.650885039837845,0.147934881499753,-0.279900621457793,-0.46021794191847,-0.695108586965486,-1.03361396807491,-0.45181606950432,0.0830315219506878,1.51326635348707,1.9438288083599,0.26548373966032,-0.745924980341778,0.87019598299113,1.29284268413854,0.793928448295162,0.562669654207801,0.550888799397092,0.425847037242259,-0.114057515650198,1.04822234419397,0.865518697195472,0.176157357790251,-0.288756875881108,-0.314258304552552,-0.457840900897932
"MSSA_Vic_2 (GE) - TPM",-0.503010009244038,-0.350851053397138,-0.371614475553904,1.49057488866986,-1.19429908102393,-1.00360980466359,-0.639999456049123,-0.776395277047862,-0.580184347213707,-0.593227908317649,-0.989835095472461,-0.107608110285077,0.240342178760687,-0.481014209297313,-0.284056304151905,2.2774554556958,1.602299637459,0.34335505309229,0.90055891439876,1.59130355451209,0.949995184114457,0.708291841323981,0.95135536128814,0.669517109148701,0.499078565960463,-0.106981686339719,0.562487767895402,0.618611785773675,0.276630810293798,-0.0167082346553367,-0.314258304552552,-0.397735393671955
"MSSA_Vic_3 (GE) - TPM",-0.449202955576817,-0.0924318490700198,-0.080862725986107,1.30015875437904,-1.62664396450624,-0.875309804582548,-0.90020294565062,-0.739323660853863,-0.207592679182058,-0.284047939180636,-0.364835888138917,-0.297364368859395,-0.964523635161685,-0.550300122510169,0.283896382033316,1.81701719875569,1.66766077073255,0.407612467641944,-0.13225040610558,1.30082444417573,0.663204280945941,1.03051198854864,0.996726017954332,0.613002869600156,0.533548998765133,-0.114722934295826,1.0004318835393,1.00311340898411,0.513881834542628,0.0313827424536491,-0.314258304552552,-0.49197715809533
