"","NTHI_RS00860","NTHI_RS00940","NTHI_RS01310","NTHI_RS01440","NTHI_RS01745","NTHI_RS02000","NTHI_RS02230","NTHI_RS02405","NTHI_RS02410","NTHI_RS02505","NTHI_RS02600","NTHI_RS02740","NTHI_RS02930","NTHI_RS03015","NTHI_RS03090","NTHI_RS03505","NTHI_RS03815","NTHI_RS03860","NTHI_RS04590","NTHI_RS04720","NTHI_RS04975","NTHI_RS06935","NTHI_RS06940","NTHI_RS07365","NTHI_RS07405","NTHI_RS07570","NTHI_RS07635","NTHI_RS08160","NTHI_RS08180","NTHI_RS08200","NTHI_RS08470","NTHI_RS09160","NTHI_RS09360","NTHI_RS09495"
"HINF_Oss_3 (GE) - TPM",-0.0816574993188158,-0.54745860448397,-0.709227207982034,-1.51240771064603,0.60506545653756,-0.912566568610476,-0.931765143691387,-0.721235930187618,-0.62813423588793,-0.240004424484051,0.00949904875179714,-0.674446724848913,-0.0213891083953514,-0.386257816825756,-0.7113625988433,0.297005441640393,-0.891629771497378,0.491809644174324,-0.259272347965257,-0.289726151570907,0.69783891628304,-0.899502875722206,-0.861368467133994,-0.699425330342503,0.651591594796223,-0.34154079558492,-1.52569713215317,-0.388816890223451,0.0416825465113127,0.812140098816337,-1.50546194468935,1.09459426014541,-0.0194371747610119,0.0829149584784162
"HINF_Oxs_1 (GE) - TPM",-0.303699324056596,-0.529604635133714,-0.71770491166644,-0.121161504036377,-0.776578799229454,-0.524117109112967,0.14098387211674,0.066496659546254,0.363039876732037,-0.0284071611753705,-0.864999343924043,-0.952479872068681,-0.997107579215644,-0.70203006233369,-0.424955948835,-0.58022850201035,-0.395299034700969,-1.28709738240998,-0.562808437477242,-0.570123195804561,-0.638771733431128,-0.32865971762947,-0.47260437790911,0.201630348319987,-0.548315179117196,-1.04969326053137,-0.033924307963472,-0.622272020309522,-1.20785775976863,-0.462969391061165,-0.0330643269610893,-0.490289727833202,-0.573964652078101,-0.888354298376032
"HINF_Oxs_2 (GE) - TPM",-0.401095481087172,-0.535928063493353,-0.579731600621048,0.27210445735626,-0.503810650301622,-0.380628100109209,-0.221578242160605,0.550481611439614,0.369094031302869,0.571599319990634,-0.373365811305501,-0.313890116983323,-0.336743756967686,-0.201893185166841,-0.277499397734049,-0.702187264143814,-0.145572568337915,-0.453129784009452,-0.436429444229279,-0.269764290624472,-0.389889651077817,0.191487046611388,0.253089031279527,-0.012037532232603,-0.495855586510457,0.0646976455867285,-0.422284222142692,-0.0291759410380035,-0.320817671611184,-0.406601319828447,0.804388579751336,-0.037919685830733,-0.623287579616982,-0.491328448284014
"HINF_Oxs_3 (GE) - TPM",-0.221631311938908,-0.629627057172435,-0.706776677285511,0.17800741852821,0.0100870257985815,-0.332629586958567,0.245718446382617,-0.470141675586353,0.0022121131396721,0.853472013828356,-0.382199434412419,-0.910160093206429,-1.06733866184539,-0.99905028174525,-0.658371757842525,-0.733746201468739,-0.345696026819534,-1.69130476213559,-0.575269681487594,0.0105891557411332,-0.0657226939325403,0.253120737891434,0.124506309083841,0.203209644158019,-0.711048767464835,-0.56870933994345,0.595840551509309,-0.722267653029421,-0.942774697864482,-0.558062507787322,-0.0728181579840643,-0.17630305454693,-0.48821429513662,-0.991187913749608
"HINF_Sp_1 (GE) - TPM",0.363440686906502,0.178872322113275,-0.223491669576895,-0.162717145453345,0.0801274830058151,0.216238292853323,-0.974448829111361,0.692231285457199,-0.26474518821555,0.0649273258425484,0.448851197863785,0.455674886604768,-0.390285282939356,-1.00325930957673,-0.65863488036408,-0.380457268867978,-0.110386591739758,0.0203823774953689,0.0252176048492347,0.253326497619437,-0.415099269891764,-0.750167371728402,-0.563871099637708,-0.754377336038477,0.196108987986488,-0.103421097704785,0.206530898705785,-0.0754440589005115,-0.751304697729592,0.619008028645991,-0.841145262449536,-0.651216558953503,-0.715681539205326,-0.320261271888426
"HINF_Sp_2 (GE) - TPM",0.518925116206001,0.0124824859559323,-0.494504621702268,-0.198077346976565,0.210244315982227,0.51480309812723,-0.396852185967902,0.490893964767532,-0.471809088905872,0.468488085532887,0.696170540246066,0.698876565995815,-0.248005542067938,-0.385335195914651,-0.467000668573337,-0.568409457297138,0.00478782212220388,0.774842406367527,0.344846379956839,0.301506205365492,-0.0550815464453205,-0.0651442820746505,-0.230842103596858,-0.543088271926893,0.325959648762135,0.753002676860043,0.011770396687632,0.946954074407037,0.528934046216142,1.19160971171268,-0.0345789758212393,-0.65872931447965,-0.31227414248173,-0.403577262566968
"HINF_Sp_3 (GE) - TPM",0.715589742044223,0.57197053227997,-0.118796132190037,-0.118953330642022,-0.0627234938912361,-0.343375525540347,-0.31168907744454,1.41758004657774,0.0456257926057311,0.540695992731557,0.819517261677596,-0.10000928182285,-0.28382118431682,-0.994205406537973,-0.412715238577176,-0.349416390574387,0.239651261310625,0.19323714451789,-0.17674404291172,0.284816364172406,0.390226613084271,-0.320950491854671,-0.605456792400801,-0.745927466260575,0.324284803063998,0.148517852179267,-0.864572721081803,0.648088641000433,0.570878887510814,0.268031393679648,-0.42092813877436,-0.401748861123936,-0.615898432192851,0.587115885949968
"HINF_Tm_1 (GE) - TPM",-1.45381308334655,-0.0412726130066127,-0.00524065376231182,0.728847395640065,0.293703102382568,-0.699799557799814,0.626257095851484,-1.07990048312091,-0.736525354404948,-0.93549721363577,0.00280673119728744,-0.585629306649876,-0.726260843827925,-0.418785061094654,-0.439948519695674,-0.242514668733055,-0.431215202256898,-0.478510792171058,-0.554571934112415,-1.21578462804365,1.04694886500386,-0.158183511918519,-1.62528188201017,-0.552257241377872,-0.162135063635345,-0.267923908616809,-0.397066066657245,0.775779726803697,-0.980304017381277,-0.213538140728731,-0.19546840359254,-0.689405550165307,-0.591861817138782,-0.673772437550312
"HINF_Tm_2 (GE) - TPM",-1.49195995402259,-0.385281817443585,0.0935190345743943,0.738894104697259,0.0481947028118163,-0.279967016973207,0.0935590161181793,-1.20598224124841,-0.703509855541674,-1.25685519961694,-0.461919234047798,-0.234414226440257,-0.617494800411248,-0.420270565150122,-0.858735233374866,-0.0810346394098252,-0.515734159448794,0.630100584786328,-0.649629213834229,-1.21903268302571,1.1098083785806,-0.43623935254955,0.562036291030079,-0.405003796926661,-0.595806731122277,-0.310822695023618,-0.12054359758973,1.28977433241647,-0.651175532028497,-0.308186995425215,-0.108772538355738,-0.318492203640486,-0.365514054193211,-0.931529571666953
"HINF_Tm_3 (GE) - TPM",-1.49057281256357,0.0531154968465602,0.177776397673734,0.714470512423366,0.522129369867037,-0.302398472919151,0.989874802162896,-0.914470335273111,-0.57630460148775,-1.65954685079275,0.406385118712033,-0.410824170496489,-1.05336167526492,0.175035958459451,-1.2912603069179,0.0248321127973826,-0.455708938925263,-0.164588107522268,-0.542033922652763,-1.10473473408663,0.962164064518127,-0.000574062070000397,0.163496566668461,-0.57181558582048,-0.431911602503379,-0.502326903611929,-0.773198779739346,1.40452449433676,0.345544952653471,-0.603021552256256,-0.00942393047089938,-0.374339018087947,-0.534220907330421,-0.816903815825631
"HINF_Vic_1 (GE) - TPM",1.89401895778033,0.898946287788777,2.86766093244861,-0.472679532013505,-0.399175407997994,1.76853127947751,-1.63764272825584,1.75871876536165,1.43661685064146,0.964291483083549,0.14155225594111,2.49033496069439,0.811877015756069,0.828428140524032,3.26105787184719,0.911756819183172,1.31473139154491,1.20709407301979,2.40925323407557,1.77983235731306,-0.97619037705745,1.91057872772663,2.19911811274171,0.716134977745142,1.369767089465,0.387142330544962,0.780011096576489,-0.632982053390565,0.749235100183486,1.25775126311376,0.0203555382524721,0.608727849217163,1.37996664370583,3.08871893530738
"HINF_Vic_2 (GE) - TPM",1.09295770138592,1.84641745266514,2.28065938108749,-0.40963813651711,1.72235500178363,2.66847097570623,-1.51465292523265,0.429396356216229,1.86410744825508,1.29459611237501,1.59118649929121,1.84958205068382,1.9867729272326,2.16807716454556,-0.223583137873241,2.72174585590668,1.32297049711787,2.07057752667957,3.10433873946916,1.02027817322231,-0.91306044627841,2.41499934315609,1.69366279506513,1.33194089280624,0.557393756625414,1.82292616361227,0.198948641239238,-1.04025604088517,2.70934957934204,0.713611084402758,1.06528473946268,0.924635308109266,2.4873987501715,0.390525964624641
"HINF_Vic_3 (GE) - TPM",1.60135533696031,0.39143706616755,2.25647378017986,-0.724849495465646,0.0556565351835361,1.74267851943365,-1.45280658993141,1.96710067223549,2.297073697393,1.30383672098158,0.632107426901487,2.23697424763107,1.7678989140345,1.95238003251537,2.38383064633485,1.68320060293121,1.22022147019575,1.50742855626842,1.59316872011306,1.56451255598081,-1.27761347075772,0.590663253764688,1.93968825145416,1.3158980063221,1.52151393181164,1.34750571099803,0.827460855915414,-0.443853461320793,-0.140568186172587,1.61933234141835,1.27166293363372,1.20762349381685,1.72421079625242,1.00662135145954
