"","ECP_RS02045","ECP_RS02220","ECP_RS02880","ECP_RS03550","ECP_RS24705","ECP_RS26280","ECP_RS09995","ECP_RS10440","ECP_RS14025","ECP_RS15350","ECP_RS25445","ECP_RS16170","ECP_RS25460","ECP_RS17115","ECP_RS17725","ECP_RS19125","ECP_RS19555","ECP_RS20515","ECP_RS25805","ECP_RS21660","ECP_RS21785","ECP_RS22035","ECP_RS26610","ECP_RS23125","ECP_RS23780"
"UPEC_Oss_3 (GE) - TPM",-0.436534524955629,0.0424893207573088,-0.0088601098129901,0.620619611207256,-0.542081133526545,2.12031293232703,0.419924501437293,0.302230603293219,-0.15770353483715,1.75352669559531,-0.363462744230515,-0.244328242580704,0.287070317096494,-0.286070281515189,-0.0813790308132499,1.26423172555364,1.60468060915419,-0.770099292840591,-0.36050159759898,0.566132156196671,-0.156236429419793,-0.275239629063749,-0.214554496378076,0.435016191016048,1.02034453010805
"UPEC_Oxs_1 (GE) - TPM",0.492050757801154,0.0604792094295326,1.01323954255682,-0.536078305627382,-0.208857506451221,0.125647485587347,-0.412074570469105,0.0450815319904624,-0.295747310557081,-0.467922080452235,1.75502239076019,0.676992657581897,-0.127617341205011,-0.286070281515189,0.13964787852251,-0.374357377997292,-0.327849859773455,-0.167472251585774,0.362712578382297,0.505300070750221,-0.602908532563225,-0.0184088623332009,0.579918633994,1.248567390654,-0.526395971031814
"UPEC_Oxs_2 (GE) - TPM",-0.686846849277866,-0.417878833860318,0.886387300699044,0.0653929713157677,-0.542081133526545,-0.513409922277356,0.26491121242889,-0.0612008505845369,1.19413917427131,-0.825516151670303,-0.363462744230515,-0.341377630584628,-0.260476322978179,-0.286070281515189,0.197158064888297,0.218732048092138,1.57024319943891,-0.55729531286804,1.47398241148305,0.358462333251475,-0.0528797978373309,-0.570435165365687,-0.214554496378076,1.2865745242823,0.235051347369059
"UPEC_Oxs_3 (GE) - TPM",0.399698635375256,-0.346913079947026,-0.112501095452283,0.471087535034896,-0.542081133526545,-0.513409922277356,-0.0743880394186604,1.32006724038993,-0.579823542489288,0.0927202915242168,0.845400360033548,0.0668053718049347,-0.260476322978179,0.106581914457233,2.14762706274472,0.200758516076928,-0.281336782410098,0.544925025496676,-0.36050159759898,0.282282477484451,-0.477595665969247,0.232605520346452,-0.214554496378076,1.02253035603555,-0.597785222260491
"UPEC_Sp_1 (GE) - TPM",-0.401556541376436,1.27730827848038,-0.621231166009023,-0.490611264296118,-0.542081133526545,-0.513409922277356,-0.977000788073992,-0.642935525541798,0.13470393800938,0.727408435821443,-0.363462744230515,-1.508421276417,-0.260476322978179,-0.286070281515189,0.0157831648672013,-0.760339852797961,0.296200170760565,-1.02150627563162,-0.36050159759898,0.844801150329078,-1.11438419374275,-1.0429464942456,-0.214554496378076,0.154802100907135,-1.02194572700251
"UPEC_Sp_2 (GE) - TPM",-1.08751486333171,-0.0813812823062501,-0.621231166009023,-1.87425999781194,-0.542081133526545,-0.513409922277356,-0.977000788073992,-0.642935525541798,-0.879741879182101,-0.825516151670303,-0.363462744230515,-1.508421276417,-0.260476322978179,-0.286070281515189,-0.636337083428762,-0.760339852797961,-0.657140427133139,-1.02150627563162,-0.36050159759898,-1.50133706480957,-1.11438419374275,-1.0429464942456,-0.214554496378076,-1.34961637024328,-1.02194572700251
"UPEC_Sp_3 (GE) - TPM",-1.08751486333171,-1.5903966320732,-0.621231166009023,0.42647563538387,-0.542081133526545,-0.513409922277356,-0.977000788073992,-0.642935525541798,-0.879741879182101,-0.825516151670303,-0.363462744230515,-1.508421276417,-0.260476322978179,-0.286070281515189,-1.88967879704569,-0.760339852797961,-0.657140427133139,-1.02150627563162,-0.36050159759898,-1.50133706480957,-1.11438419374275,-1.0429464942456,-0.214554496378076,-1.34961637024328,-1.02194572700251
"UPEC_Tm_1 (GE) - TPM",0.367851446413548,0.640505294281631,0.443584989938107,1.55063473568525,0.481327737892183,0.467938588217936,0.0640127333712008,-0.173365807939541,-0.281879889577531,-0.367909363750412,-0.363462744230515,-0.370141591364234,-0.124462497841314,-0.286070281515189,-0.93514502957456,-0.257424293805904,-0.544770481588088,0.102611402500773,0.37988588019261,-0.592710410220304,0.837294312054669,-0.852243566295102,-0.214554496378076,0.334974122369555,0.246346732186016
"UPEC_Tm_2 (GE) - TPM",-0.0662221596048431,-0.0960374231555445,-0.621231166009023,-0.0717138053422829,0.535173443885995,0.00308070276079594,-0.489985019206713,0.469184780570512,0.347428108268086,-0.825516151670303,-0.363462744230515,-0.0830130756025038,-0.260476322978179,-0.286070281515189,0.947278401102093,-0.136432431742835,0.229975966669869,-0.824295928101825,-0.36050159759898,-0.690448046644867,0.990086507443931,0.462577892571297,-0.214554496378076,-0.369676981966389,-0.220932234347396
"UPEC_Tm_3 (GE) - TPM",-0.328817514080649,-0.110224992456878,0.0924682664040478,0.421296292877566,0.524945900270439,-0.513409922277356,-0.675505787498375,0.458626218726291,0.0552728396544103,-0.252983908989322,-0.363462744230515,0.210383385336617,0.164956069945696,-0.286070281515189,0.305651587418312,-0.310896949153156,-0.305662812364095,-0.142485202971305,-0.36050159759898,-0.945282192438363,0.300091626145791,-0.744700331253935,-0.214554496378076,-0.101656103739114,0.697106249134255
"UPEC_Vic_1 (GE) - TPM",-0.189050162099509,-0.463565064846734,-0.621231166009023,-0.968111980710569,-0.542081133526545,-0.513409922277356,0.308330466638593,-0.642935525541798,-0.879741879182101,1.20849653004131,-0.363462744230515,0.890493854802956,-0.260476322978179,-0.286070281515189,0.606085534945711,0.0380191719425988,-0.657140427133139,-0.327536622093026,-0.36050159759898,-1.50133706480957,-0.0564573789119606,1.60597190932319,-0.214554496378076,-0.364376560973439,-1.02194572700251
"UPEC_Vic_2 (GE) - TPM",-0.401448256830183,-0.443133589988543,-0.621231166009023,-1.04393970437158,-0.542081133526545,-0.513409922277356,0.658794977676722,-0.642935525541798,-0.879741879182101,-0.825516151670303,-0.363462744230515,-0.509252829346026,-0.260476322978179,-0.286070281515189,-0.936797418502265,-0.455526838771425,-0.657140427133139,-0.491591850874037,-0.36050159759898,-0.160475021618091,0.0973633446375327,-0.233862082564968,-0.214554496378076,0.155039587653292,-0.304490803398465
"UPEC_Vic_3 (GE) - TPM",0.492910156103576,1.05244182949533,-0.621231166009023,-0.280319806840419,-0.542081133526545,-0.513409922277356,0.153466369162561,-0.642935525541798,-0.879741879182101,-0.825516151670303,-0.363462744230515,-1.508421276417,-0.260476322978179,-0.286070281515189,-1.88967879704569,-0.409255782474999,-0.657140427133139,-0.411150075080388,-0.36050159759898,-0.34303193471574,-0.649153338141869,-0.111041898970808,-0.214554496378076,0.383448537895247,-1.02194572700251
