"","ETEC_RS27365","ETEC_RS02065","ETEC_RS27485","ETEC_RS03200","ETEC_RS27595","ETEC_RS04330","ETEC_RS04425","ETEC_RS27860","ETEC_RS27900","ETEC_RS11360","ETEC_RS11375","ETEC_RS29950","ETEC_RS13435","ETEC_RS13710","ETEC_RS30030","ETEC_RS28455","ETEC_RS30100","ETEC_RS28705","ETEC_RS19150","ETEC_RS28790","ETEC_RS20475","ETEC_RS20770","ETEC_RS21195","ETEC_RS21375","ETEC_RS22595","ETEC_RS24250","ETEC_RS25410","ETEC_RS25605","ETEC_RS29385"
"ETEC_Oxs_1 (GE) - TPM",-0.320152795380475,0.163288122360684,-0.550379580336352,-0.599525697331697,-0.775962276448753,-0.693181341769217,-0.502140073647595,3.8956942372941,-0.1993586657831,-0.244928769408561,0.809426976395105,0.371210586456223,1.3403240852452,-0.244803064499805,-0.836460399371317,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,-0.434366501936868,0.436379858786452,0.793310535756578,0.381572328569879,-0.201665782398685,-0.429391659684057,0.378065524510787,0.0579574015534468
"ETEC_Oxs_2 (GE) - TPM",-0.320152795380475,-0.174241695710214,-0.550379580336352,0.575270545628137,-0.392930129709518,-0.693181341769217,-0.163365931747375,-0.355764161335351,-0.1993586657831,-0.244928769408561,-0.984208495570861,-0.658078807266103,-0.8190502237862,-0.244803064499805,-1.03024864599759,-0.380113199907806,-0.220701108130833,-0.288552950735814,1.60481664489642,-0.202731698845133,-0.426558037768579,-0.434366501936868,-0.268133370455712,0.161303807868584,0.35216675910111,-0.8465699190274,-0.677713320746088,-0.565745268001399,-0.378043806155924
"ETEC_Oxs_3 (GE) - TPM",-0.320152795380475,0.0534088715515035,-0.550379580336352,1.54035016671076,2.01478973868771,-0.693181341769217,-0.502140073647595,-0.355764161335351,-0.1993586657831,-0.244928769408561,0.150524522631816,-0.202380201647976,-0.8190502237862,-0.244803064499805,-1.03024864599759,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,2.10323295292526,-0.0271896514157854,-0.339880431764222,0.818043752193708,-0.365096422810581,1.43758392631204,-0.698680403292156,0.42417398243808,-0.529158728342957
"ETEC_Sp_1 (GE) - TPM",-0.320152795380475,-0.796042219513559,0.52353642889208,0.167403804859513,-0.775962276448753,0.161079883793773,-0.0598235690328442,-0.355764161335351,-0.1993586657831,-0.244928769408561,-1.49560372829886,-0.658078807266103,-0.8190502237862,-0.244803064499805,-0.046272709347255,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,-0.434366501936868,-0.736083423093174,0.600344777087591,-0.677763959785507,-0.8465699190274,0.00749317041019399,-0.572060670480559,-0.655508130112736
"ETEC_Sp_2 (GE) - TPM",-0.320152795380475,-0.796042219513559,0.756492012141113,-0.599525697331697,-0.775962276448753,-0.693181341769217,1.65091796699063,-0.355764161335351,-0.1993586657831,-0.244928769408561,-0.991473591175517,-0.658078807266103,-0.8190502237862,-0.244803064499805,-1.03024864599759,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,-0.434366501936868,-1.03786168359573,-1.27516841251549,-0.677763959785507,1.14586806531842,-0.912621260826266,-0.566441224028836,-0.214656305927839
"ETEC_Sp_3 (GE) - TPM",-0.320152795380475,-0.796042219513559,0.537164647889934,-0.599525697331697,1.24982910016573,2.76722657492424,1.28957830051046,-0.355764161335351,-0.1993586657831,-0.244928769408561,0.776861603344232,-0.658078807266103,1.40165841144767,-0.244803064499805,0.464445549159955,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,-0.434366501936868,-0.150469752389793,1.00400820074079,-0.677763959785507,0.811484661186408,0.329766573644066,-0.307892863561971,-0.655508130112736
"ETEC_Tm_1 (GE) - TPM",-0.320152795380475,-0.239572353974819,-0.0596449191921354,0.627065676190771,-0.204648704252423,0.0875418985307847,-0.300019946873444,-0.355764161335351,-0.1993586657831,-0.244928769408561,-1.17008931026836,0.38675933045306,1.05980215673077,-0.244803064499805,-0.29959045006638,1.45255574038845,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,-0.300997053502582,-0.729658387264718,-0.161028090333994,-0.0632845713822709,0.462722572827346,0.13851318507011,-0.464380374994755,-0.200269453649417
"ETEC_Tm_2 (GE) - TPM",-0.320152795380475,-0.063272629595157,-0.356517095427308,-0.599525697331697,-0.234294719552274,0.232082100473448,-0.0230602800260778,-0.355764161335351,-0.1993586657831,-0.244928769408561,-0.685905768561993,-0.186354772260352,0.764378139046543,-0.244803064499805,-0.408555641529318,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,0.446360450956843,-0.223618537732892,-0.636942774740724,-0.598036040552173,-0.192269412246665,-0.8465699190274,-0.137495658767504,-0.920425383774283,-0.0669409938322822
"ETEC_Tm_3 (GE) - TPM",-0.320152795380475,-0.140841435627157,-0.377038800542727,0.390795010894768,-0.291634033413092,0.134136468635207,-0.502140073647595,0.515330628296747,-0.1993586657831,2.07686463428449,-0.179739015506727,-0.447184440256828,1.12769038733995,0.975103040251721,-0.553777987375422,0.483017906045311,-0.220701108130833,-0.288552950735814,0.00359101447120897,-0.202731698845133,-0.426558037768579,-0.24592768951528,-0.284348140787963,-0.669715256443734,-0.388362932464623,-0.318024106486753,0.0774831891661713,-2.36196750551565,0.0461761003390717
"ETEC_Vic_1 (GE) - TPM",-0.320152795380475,0.038364910479892,-0.550379580336352,-0.599525697331697,-0.775962276448753,-0.693181341769217,-0.502140073647595,-0.355764161335351,-0.1993586657831,-0.244928769408561,-0.504807026354812,-0.658078807266103,-0.8190502237862,-0.244803064499805,2.00371074856717,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,-0.434366501936868,-0.556418761294357,-0.504115564431848,0.243626423704496,0.836205824167707,-0.282165503939887,-0.265356860410276,-0.28317294986488
"ETEC_Vic_2 (GE) - TPM",-0.320152795380475,-0.796042219513559,-0.550379580336352,-0.599525697331697,-0.775962276448753,-0.693181341769217,-0.502140073647595,-0.355764161335351,-0.1993586657831,-0.244928769408561,-2.00992692618966,-0.658078807266103,-0.8190502237862,-0.244803064499805,0.637575829977448,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,-0.434366501936868,-0.682672377982972,-1.27516841251549,0.841752850944635,-0.8465699190274,0.127098859761037,-0.0634782209819177,0.572569730252289
"ETEC_Vic_3 (GE) - TPM",-0.320152795380475,-0.796042219513559,-0.550379580336352,-0.599525697331697,0.865368119587116,2.11049961029533,-0.502140073647595,-0.355764161335351,-0.1993586657831,-0.244928769408561,-0.0683551674891082,-0.658078807266103,-0.8190502237862,-0.244803064499805,-0.222897654294214,-0.380113199907806,-0.220701108130833,-0.288552950735814,-0.423959520580367,-0.202731698845133,-0.426558037768579,-0.434366501936868,-0.194960235485804,-1.27516841251549,-0.677763959785507,-0.8465699190274,-0.912621260826266,0.962366048726859,-0.655508130112736
