"","KPN_RS02660","KPN_RS02665","KPN_RS02670","KPN_RS02675","KPN_RS02680","KPN_RS28600","KPN_RS04420","KPN_RS04425","KPN_RS04430","KPN_RS06010","KPN_RS10505","KPN_RS10510","KPN_RS10690","KPN_RS13150","KPN_RS14000","KPN_RS19070","KPN_RS21770","KPN_RS28145","KPN_RS28155","KPN_RS28160"
"KLEBS_Ns_3 (GE) - TPM",-0.348057423672789,-0.237660232233871,-0.228187286927432,-0.298746344995275,-0.414141584457874,-0.72746762247421,-0.4014563591779,-0.203125370226043,-0.761848640794928,-0.536004371083112,-0.202504248730758,-0.34573509403017,0.167624478149297,-0.716798996542249,-1.08197190101591,-0.841720710441102,-0.530514232819236,-0.465858147026267,-0.762003373287939,-0.377612594783199
"KLEBS_Oss_1 (GE) - TPM",-0.377333291208632,-0.3909992090311,-0.388150817039988,0.111301754572506,0.443690741707601,-0.21938734021885,-0.652850499192369,-0.153603151675554,-0.151965788640713,-0.536004371083112,0.751587797851805,-0.295379130749177,0.735624639711977,-0.719871975517383,0.553749449293017,0.218263979195344,0.253639528995094,-0.174084556784701,-0.704565912442432,-0.234690564493152
"KLEBS_Oss_2 (GE) - TPM",-0.382841961584744,-0.367866813232698,-0.392319281673951,-0.00394490357947365,0.728561456380147,-0.72746762247421,0.383386136177814,-0.193786475127106,0.0230438233007058,0.981547530695279,-0.300790656564223,-0.370254287384654,-0.132152075104759,0.42697352198283,0.0697369724259051,-0.276544708981905,0.229914680435308,0.032306550993728,-0.779164259459259,-0.0635359354529901
"KLEBS_Oss_3 (GE) - TPM",-0.355023395872067,-0.347785727857814,-0.36044510728435,0.124480371796898,1.68853499881301,-0.72746762247421,0.0113413263545781,-0.579641196402954,-0.302609673712994,-0.262105503367807,0.684959531980033,-0.469042698730603,0.195687462123331,1.10068975031434,6.86777370356013e-05,0.237377350743533,0.930724565606797,-0.750137171672489,-0.780446900960409,0.045305377993172
"KLEBS_Oxs_1 (GE) - TPM",-0.413068492931911,-0.407910253389397,-0.422733995579075,-0.590472956305397,-0.796475378336996,-0.72746762247421,-0.422504607478108,-0.269052005360265,-0.183088640132356,-0.50908991969572,-0.389470622426916,-0.475969695577024,-0.297620809579616,0.526758189772136,-0.80248233187812,-0.978451959609126,1.92360306367728,0.293825837680144,-0.297821435043901,-0.271452127377254
"KLEBS_Oxs_2 (GE) - TPM",-0.408506913242518,-0.4047798327298,-0.419446263511482,-0.579461311730224,-0.225605627905577,-0.277410683876902,-0.459169955215261,-0.153964322131864,0.233028584186038,-0.390486299220104,-0.376874949383706,-0.0438683342455575,-0.0989604286127336,1.10424728904801,-0.747070933634967,-0.919071677733372,1.38801237190778,0.286651203068151,-0.382454711554592,-0.157371297263757
"KLEBS_Oxs_3 (GE) - TPM",-0.395416435325793,-0.402578148805938,-0.421501800860981,-0.5294613030145,-0.611834075837273,-0.72746762247421,-0.454379981184237,-0.118090113986536,0.00148576518705992,-0.536004371083112,-0.39404843011315,-0.366424408553905,0.0641555301272429,0.751055078765805,-0.607985260652729,-0.835315661522361,1.09141134170619,0.299765649907117,-0.282606738744323,-0.198157894516217
"KLEBS_Sp_1 (GE) - TPM",-0.396556217669626,-0.360241710553052,-0.437969798024843,-0.703485299256463,-0.96602682334217,-0.72746762247421,-1.62503258999659,-0.650854564117712,-0.900611751590759,-0.536004371083112,-0.49185644463734,-0.551684542248102,-1.03060984927112,-1.64179838247602,-0.748079023386948,-1.39698636390735,-0.861368971499711,-0.41588376682705,-0.277749509916225,-0.606793512138656
"KLEBS_Sp_2 (GE) - TPM",-0.41722767657564,-0.403164153477098,-0.437969798024843,-0.711802561567368,-0.96602682334217,-0.72746762247421,-1.67057432635676,-1.02442453626287,-0.63606966327969,-0.536004371083112,0.0639264784103891,-0.582223754605331,-1.03060984927112,-1.02570783017205,-1.04767322266842,-1.36678535586171,-0.95936445670983,-1.79615183065821,-0.314348258351441,-0.557124138850418
"KLEBS_Sp_3 (GE) - TPM",-0.404983841792398,-0.408113087488742,-0.405890100856135,-0.734863599825328,-0.96602682334217,-0.72746762247421,-1.51962097352932,-0.954745814894021,-1.17036122156471,-0.536004371083112,-0.249235013699553,-0.758765984963129,-1.03060984927112,-0.656597038001836,-1.25103611632366,-1.46537772525146,-0.985907534952112,-1.3300158021311,-0.815250985679567,-0.606793512138656
"KLEBS_Tm_1 (GE) - TPM",-0.144416274706173,-0.226073135242555,-0.25013430892582,-0.388252028202568,0.218240032574942,-0.72746762247421,0.010747640691556,-0.126975729418762,-0.302262461897837,3.07339418202271,-0.268956269777514,-0.26031396226083,-0.0823674075106235,0.879923434374655,0.365488075106076,0.266898399469146,0.085605494314897,0.0594170054820605,0.939958637272504,-0.263659778015873
"KLEBS_Tm_2 (GE) - TPM",-0.181567193635542,-0.297811345762629,-0.253503447703274,-0.434688603205966,0.625133802597881,1.02912151011249,-0.130143290849391,-0.396994822131923,-0.322905084795378,0.173948753216409,-0.436633694688242,0.00889268346080947,-0.256336676253645,-0.302775906178083,0.270204444330459,-0.159310173800384,-0.243222426127479,-0.278288578249257,0.451085128528588,-0.0950210703448024
"KLEBS_Tm_3 (GE) - TPM",0.0588845813294228,-0.141664889544266,-0.149897278209705,-0.357009873325474,0.31827061811526,0.0657696209443409,0.139285864370273,-0.279529759475229,0.0417404005981299,0.618153135476864,-0.647561774182964,-0.134781820114428,0.0814589052761767,1.18145407635158,0.243768075164528,0.653524080044162,-0.0142109362129973,-0.406447768700804,0.793435148352465,-0.25398697381827
"KLEBS_Vic_1 (GE) - TPM",0.0763481564680052,0.10561069003727,0.150998377308878,0.0125284687542423,-0.460485309727377,-0.0699874981774742,-0.150354783901718,-0.371054583576423,-0.317898625538827,-0.378534188660371,-0.631506652928196,-0.472824301138643,-0.840795709316122,0.212489316734961,0.286133572820427,0.883294840669164,-0.654499200122341,-0.325479884889095,-0.313385100210934,-0.252195603525522
"KLEBS_Vic_2 (GE) - TPM",0.0333328272465145,0.225922208027059,0.0293926870386355,0.0936238556060942,0.212827559437107,0.562329152674408,-0.100492370126642,-0.612859158980877,-0.283200822916766,-0.304319192543647,-0.531255228672214,-0.44017405571153,-0.711441049858746,0.573264967233202,0.197137005136258,1.2216990043802,-0.78939383885335,-0.105954344805333,-0.421355948545422,-0.308012092498835
"KLEBS_Vic_3 (GE) - TPM",0.140967898452616,0.461697500027067,0.381930992237844,0.205159846129906,-0.232827670818969,-0.72746762247421,-0.15348450089874,-0.721660446399174,0.453724255344989,-0.536004371083112,-0.307121094886564,-0.430468248348061,-0.709939972815498,-0.112481094313149,-0.472076147592763,0.740258211839084,-0.818085306315912,0.266697422814114,-0.547062130951871,-0.435918055395399
