"","SAR_RS02290","SAR_RS02295","SAR_RS02775","SAR_RS02780","SAR_RS03065","SAR_RS03070","SAR_RS03520","SAR_RS14965","SAR_RS05485","SAR_RS06115","SAR_RS06400","SAR_RS07080","SAR_RS07085","SAR_RS07175","SAR_RS07180","SAR_RS07185","SAR_RS07190","SAR_RS07475","SAR_RS07480","SAR_RS07510","SAR_RS09870","SAR_RS12345","SAR_RS14540"
"MRSA_Ns_3 (GE) - TPM",1.15301229153561,1.45372393266365,1.54640778182801,1.75756917415207,-2.04282638351015,-1.79098382908141,-1.25449783397935,-0.917442391596352,-1.34339368205101,-2.2980022276813,-1.96586975773872,-2.02587345370819,-1.84148558016101,1.09912698220027,1.20042867336259,1.74064954926115,1.04775963201641,-1.23568645464421,-1.2059495515863,-1.90630453522049,-1.31662075194307,-1.27051980278223,1.55672618032547
"MRSA_Oss_1 (GE) - TPM",0.10487515967324,0.169863928032782,1.2258858369383,1.11299377603011,-0.455963022568649,-0.180857765819883,-0.832873586259675,-1.23668136262283,-0.795283205030661,-0.357175965970208,0.0494505984202229,-0.232508824049645,-0.0954472494355448,1.40521530933983,1.2787681833397,1.15744406985554,0.793862078461122,-0.719284745646288,-1.07486263313108,-0.954052343308025,-0.308498813727938,-0.520053961107855,0.740346831839119
"MRSA_Oss_2 (GE) - TPM",1.02026031758505,-0.113413584491153,1.42684114506546,0.0506485495262861,0.0576800167834062,-0.647695209638681,0.309103784801703,-0.0539129516875655,-0.334655954521682,0.63073797501828,-0.188323118720389,-0.282789090744811,-0.112058967321221,1.07568972743381,0.719914108329507,0.622040618595498,1.2585420197033,-0.946221667078428,-1.14506442486338,0.886143560801656,-0.578518878144781,-0.00462873824676109,1.16202180058418
"MRSA_Oss_3 (GE) - TPM",0.0391843555264474,0.212235427105157,0.756352782204096,1.98694715229972,-0.419017544401754,-0.478177804613273,-0.410350316796082,-0.603381682418513,-0.276556150664063,0.0509819819574266,0.170711002110276,0.0191759336112451,-0.289538856070131,1.12052534482756,0.694369679587276,0.242383311447037,0.701395785529086,0.0414726845453785,-0.85522755746335,0.528129153586275,-0.0457228680924916,-0.635602391436772,0.665320314996406
"MRSA_Oxs_1 (GE) - TPM",-1.00829991254838,-0.781232948353795,-0.238731054503292,0.59795223603505,0.23174507643416,0.221089903295399,-0.335898653379748,0.148875005415187,0.700166518144186,-0.34632499802498,-0.012361783599521,0.575703483097498,1.60678656272434,-1.12285844451707,-1.13081554460471,-1.05177798597737,-1.09764479222225,0.920719094233133,0.273059669037188,-0.27836141867235,1.6731620834772,-0.317901442556209,-1.00416048155225
"MRSA_Oxs_2 (GE) - TPM",-0.927124358388591,-0.861474128647564,0.00501299692735423,-0.108484582244886,0.102839205536037,0.269663987166071,0.0961511054171252,0.271945952114559,0.800929487190001,0.711626916224156,0.247852800017162,0.849715579790601,1.9834774267026,-1.10773515538955,-1.10898098514933,-1.12844844075017,-1.12072418881566,0.773769333819318,0.822013864815332,-0.167417515053098,2.15064527140168,0.151574158258019,-0.994778382427727
"MRSA_Oxs_3 (GE) - TPM",-0.593986155276731,-0.857462006103534,0.430979195205291,0.193519653722107,0.545408048635088,1.05171120951386,-0.0307875615249202,0.195414392504439,0.0980062954624891,0.280289189051803,0.73956011395077,1.74190923648523,2.35600064024022,-1.17141711593801,-1.04134434270912,-1.01799141634857,-1.15811178235248,1.93399125430382,1.56497647484044,0.967072278136228,1.29809290988885,0.198904542510221,-0.80242823831353
"MRSA_Sp_1 (GE) - TPM",1.11804566788626,0.692212686015327,0.566460908622783,0.142307543945472,-0.813598384213471,-1.08674819651301,-0.352415535426896,-1.76588353952599,-0.799125296267267,-1.09250690798375,0.11071511431155,-1.22262369730619,-0.87517763292011,1.37583670689886,1.64523207284222,1.34496783469994,2.06552174975177,-0.952414940109814,-0.752406670238294,-1.37299484427323,-1.55886836826029,-1.96479481549386,0.0628998172218664
"MRSA_Sp_2 (GE) - TPM",0.683386657610402,0.163146663709061,-0.108449143622064,0.569976593871076,-0.785048673864697,-1.45598915332303,0.103991756882982,-0.483106462165328,-0.931610593681022,0.223747367527959,-0.104743192441166,-1.22516906801397,-0.975697646901921,0.94188353754975,1.05197931602099,1.34619906150158,1.99584321506493,-0.965407965887116,-0.880720354234817,-0.974065127817467,-1.55842145166311,-1.6863554247636,-0.394147062108822
"MRSA_Sp_3 (GE) - TPM",-0.197585548943828,-0.583845055253373,-0.50003250027754,-0.405685775242178,-0.89964669875564,-1.8773005535501,0.0976192793820244,-1.10561148445906,-1.13535675285817,-0.666455809176117,-0.514109761384678,-1.30670542634523,-1.17971778649107,0.405728141209217,0.809752141366873,0.724229982767287,1.04862131843249,-1.27907068066544,-0.827803419925833,-1.05837228228555,-1.40432979521566,-1.55272150416362,-0.143338783899803
"MRSA_Tm_1 (GE) - TPM",-0.899178657932292,-0.626927082299057,-0.0171139010301695,0.707646739372565,-0.159471280071616,0.395611640151187,0.59974784817481,-0.0306570711661375,-0.233507028574158,0.682655932624142,0.592277005897179,0.195738652845406,0.22555409427088,-0.780717947522634,-0.774847870322908,-0.414352905530602,-0.454652220919188,0.953518223780185,1.05245010246276,0.236063679967617,-0.490437359640889,-0.0562539630597653,-0.935944443899941
"MRSA_Tm_2 (GE) - TPM",-0.774969754052958,-0.743004029641136,-0.0113745518244096,-0.0327377983721431,0.0698689581823604,0.130827651290267,1.38434915131008,0.876165807286704,-0.735842776899994,-0.444523366858656,0.33599498373211,-0.109127663876805,0.390149445147564,-0.753327323039361,-0.785759343101969,-0.686288585848489,-0.466739166814628,1.40155652711483,0.250551641580144,-0.086170168444105,0.325064173133704,0.442698640515967,-0.714825583477367
"MRSA_Tm_3 (GE) - TPM",-0.750132373317926,-0.449420671474908,0.0820837785175969,-0.076702137362266,0.342221607309902,0.553659603159178,0.84012483149061,0.227046546030549,-0.658215518978156,-0.17436901394427,0.496408172672627,-0.0528640241619673,0.402150017087329,-0.708630198083377,-0.487649537880273,-0.401559535538592,-0.122134311969958,0.960321899008051,0.728720962485442,0.536783053819398,0.395264794008505,0.170250185653111,-1.02468192385111
"MRSA_Vic_1 (GE) - TPM",-0.795816450557344,-0.769139845633342,-0.280391126438353,-0.578082262453084,1.15521857678549,1.88421852758918,0.558344371327811,-0.25367013713728,1.22194698156126,1.20281027583509,0.887710154766488,0.846013630226777,0.821064316189835,-1.02231451130167,-0.983681718776137,-0.740008039360134,-0.833422252795642,0.173733736005204,0.205257639659884,0.515168705478495,1.13898260558847,2.06577489569961,-0.866873718421423
"MRSA_Vic_2 (GE) - TPM",-1.01515880942729,-0.733281200379432,-0.581695039114138,0.1951636254365,0.807604779346456,1.11814659344506,0.260202784957027,1.11770967559468,0.896510938650054,1.12151935238379,0.623869197872637,0.487751874052473,0.385159499534292,-0.947175839951897,-0.924523829719913,-0.860889396868966,-0.872667022597641,0.485062650968112,0.0461833155072303,0.321241996109188,-0.0670045669505624,0.859088556844665,-0.912799963122143
"MRSA_Vic_3 (GE) - TPM",-0.44861208581821,-0.542917327336278,-0.428839150489181,-0.300600899330034,1.67415064074923,1.29611206349776,0.264785983051426,1.81749827637727,0.0936841965472576,0.408858605843574,0.631726092712836,0.321556627125348,0.489397548197826,-0.958545068793601,-0.819585116131565,-1.0368378761879,-0.710607769489679,0.667630679596581,0.149654127668292,0.62744693861078,0.904522556972154,1.20333762595274,-0.895533286888323
