"","pWR501_0130","pWR501_0134","pWR501_0139","pWR501_0140","pWR501_0142","pWR501_0155","SF5M90T_140","SF5M90T_579","SF5M90T_903","SF5M90T_1036","SF5M90T_1143","SF5M90T_1248","SF5M90T_1640","SF5M90T_1713","SF5M90T_1718","SF5M90T_1735","SF5M90T_1771","SF5M90T_1955","SF5M90T_2166","SF5M90T_2167","SF5M90T_2169","SF5M90T_2252","SF5M90T_2253","SF5M90T_2313","SF5M90T_2692","SF5M90T_2737","SF5M90T_2868","SF5M90T_3067","SF5M90T_3376","SF5M90T_3377","SF5M90T_3453","SF5M90T_3481","SF5M90T_3670","SF5M90T_3750","SF5M90T_3838","SF5M90T_3839","SF5M90T_3840","SF5M90T_3909","SF5M90T_3910","SF5M90T_4170","SF5M90T_4249"
"SHIF_Ns_3 (GE) - TPM",-0.68511226416277,0.912918867687383,-0.737536022992183,-0.676674087088217,-0.764833124208496,-0.970001786060785,-0.993728608196215,-1.43745957014853,-0.85503026671353,-0.855149986925695,0.157879661198967,-0.661073615495494,-0.614898677358353,-1.01711602612075,-1.39458354180116,-0.419541755708187,-1.19976827505812,-0.790680513987004,-0.445502173914356,-0.416820510066331,-1.13800969087511,-0.332556729619757,-0.348151049647478,-0.492182668228239,-0.18329707877978,-0.292055437879039,-0.159107824756009,0.119601048683877,-0.307317096207123,-0.340486953898686,-0.322140095273247,-0.426880134051029,-0.601858041119472,-1.34919488690969,-0.395595631426042,-0.39049957905805,-0.419047870384244,0.881033281889623,-0.357713531803747,-0.383169529778046,0.424467513920062
"SHIF_Oss_1 (GE) - TPM",-1.05004093839129,-0.996492648509889,-0.406065995401021,-0.594266512918059,-0.423414169091324,-0.185485388775905,-0.882634771141403,-0.141967516268757,-1.29009791107556,-0.722346581401863,-0.222299852758986,1.41159204227607,-0.0316753893352374,-0.821105138358016,-0.970181318819203,-0.458271727519992,-1.24807122667711,-0.645253079552885,-0.218548439231748,-0.373523829083059,-0.528332725481947,-0.43355162206415,-0.218433245433267,0.238231128700374,-0.18329707877978,-1.1139066912485,0.823815207288685,-0.993949836194787,-0.486281754048386,-0.342210232469149,-0.951398997976757,-0.434892200729586,-0.451496191499028,-0.90274853083486,-0.417020621831387,-0.426045655613565,-0.419624869025189,-0.455209021875497,-0.257679727304098,-0.180713109256216,-0.873938030285378
"SHIF_Oss_2 (GE) - TPM",-0.976072750336021,-0.979591947010806,-0.199952548300496,-0.485372348197133,-0.300190904746479,-0.145655767901277,-0.417264199495572,-0.0517585355941253,-1.15876935173831,-0.546836082748101,-0.798201572653926,1.94428254539904,-0.0558560999060114,-0.870372809696133,-0.946829287634358,-0.435548219349021,-1.25945380414937,-0.778631109231859,-0.149492392663537,-0.382085437460305,-0.22068602681075,-0.460041528757341,-0.226337420352559,0.498934284305807,-0.18329707877978,-0.944883817084636,0.540847427609058,-1.02028700642224,-0.484143475773821,-0.37036185134598,-0.975819746576987,-0.40243007037041,-0.545188993284713,-1.00043001064685,-0.419504333573036,-0.424694969498498,-0.419589159384121,-0.419992157228715,-0.310462785101806,0.0298322834053427,-0.861782370555625
"SHIF_Oss_3 (GE) - TPM",-1.01170354544815,-1.09910334626823,-0.673316424848552,-0.713591694873646,-0.400221984887375,0.153227370214125,-1.34572578672033,-0.651189859492694,-1.05696758825576,-0.52176935900236,-1.08794711119839,0.34915455281806,-0.468354837127839,-1.08697742812211,-0.761320079425351,-0.415236296793752,-1.27854063830689,-1.14868313510404,-0.236946182621766,-0.374959464777614,-1.30212328614233,-0.445598715734867,-0.284649461584667,-0.0997331368932761,-0.18329707877978,-1.06653467629292,0.0795524844195758,-1.05101990157865,-0.685943727065579,-0.405319007798577,-0.97262971121418,-0.399096596978423,-0.156266855441679,-1.04405494286394,-0.414652552096309,-0.414946810100304,-0.426958179417861,-0.12070707178712,-0.159133710173633,-0.537125147362612,-0.881068739112309
"SHIF_Oxs_1 (GE) - TPM",-0.662525299771055,-0.260709526168431,-0.523393772981016,-0.500711507612857,-1.08381677647003,0.150250540937425,0.0463340013352054,0.492590541695759,-0.388474381540438,-0.755378675919183,-0.8044383208683,-0.407906553364805,-0.630074153750483,-0.719783967775006,-0.326509737053839,-0.455950379382821,-0.574477663731419,-0.537661850310729,-0.426286225033297,-0.422277873563699,0.191748827381733,-0.479057570254238,-0.455390029627449,-0.79561982932527,-0.18329707877978,-0.710210138063292,-0.221240710523945,-0.0174001274523057,0.121832937148299,-0.00916912752044041,-0.657880980253,-0.434743351908386,-0.703481197562591,-0.343266581524833,-0.387904673479491,-0.415278631125159,-0.403685619715516,-0.488605419600341,-0.382841936231753,-0.780215415574514,-0.558279485004542
"SHIF_Oxs_2 (GE) - TPM",-0.524090201102715,-0.365096816424898,-0.720848088892278,-0.534574906760298,-0.785399077095055,0.183329929969416,0.231200266332697,0.232340426298556,-0.33001906303151,-0.806381577405321,-0.66859294914334,-0.186085776774716,-0.859852543378891,-0.821587514923773,-0.201312344631362,-0.43077318616193,-0.609771856558228,0.0563791777725573,-0.442184453448253,-0.413092936509462,-0.565565890843527,-0.481078944042506,-0.540906222426064,-0.464575733577454,-0.18329707877978,-0.5321649224619,0.326514757456087,0.0642168032197,0.376126438224302,-0.180883075650589,-0.692576857343045,-0.435811352586984,-0.678894243038751,-0.883125537944538,-0.409984028298376,-0.408422508062954,-0.411644889777975,-0.748304416701337,-0.243836998943643,-0.315459942251705,-0.568832113391816
"SHIF_Oxs_3 (GE) - TPM",-0.782487780763495,-0.655075304767649,-0.946549078060015,-0.653640801665546,-1.03361730963796,-0.349985029341315,-0.678372870771773,0.866477392563624,-0.579624392697076,-0.886832017646341,-0.735861195502367,-0.32652537207722,-0.485214370900935,-0.814275196018668,-0.215289347907457,-0.475068120248946,-0.357869446535239,-0.923847738108122,-0.421464751791696,-0.417136814181266,0.166592974830977,-0.51161600043478,-0.521432036137494,-0.84602838596385,-0.18329707877978,-0.509370346070237,0.00784650179522421,-0.320964982179032,-0.0617506552624914,0.388892499776947,-0.585184793805311,-0.433947915442076,-0.704351650987537,-0.387295704297156,-0.377518299861203,-0.390564915968929,-0.40743869290988,-0.770525313456645,-0.432293194865419,-0.938058203089213,-0.53131199690617
"SHIF_Sp_1 (GE) - TPM",0.675574950651182,3.054066176025,2.16574955902063,2.8736679753817,1.03171632967305,2.13250504586208,-0.208946929712196,2.76569043269503,1.75660174232358,1.88820496245239,-0.489280804487594,2.68568320675928,3.72407122621782,1.15102962808597,0.695848880169628,3.72980120533012,0.902304780431949,3.29551907499581,4.0022074656779,3.30162532274696,2.24669882471377,3.56702708411248,2.8304659172658,1.16920979501372,5.80288255558547,2.01979300535291,-2.40588502228358,2.05100462902738,3.06665624579192,4.05765963747495,1.91461292008933,3.22140927582528,2.90069147981791,2.18611266170892,3.5526745116035,3.60911330940155,3.66405109338915,1.85023347674111,3.13344620996308,2.06169509346318,3.19356427100943
"SHIF_Sp_2 (GE) - TPM",0.255445175503769,2.96121358786268,2.31927579027687,2.79776540188997,1.30602241836442,1.61788175088675,0.644156789110202,2.1397415681674,2.40256253352091,1.30057010659715,2.17617990357152,2.18823369708335,1.73974203093902,1.02176917725704,0.382441476554451,2.66440398546928,1.03122079855141,1.97793139517351,2.35699575598707,2.80681336704246,-0.227159191353974,3.32987498674238,2.8305643088151,0.693913250022064,-0.18329707877978,2.16063754472745,-2.57221925243424,2.76796676757898,3.44747407426357,2.10431927829599,2.3451759988317,2.74817556204847,1.73593666277007,2.59235691377429,2.89630839721837,2.83675163863846,2.85377228017943,1.73443793995217,3.16104453518704,2.6965303870133,2.72449783080209
"SHIF_Sp_3 (GE) - TPM",-0.0257075782936263,2.32296907996886,3.11673571452305,3.39749531007607,1.02904572597324,1.57860087192327,1.40736008983598,0.804117151829697,2.00809518191054,1.61436824871476,2.11648440339289,2.17663484962075,3.49519625794548,0.350215842978647,-0.0913582094611209,2.95206569074263,0.885573282062351,0.961552675906517,2.5286459540583,3.05189495617867,3.97440058709957,2.74895786849464,3.83058301457905,1.2940339895501,-0.18329707877978,3.44756050511402,-1.34907176017947,1.73274148464991,2.66176140815819,2.99443789624098,2.59686093524663,3.39779861148542,3.71004551492327,2.63633717140297,2.30116603749038,2.2368705716027,2.06447764752511,3.67496673564909,3.45507421953923,3.07607449984237,2.45542208355775
