"","CJJ81176_RS08805","CJJ81176_RS00370","CJJ81176_RS00490","CJJ81176_RS00495","CJJ81176_RS01400","CJJ81176_RS01940","CJJ81176_RS01955","CJJ81176_RS02200","CJJ81176_RS02520","CJJ81176_RS02580","CJJ81176_RS03755","CJJ81176_RS03890","CJJ81176_RS04465","CJJ81176_RS04635","CJJ81176_RS04840","CJJ81176_RS04920","CJJ81176_RS04945","CJJ81176_RS04950","CJJ81176_RS05060","CJJ81176_RS05685","CJJ81176_RS05690","CJJ81176_RS06230","CJJ81176_RS06390","CJJ81176_RS06480","CJJ81176_RS06660","CJJ81176_RS07360","CJJ81176_RS07740","CJJ81176_RS07870","CJJ81176_RS07970","CJJ81176_RS08055","CJJ81176_RS08070","CJJ81176_RS08315"
"Campy_Oss_2 (GE) - TPM",1.03967972894942,-0.317171769843059,-0.156160620239504,0.0041827144578419,0.181896006712122,0.32147625098795,1.2448263692345,-0.0609084029579524,0.212542392360957,-0.162312537797663,-1.31968785091597,-0.115747170031464,-0.143215944957759,0.543783704435284,-0.750728356225019,0.492705913036239,-0.240038990290558,0.105032033561083,-3.11907330005592e-05,-0.214555965701299,-0.315243558188878,0.686236252022983,1.42628936723148,0.646609312555165,-0.575350144391875,-0.418126467040738,-0.251077864053116,-0.414663340177658,-0.553305016391856,-0.588101661554768,0.772423633476779,0.308359598015134
"Campy_Oss_3 (GE) - TPM",-0.48739542889373,-0.47218580691245,-0.179577170285711,0.857327642408354,1.43622228337294,1.5616422327603,1.00837136195352,0.901520252430754,0.420289952665733,1.14034744451506,0.714298593390498,1.53802052639353,2.07488583512456,-0.191208191828553,0.174154796523178,0.684535406154725,0.623128156582997,0.0821543339121113,0.628617577345316,1.03747411587604,1.80711052163607,0.519785819605472,-1.76955117243509,-0.222464534016109,0.463797452518055,0.769269421978807,-0.178264561144562,-0.546224561462558,0.138773839157734,1.20826443511553,-0.848161392777965,-1.35117300930823
"Campy_Oxs_1 (GE) - TPM",0.317670030560032,1.18632563851578,-0.295969849486746,-1.00572724949026,-1.14709002792453,-1.83562544469552,-0.245278795551639,-0.337363079464025,-0.0029741653174035,-0.372101284075193,0.417171583581003,-1.03454937646365,-1.59940669889989,0.64748237448898,-0.717321830687384,-2.0656785095405,-1.02375957010684,-0.873340494270975,-1.40725172116208,-0.617087491840781,-0.521899091838667,-0.112034757598591,0.892212383139721,2.54399270705508,-0.441656306119401,-0.0242584565162695,-0.494250326751848,0.905190595039027,-1.04243128590665,1.17753866309393,0.43558274927063,0.794821171750748
"Campy_Oxs_2 (GE) - TPM",-0.857949017831343,0.621210240778863,-0.847641270370352,-1.23227603435181,-1.13633119397707,-1.6944871627745,-0.829501458156746,-0.297447033635857,0.373374735448173,0.303255579064538,0.86540592770482,-0.821142918611804,-0.436103639283461,0.444292996760221,-0.000870962324831178,-2.37230330156706,-1.34893057279014,-0.163345763878763,-0.77269397071505,-1.03889694776006,-0.13151813415494,0.503568287246249,0.0159966204980722,1.16147378424541,0.165353987406449,0.183632941587158,-0.42445417622305,2.01109103925276,-1.11534352165738,0.329273312964695,0.538838995061758,0.601544387212885
"Campy_Oxs_3 (GE) - TPM",-0.172195859745367,0.389814312513247,-0.515805415757865,-1.26580371404156,-1.11007845952829,-1.11362511689964,-0.347303984599938,0.209532477192812,0.250398994206004,-0.180602414246973,0.838327176894615,-1.36483125588497,-1.0115027384927,1.25712391921695,-0.230032478207341,-1.85478254934371,-1.56345142162277,-0.0430293749145542,-0.831357186562885,-1.28505901645427,-0.824351554176352,-0.491012157047599,0.571295514707483,2.23523912475421,-0.355751767243759,0.564245293637652,-0.185775774769949,0.81242004331633,-0.878834797435024,0.554048704326204,0.98360478859754,1.30875073243513
"Campy_Sp_1 (GE) - TPM",-1.97286716530093,-1.63494291540321,2.5927187690409,2.42335411128905,2.3681900855937,1.62390217969821,2.04929837360827,2.6190980738307,2.89700634118881,2.07607169685195,2.09613994624411,2.3128725309399,1.45769534775955,-2.39795985671948,1.51078559256885,1.5828608206594,2.56476800490913,2.62478817830233,2.64289656020213,1.91103839603738,2.49301470988621,1.6270134705792,-1.45323016711535,-1.66997810458873,2.64077284403863,2.84216794789726,3.6151767814848,-1.72046509243245,3.2076944321305,1.96169575365551,-2.38370512567827,-1.93983821670596
"Campy_Sp_2 (GE) - TPM",-1.81366673035395,-1.78617182188826,2.04017309179945,2.44840411312046,2.59437517353593,1.65438726802204,1.96913861947089,2.27339040538129,2.27110583429172,2.67515415637194,3.34944626356003,2.61212758291647,2.76241617473289,-2.49192574826283,3.04523007819813,1.18119187111908,2.33392864371319,3.36560906596406,2.71753492062905,2.39453016942655,3.15078552924894,2.47676454044766,-2.84440893111465,-1.18273806113699,3.54758018781312,3.01824467237332,3.189584775885,-2.8953467284076,3.0392954116522,2.55232364502831,-1.19335084372981,-2.21866244436822
"Campy_Sp_3 (GE) - TPM",-2.09754918006442,-1.11532035582985,3.00700371247106,2.24793267519196,2.01982220831337,1.63714889308508,2.65639220967856,2.44138537457141,2.63941651115153,1.95184546111141,1.63317950071606,2.09507544887972,2.24845287530094,-2.31007523398908,1.7093174083163,1.62390080339894,2.623282318168,2.67229800266466,2.35549349991561,2.49957993014694,1.22185549464151,2.0608804503933,-0.960042200117241,-0.356178403767436,1.47996326316387,2.09651339200502,2.74147297503983,-1.68538739630428,2.52625489177903,2.00877892774907,-1.58932250124855,-1.25502919764661
"Campy_Tm_1 (GE) - TPM",0.360329881845178,-0.997971377498129,0.321344179570093,1.0755310273125,-0.590930028916077,0.833978817353939,0.267439035753999,-1.36907672747056,-0.9453529166347,-0.932648583151824,-0.18784415432253,-0.933409371976449,-0.839437338972033,-0.268265869442499,-1.07990190702207,0.303251537203581,0.184116766128853,-0.663446615007554,-0.439863568346635,-0.804189795858492,0.10307286999778,-0.485799861929429,1.67481049824238,-1.03691983094811,0.224339756119857,-1.14818534215421,-0.320520946813585,-0.216948046634193,-0.0972605617623705,0.593347576621427,0.76536471339202,1.44771489300859
"Campy_Tm_2 (GE) - TPM",1.37661710938427,-0.879427910042483,-0.0428024702107754,0.459971766236644,-0.428722088053707,0.550740109046963,-0.138982952110914,-1.3596205494427,-0.642530132124357,-0.441564148089998,-0.431960786298019,-0.150047155466702,-0.269173007205931,0.0132259838634622,-1.00982113726952,-0.0502225972056288,-0.240956541855594,-0.815589756255161,-0.993917225352249,-0.51623182291543,-0.0133970842816919,-0.486572661221025,0.142274561229833,-0.883093083092768,-0.026465102674458,-1.06331781815635,-0.077297335504288,0.940490573381453,0.103604283347629,-0.876389773792583,0.668241967974836,0.769345863007207
"Campy_Tm_3 (GE) - TPM",0.427152102204008,-0.533424487125933,0.819619887473711,0.359591975726555,-0.692158407692743,0.129386131548937,-0.625563261241629,-0.774553544066403,-0.704518402874389,-0.360229673656866,0.0909818156298514,-0.767673904523465,0.0612888364886275,0.361747013848542,-0.675507517492419,0.0274642799177693,0.175106481731865,-0.077143001981577,-0.485062185260062,-0.630454244100538,-0.0537733223757434,-0.747068716887193,0.28990923698057,-0.555205881081569,0.260049452627214,-0.820115092865318,-0.303303205314045,0.821444943457475,-0.141185954113109,0.0129497758928767,1.08199280936845,1.14893761437797
"Campy_Vic_1 (GE) - TPM",0.041387311944405,-0.87629651683644,0.511016042314411,0.687921966087354,-0.397019491260984,-0.0478787105398088,-1.36021117134311,-0.475335755087108,-0.470237070578539,-0.148297211714535,-0.291448143325976,-0.848770696460188,0.211839159203027,0.47175548196384,-0.628722532641988,0.641466262957484,0.726951599135061,-0.155103919101562,0.354251694272227,-0.872533297371355,0.331753418793593,-0.266684347312223,0.340334122155759,-1.1730647989194,-0.455309367303408,-0.650249903077677,-0.637544166074405,0.320484172777591,-0.849878504576933,-1.00686930865156,0.0961345854320416,0.185401632905914
"Campy_Vic_2 (GE) - TPM",0.952282545974873,-0.761044533813141,0.997448207379553,0.665748176913691,-0.0644303206809711,0.980587793908854,0.0567167384373088,-0.351919764107352,-0.489386014289539,-0.26065147120086,-0.129937912282273,-0.289236252302369,0.300771921016336,0.772153084853914,-0.353529924803593,1.30328074105252,0.266421380297162,0.0696288269744698,0.763122366208487,-0.472416475799662,-0.525254877158815,-0.509099817276446,1.04760857398852,-0.856389787571206,-0.486998343632587,-0.832422398666052,-0.453938254890392,-0.483591789423556,-0.959133316722509,-0.858099030423898,-0.514562964139267,0.248044998406339
"Campy_Vic_3 (GE) - TPM",0.85714152913591,-1.23843846816901,0.581789228158782,0.673724547845118,-0.155959035739688,0.580032174059729,0.373565271186457,0.294736968343792,-0.165669049751722,-0.410650726869423,0.169949991254531,-0.391304166795079,-0.408106607511202,-0.449417102356091,-1.04665189202068,0.704627674529769,0.107861860972279,0.0342070745565068,0.0111883033010245,-0.57381650534559,0.862341590210552,-0.150402835111497,-1.04645493902714,-0.322595309421905,-0.133700323465479,-0.378659490036727,-0.395883969393292,0.103964100482679,-0.711610050369564,0.2588905667593,-0.382061658359307,0.498827442620286
