"","FTS_RS00065","FTS_RS00375","FTS_RS00415","FTS_RS01285","FTS_RS01290","FTS_RS01295","FTS_RS01310","FTS_RS01315","FTS_RS01320","FTS_RS01325","FTS_RS01330","FTS_RS01335","FTS_RS01340","FTS_RS01355","FTS_RS01380","FTS_RS01520","FTS_RS01670","FTS_RS01985","FTS_RS02620","FTS_RS02625","FTS_RS02955","FTS_RS03280","FTS_RS04030","FTS_RS04545","FTS_RS05290","FTS_RS05705","FTS_RS05710","FTS_RS06430","FTS_RS06685","FTS_RS06810","FTS_RS07595","FTS_RS07790","FTS_RS07825","FTS_RS08090","FTS_RS08200","FTS_RS08380"
"FRAT_Ns_3 (GE) - TPM",-0.419222692738402,-0.0495045331061962,0.246200357631976,0.160676898090962,-0.349023253424095,0.0724963494959339,0.00544306491048072,-0.24151817664606,-0.0968403986083493,0.137243633065375,0.304851905405837,0.37021897792807,-0.0413579286314242,-0.314535339021843,0.131659837333025,-0.154861182854603,0.791044187498594,-0.241242097658539,-0.924921044431443,-0.78733049177317,0.289050285630819,0.465580260528937,-0.062244872182174,-0.528257766429827,-0.822313249042792,-0.029787175297296,0.562793978561324,-0.291972280621189,0.453088746498955,-0.697508448563375,0.638330682455096,-0.549421915506821,0.552501232663393,0.736876111169672,0.257290518801105,0.097074388627193
"FRAT_Oss_1 (GE) - TPM",0.47078475541495,-0.672125139148708,-1.42531325770382,0.0485732988849708,-0.102143645016168,0.0754039205190846,1.08557408879908,0.543144930128068,0.617581188551389,0.423840472794004,0.544034323710051,0.51163667069445,0.401282856023721,-0.0592325094330613,1.05404674367855,-0.771962462440615,-1.40442340095471,0.457713898608814,-0.945431885171302,-0.833960108071874,-1.1215365508798,-1.92253070598668,-0.759438563980393,-0.508541190230399,-0.894753113659829,-1.37912306956992,-1.4651821667682,-0.317099586713592,0.38707370240224,-0.519512085849832,-1.71383343510077,-0.757375633317115,0.794178131582384,-0.0567669296273846,-1.11463375341394,-1.11813728580792
"FRAT_Oss_2 (GE) - TPM",0.451576814523449,0.444744169919586,-0.851892288319754,0.484239847582108,0.826727084129952,0.671641296982492,1.37150210825448,1.1798082794016,0.862751532003934,0.552845870625995,0.656427577606743,0.434776791340476,0.717147728727879,1.26274877393306,1.15782632211601,-0.826114509429879,-1.32454754072342,-0.268539954176023,-0.859572184924244,-0.818159560652469,-0.972794338516649,-1.04690249812864,-0.613040611890371,-0.527073710435542,-0.903358553011769,-1.00305152682939,-1.35556563451665,-0.11642360046386,0.519464406490147,-0.786266730389046,-1.35906114116334,-0.697705276182478,1.06779051284315,-0.763211406633035,-1.04407487605801,-0.846926580539346
"FRAT_Oss_3 (GE) - TPM",0.579695916096676,0.0386879518694663,-1.11695352962932,0.838835520947294,1.07484407635092,0.770198583696168,1.75818438153837,1.08676400004229,1.49202732003378,1.14515287420124,1.64923156958002,1.24164823881222,1.31880637115309,0.997025884683242,1.07770243183321,-1.2409466659344,-1.23798946533717,-0.433089291596097,-0.80243533871396,-0.768928564871469,-1.11108968637144,-1.62484412272474,-1.10897152127141,-0.655858935460676,-1.0263338984289,-0.782393719699129,-1.77455098104539,-0.515901532624336,0.175095696693342,-0.703034174207246,-1.3053918937119,-0.689958583466563,1.26919101396561,-1.39387037922051,-0.833565442227733,-1.05089593963077
"FRAT_Oxs_1 (GE) - TPM",1.06192515831588,0.464144628866434,-0.752049625831305,0.445045374392661,-0.23859659260376,0.253666021742091,0.0449459450586546,0.0302650042553608,0.174108793069696,0.492980620665579,0.283696274956706,0.404565519931295,-0.132490429307122,-0.611401532332509,0.908238316601127,-1.23703904162436,-0.601999034472146,-0.653595019109903,-0.904369767128552,-0.869600373745704,-1.06901299907318,-0.398042802376278,-0.602878421954119,-0.614348523326623,-0.7787271348588,-0.533025900761715,-0.664851335553462,-0.534490977669489,0.206267412453886,-0.609369168451091,0.301783476626854,-0.90557562160183,-0.239994826936217,-1.26238131517702,-0.41415956496988,-0.423814174398914
"FRAT_Oxs_2 (GE) - TPM",-0.0954584345447667,2.09773783570674,-0.00510628395127019,0.613561945703013,1.20526090675186,0.484449775804101,0.398497910916312,1.30696074927414,0.98643335394961,0.942830201043451,1.10058308473209,1.04331312695788,1.3197019206327,0.855664384714654,0.773461312654961,-0.505231831462345,-0.350437730148046,-1.12630603591453,-0.76102827840141,-0.541526614228411,-0.672855524239014,0.317806087485717,-0.898509306636245,-0.699485761569383,-0.600692189851758,-0.433576105182612,-0.479763382310672,-0.816544482293145,-0.293111692905549,-0.641147559226172,-0.280225557653793,-0.614232195619776,-0.428034476007466,-0.83841010706316,-0.400168160930099,0.355025543000184
"FRAT_Oxs_3 (GE) - TPM",0.163560281880924,1.39768155952735,-0.162990871122699,1.2666724157684,1.02765280228127,0.648061846677658,0.219557156567737,0.745536505593378,0.885987199521256,0.863677167514278,0.654508737586093,1.0288178596775,1.44154918902356,1.50233476965998,0.547788887123429,-0.679377237344919,-0.421983901796613,-1.33315777406739,-1.04420208536984,-0.919275585629451,-0.949840093639241,-0.0423541033103151,-0.399469895040997,-0.729961006994923,-0.754320177905027,-0.835113928665696,-1.04931524188521,-1.21108025706764,0.425297122765826,-0.81536652028871,-0.487984388121394,-0.916003375965775,0.0293133120320184,-0.589681659022165,-0.275106751076501,-0.0790558736700075
"FRAT_Sp_1 (GE) - TPM",0.15948493399289,-0.858920172358255,2.11731724550259,-1.69431512627023,-1.64386097316698,-1.58921393084532,-0.130949088083718,-0.231514665256415,-0.325081105427934,-0.869048252095739,-0.948805054836513,-1.09720251929358,-1.21594313842511,-1.18202638867401,-1.58876500129616,1.65237815655139,1.6050733609346,1.87913722272303,0.483883037334414,1.18190145983047,1.07414098995843,1.23782381994013,1.59208915201123,1.91250222272625,1.48606300653445,2.43379537623801,1.52939518502156,1.98095433072541,0.584627592098067,1.1312962547705,2.20915482418559,1.65632752914048,-0.220588770524586,-0.0603960039337615,1.10223020129366,-0.0207208676337832
"FRAT_Sp_2 (GE) - TPM",-0.670751837590082,-0.1941225838765,1.35845523491017,-1.51655081383422,-1.60353401443584,-1.61261097078199,0.131973896668962,-0.17702864334187,-0.209895477326005,-0.754669418133136,-0.709395348915661,-0.898753489302218,-0.791554663873287,-1.1561476236222,-1.64492140255552,1.12558641744304,2.15403510530014,1.28186644097505,0.673778627772312,0.640416120330124,0.406880351687686,1.03149082459281,0.983323652713015,2.13366102577728,0.573753438018865,1.86033030404019,0.988440469531474,1.26599679547663,-0.167951871854899,0.936017680759855,1.65984087964567,1.5929718255441,-0.32638890719093,0.0826745118640048,0.616931899919543,-0.20269431542511
"FRAT_Sp_3 (GE) - TPM",0.0606665175001969,-1.11703576589082,0.906709280389009,-1.33918604324407,-1.47891321045666,-1.52510836883467,-0.408567742606461,-0.165498951590913,-0.248832412100393,-0.4617402782182,-0.949963172239063,-0.748934600219943,-1.00709986715252,-1.11017113924496,-1.44445586550995,0.922542160470501,1.40640126361702,1.2219656589196,0.939176768478234,1.11588292766714,0.891174954952586,0.378585545648212,0.547344268056452,1.61821739324876,0.412640106231896,0.16266468798285,1.19880681275354,1.20808305604028,-0.341245747785196,0.500962571710415,1.27805023122308,0.985171756609124,0.0936954060035348,0.177754852037296,1.10702128576435,-0.025666075368842
"FRAT_Tm_1 (GE) - TPM",-1.19767693133755,-0.725017755056151,-0.174526090389901,-1.06303429714309,-1.28637978654679,-0.69715871387133,-0.818614839312913,-2.26594178622508,-1.63867472696839,-0.568066101351997,-1.41480802276406,-0.432784802783822,-0.69456354059854,-0.781893860726468,0.719218781751094,0.134055862145961,-0.302361086401956,-0.554911783396955,1.65675990895702,1.92345783546371,3.36182489208705,-0.0629392402759966,1.63150123281914,0.258751578373201,1.26741141276026,0.893713352166915,1.55046754677446,1.14222730464272,-1.07169622297177,0.45047090381282,0.730145152275442,1.65722401064433,-0.548488036616096,0.123720183909104,-0.620020602815087,1.08823431086996
"FRAT_Tm_2 (GE) - TPM",-1.40304862190738,-0.45896754045189,-1.03744862666045,-0.15395395005011,-0.139875055259961,-0.409195322648291,-0.725469115933254,-0.704974129679462,-1.08492961643528,-0.915193085337221,-0.633415001834185,-0.464212949950268,-0.0767398849599236,-0.423975874055289,0.187996752557317,-0.752919686442796,-0.462849195501707,-0.619450250752597,1.11380733529126,1.02845139867287,1.21589434302103,0.502053630743082,-0.365569370335787,-0.329321807965311,1.33435335280593,0.943384058511626,-0.18524671658603,-0.0160677116867546,-1.20422901879174,0.314937335483928,-0.242887285552087,1.2009656456613,-1.08969374228867,-0.202578874408583,-1.21091507214016,0.0131815610360823
"FRAT_Tm_3 (GE) - TPM",-1.83164973804343,-0.631130606844982,-1.02572778728267,-0.460046275906954,-0.634352336525188,-0.686296163428488,-0.930415586142608,-1.12547919305512,-1.29706976262671,-0.880617650014127,-0.586198272060717,-0.539677372205543,-0.92461035130833,-0.736648966756687,0.120733277369307,-0.879650455945678,0.444980782408865,-0.843687768365277,1.25649284378396,0.857362444918222,0.180509874283311,-0.573816647451666,-0.696302757975773,0.366281864855983,1.43756122390108,0.300659073806781,-0.783335983411442,-0.148955306303355,-1.62930210126192,0.693318216885876,-0.347020528019618,1.56994832595266,-1.28434039139877,-0.191106762478262,-1.21330960547909,0.0165998513597211
"FRAT_Vic_1 (GE) - TPM",-0.357285056686384,-0.414454482027586,0.339988587880609,-0.593941801544961,0.907828559807878,-0.369057192398056,-0.730875332938219,-0.0866371914391866,-0.84330886985555,-0.897496982375361,-0.538286532670985,-0.350213714906695,0.773317957654508,-0.00617831852723764,-0.745262313280812,-0.348147795545078,0.0967692310924572,0.705069813715088,1.42172667451301,1.15272657951371,0.753401107574578,0.0891396935777822,-0.230013324102624,0.398876325982688,0.791630365127535,1.17172131090169,1.24948860744211,0.484289773311574,-0.776896207197938,1.17169244097333,-0.0798317940677383,0.681723248640868,-1.04780411132243,0.751650554798229,0.633395635823144,0.519193735613225
"FRAT_Vic_2 (GE) - TPM",-0.936884686050942,-0.735638236299405,0.182168212349784,-0.0601122937146349,-0.413549825451353,-0.618407633741784,-1.00688361390544,-0.981879893047578,-1.08110807999974,-0.987597999282049,-0.868319802126775,-0.35644857132706,0.160777198717524,-0.619593791407818,-0.642814674287188,0.441847669233911,0.850303621811287,0.874487076568383,1.16380618241096,1.14666613168761,-0.80325184141154,0.314420058055505,-0.556908282721888,0.868584953236876,0.113805561807312,0.850983400607409,1.00846252635887,0.222069147299671,-1.21926988356543,0.993333290596253,0.510921187292123,0.640428798049243,-0.919873040548837,0.626556291429054,1.15281580762036,0.30581990901241
"FRAT_Vic_3 (GE) - TPM",-0.909886450076962,-0.592547673921627,0.255965425489727,0.0553957388053003,0.224431156285761,-0.396019928931934,-0.103297487913415,-1.16310409280672,-0.894649044418451,-0.850761304323425,-0.58677646207712,-0.425499716139756,-0.225171663099218,-0.882958819290115,-0.552671569921067,-0.452972216648522,-0.166248512039023,0.193624218896516,2.2430473811677,1.2987395643903,0.405365166279017,0.127535238197205,-0.579744874233808,0.419397173458637,0.916448910974086,1.36330476402808,1.16012012921025,0.705627012597661,-1.61195517106299,0.826423020852633,0.0807810741163706,0.710106094669009,-1.10324543420002,0.187286866741226,0.822338185006412,0.29646609761236
