"","NGO0295","NGO0296","NGO0374","NGO0442","NGO0858","NGO0942a","NGO1295","NGO1545","NGO1752","NGO1786","NGO1810","NGO1817","NGO1823","NGO18231","NGO1824","NGO18241","NGO1826","NGO18261","NGO1827","NGO1829","NGO18311","NGO1832","NGO1834","NGO1841","NGO1845","NGO1850","NGO1917","NGO1936","NGO1939","NGO2151","NGO2177"
"NGON_Oxs_1 (GE) - TPM",-0.672540074204995,-0.46014181631191,-0.665108557777184,0.248192146955472,-0.541225350900419,0.335287112966336,-0.548897731323149,0.676540179447433,-0.531539985774663,-0.890360506628531,-0.0315530874683129,-0.21832025591996,0.0523394093075782,-0.312557286716458,0.250291114025136,-0.33241631333068,-0.0709590792863579,-0.148951297612455,-0.194071835257041,-0.316418817752856,0.762525564378934,-0.0143401014093316,0.523148213621217,0.660120666193581,-0.910002618792655,1.1718891569887,0.318320022739896,-0.731756851207369,-0.648131362701088,-0.460457990246083,0.589967799757679
"NGON_Oxs_2 (GE) - TPM",0.0674312355881811,-0.196659924138804,-0.162764421222056,-0.140073309611099,-0.890442424310608,-0.593134877828283,-0.732794369227742,1.0534637114914,-0.574433460209872,-0.99683580974628,-0.857032758179044,0.0014206718864607,-0.254710472366246,0.236363135253104,-0.0940698727485555,0.942605020704602,0.303497583044956,0.0307877783529483,0.822173191851746,1.10279371732902,0.817544732382563,0.443250256062797,0.373927562562792,-0.297161826996188,-0.574403197710517,0.718070636270082,0.134483959102291,1.33556972871835,1.21760586568435,0.36712322528915,-0.586039099585791
"NGON_Oxs_3 (GE) - TPM",-0.870507143059265,-0.692661030576272,-0.280373462733666,-0.638592455901942,1.423619319124,0.675754314021239,-0.647933280788898,-0.685778381627286,-0.959507577888255,-0.712003003065924,-0.0571054349801279,-0.65132612625896,0.205310019201375,0.415423087913825,-0.638197588473521,-0.211183292494199,-1.03908513556546,-0.407326769369355,-0.602120601180604,-0.597281513382581,0.0651157281339761,-0.461740255215087,-0.404228564546109,0.118085450207407,-0.933511384150314,-0.0391778262927028,-0.826176552178707,-0.654630568257072,0.225886066531515,0.506341301187374,-0.701763039415473
"NGON_Sp_1 (GE) - TPM",-1.59868011669021,-1.16407029104797,-0.972384289218039,-1.46929777622932,0.654078524052993,0.828716008213134,-1.75307905975394,0.562839545671781,-2.214136449516,0.94317881099018,-1.49213134057838,-1.19130292420547,-1.26736714875191,-1.10882364524645,-1.50148864776531,-1.34632523394675,-1.24862077379444,-0.625249589816119,-0.984759740758824,-1.5839965461481,-1.57381652996814,-1.71749862699327,-1.56648720730643,-1.88810010184522,-0.466529598887821,-1.56757459376916,-0.675570477765807,-1.4812201208246,-0.609058494340939,-1.5861394516843,-0.686940481316027
"NGON_Sp_2 (GE) - TPM",-1.1186993620927,-2.0122824777223,-0.492184434396001,-1.70147819033356,-0.53733455744039,2.11198381373461,-1.40649511511306,1.32021330365892,-1.66602233516804,1.33646666321535,-0.228123705052644,-1.18033833417869,-1.27698027253969,-1.30378721885997,-1.71188079409965,-1.25612081367996,-1.87961444186695,-0.722791519545901,-1.47838553363662,-1.37988706765518,-2.37316745070256,-1.79955063817811,-1.176522356064,-1.86729484355854,0.660921206916536,-1.74459167605031,-0.48744379990902,-0.545868103734598,-1.34052267854926,-1.67299712773862,-1.52342852100787
"NGON_Sp_3 (GE) - TPM",-1.09645044828362,-1.49353570680949,-0.43443041786515,-1.71503629764771,2.36498726934597,1.83350901724708,-1.57085810979327,1.09270313673344,-1.49342086595548,2.00487251048027,-2.11564573412739,-1.13498883944047,-1.72943198274771,-1.03260480526477,-2.22597674919986,-1.85880714733427,-1.80795640697082,-1.45512955800339,-1.59992879468733,-1.52919658741413,-2.38621194393488,-1.64422976624791,-1.48220813713945,-1.77679533229401,-1.18817263006844,-1.27561657493739,-2.20928409400386,-1.45841435066278,-1.27840207384383,-1.59204911593406,-1.65011750240009
"NGON_Tm_1 (GE) - TPM",0.743824076974373,1.53937585961041,0.159519972551013,2.00425532438779,0.372675361506211,0.354467503503274,0.0212428264472029,-0.726851737121054,-0.174288537038735,0.518658757897242,0.599023872540659,0.505870099873384,0.228085849342185,-1.06235140149592,0.161996405940126,-0.37377132846914,0.307910609208483,-0.0783722273241994,-0.153687716347186,-0.0615820690609453,0.164559625174933,-0.400372489146938,0.835714945978635,0.406884387635024,-0.607661714309503,0.0607984856552021,-0.288264542908501,0.25659644025455,0.681819674350047,0.772852736257046,-0.165656542349632
"NGON_Tm_2 (GE) - TPM",1.2899965684797,0.677029949134868,1.72195808002561,1.12897850360552,-0.19397374801312,-0.800482150822288,0.599640789673857,-0.203397105849334,0.110887973559047,0.326551584045964,0.64805758566553,1.41321189152216,0.274011326893015,1.12524110178607,0.296647381649146,-0.0713868175076747,0.154159987065237,0.422706278540512,0.368576137426949,0.347417728461442,0.155260298167473,0.299677392707336,0.336249611286931,0.228837226274166,0.12385973581521,0.303466652627354,1.19220298250878,1.39407068347124,1.90283515382753,1.91837422729487,1.05742333063906
"NGON_Tm_3 (GE) - TPM",1.58576240254086,0.3269818634014,2.1706090271117,0.799571670528357,0.690013209460038,-1.02769741611123,0.630384478317806,-0.147774882479483,-0.681365674227771,-0.18737932507858,0.630381419317077,0.57829591870177,-0.214212204951712,0.275961168996419,0.347548329145217,0.432056685612079,-0.235136870462404,-0.065454639436736,0.00270002685779069,-0.0384022313434005,0.52752631543234,-0.153577495976938,-0.261606234651593,1.16802844175524,-0.817954391983607,0.293360938543034,-0.820851293270131,0.531217963977206,0.37028675331879,0.988588705725095,0.926890408703971
"NGON_Vic_1 (GE) - TPM",0.689119120551041,0.306674489013659,0.817356746141888,-0.112406790987713,-0.0541478891737191,-0.433342569574203,1.73091636200959,-0.623148883190697,1.07094609872114,-0.317546687523127,0.486560802376376,0.157161704437465,0.367657477902564,1.65856619706751,0.126939477697315,0.662192866440268,1.08635007979861,0.456878672502044,1.2423866885891,0.642306518544771,1.08546645328951,0.869338928104039,0.417687988421466,0.343552679995492,-0.214981946100992,1.7584472705469,1.81989442328186,1.87552177134725,1.1889848083571,0.216283456767796,1.53038040122443
"NGON_Vic_2 (GE) - TPM",-0.130042669453864,-0.444458119794182,-0.474769754008857,-0.621582741200261,0.380016645062366,-0.0933656926870269,0.575459061458076,-0.185279690805477,1.49259606197327,-0.986005986266933,0.0220509501362833,-0.248866521062058,0.038368619335916,-0.457015508285238,1.15636321264126,0.995407720858457,0.639500312205097,-0.457487666066146,0.613434880868277,0.130197439865497,0.849819638746092,0.110339347465291,0.0676916402435623,0.274535887149536,0.104729854644113,1.15776752321363,1.10918680624859,0.319280633882455,-0.671520582130111,-0.0703096353774222,0.474918829570471
"NGON_Vic_3 (GE) - TPM",0.363403502902953,-0.704158622949102,0.227297629293336,-1.02645010212497,1.05653559233541,0.657055975719389,0.339050365062017,0.379911606240198,-0.238130000790265,0.205175997789094,0.281876244816054,-0.585294408216544,0.308710885472053,-0.564303694744508,0.355279921387808,0.599628245645551,0.520210116624411,-0.590174742609525,0.653680879443026,-0.273527692693607,-0.217085769813023,-0.496471600696451,-1.11924352910142,-0.556857358722922,-0.728759895931302,-0.0450873960483201,-1.35140343926937,-0.269915697347877,0.535721612733571,0.106797940631599,0.436286104169554
