"","B4U56_RS01115","B4U56_RS01120","B4U56_RS01125","B4U56_RS01555","B4U56_RS01560","B4U56_RS01565","B4U56_RS01570","B4U56_RS01575","B4U56_RS01580","B4U56_RS01795","B4U56_RS04855","B4U56_RS05390","B4U56_RS06825","B4U56_RS07215","B4U56_RS09320","B4U56_RS09325","B4U56_RS11430","B4U56_RS11435","B4U56_RS11965"
"SEPI_Ns_3 (GE) - TPM",-0.642952341261631,-0.662168982016819,-0.676513494051654,-0.894189105082119,-0.684434937558463,-0.507401064246503,-0.636235276131454,-0.544720387904603,-0.600978398277516,-0.108914332913471,-0.81376573776716,-1.38292493291276,-0.166666666666667,1.7580151790021,-0.30941721513226,-0.429431277015187,0.202086663674733,0.155218300032673,-0.238477879642894
"SEPI_Oss_1 (GE) - TPM",-0.426783034219636,-0.299162803227743,-0.0403389461847266,0.661456468775831,0.749784202283419,0.749048078854099,1.0994387280179,0.719294033132113,0.816763728929198,-0.470136070205003,1.34134892538142,0.0310943407625514,-0.166666666666667,-0.998608936964825,-0.145390098155548,-0.237561597885028,-0.358220315355527,-0.329158382735166,-0.238477879642894
"SEPI_Oss_2 (GE) - TPM",0.470271593833043,1.21077968041896,1.60140319214388,0.530182111512196,0.492461434596344,0.674663253231871,0.874120869688142,0.738661767026684,0.797363170750346,-0.100114221326373,0.100430742633049,0.393527582711263,-0.166666666666667,-0.79464794605986,-0.348360846989866,-0.0760305922783146,-0.217779118499703,-0.282911864991441,-0.238477879642894
"SEPI_Oss_3 (GE) - TPM",-0.661762285541425,1.7218377265482,0.237907731031291,1.01596516788639,0.484135439171122,0.376248509692366,0.484830264012945,0.696268223480287,1.12548242414656,-1.47805844525856,-0.631716819513098,-0.230421766008946,-0.166666666666667,-0.519469899029328,-0.329458715833571,-0.187940374640277,0.295117858772348,-0.571035681260661,-0.238477879642894
"SEPI_Oxs_1 (GE) - TPM",0.880113035455127,0.507732660729919,0.383565144812946,0.28143916104406,0.0116368270143456,-0.349396025777289,-0.148484450648502,-0.290914511278965,-0.345355514241823,1.47122711118721,0.449530792932647,0.43480181728913,-0.166666666666667,-0.514544999637812,-0.0824359145261125,0.258627426311376,-0.254274857418189,0.527263584926284,-0.238477879642894
"SEPI_Oxs_2 (GE) - TPM",2.28236802291214,0.813266382558334,0.224236893759094,-0.0318333618426136,-0.0959381065978652,0.0354703066232434,-0.0545694950511544,-0.306940708101721,-0.390095122927041,-0.0793658052407164,-0.761722658228532,0.417811393218016,-0.166666666666667,-1.02985771848602,0.194900606286345,0.134988310287911,-0.938759521121024,0.303412177365623,-0.238477879642894
"SEPI_Oxs_3 (GE) - TPM",0.289192862477868,-0.307389667074494,0.0474171118939115,0.132765392167276,-0.210885750046905,-0.517354780923774,-0.175261604152328,-0.402417501362034,-0.542464723517584,0.541111186759926,0.213373674970693,0.485749725403042,-0.166666666666667,-1.13632344767407,0.579698427920125,0.280962938713491,-1.04006674809212,-0.355400965428613,-0.238477879642894
"SEPI_Sp_1 (GE) - TPM",-0.867783787389463,-0.913759666915594,-1.00662261238154,-0.338649472289965,-0.106943600928469,-0.655090379729204,-0.418657671160176,-0.551943581146431,-0.628937880063577,-1.42745286995503,-0.869562226284318,0.885179064960046,-0.166666666666667,-0.931646913589299,-0.659606751486077,-0.586324410012339,-1.71076944145911,-1.84596676450329,-0.238477879642894
"SEPI_Sp_2 (GE) - TPM",-0.639812760960743,-0.785843098503307,-1.03432559798925,-0.303155304243739,-0.0928621094163946,-0.297008752831577,-0.419146225947587,-0.340174855824084,-0.290244384692607,-0.281544013157011,-0.945160872091717,0.129732173477604,-0.166666666666667,-0.731025048759862,-0.530564827936509,-0.404695019794893,-1.17957454866673,-1.80252696973433,-0.238477879642894
"SEPI_Sp_3 (GE) - TPM",-0.342134586911004,-1.38011115085031,-0.797875700322391,-0.282664597599338,-0.20286178378095,-0.719698283546337,-0.213228490321434,-0.4902639453459,-0.512137723569138,-1.05929838256019,-1.01639100506237,0.49298790691553,-0.166666666666667,-0.585314033141373,-0.70056706546658,-0.527875365681744,-1.69121340789755,-0.947191968059232,-0.238477879642894
"SEPI_Tm_1 (GE) - TPM",-1.19009966595174,-1.42635732756933,-0.826895547999149,-0.912247658774592,-1.00107279358267,-1.13482731028063,-0.935518676427376,-0.618730804728941,-0.603466330605656,0.995382068488714,-0.872040460539106,-0.400046922824911,-0.166666666666667,0.389640678883123,-0.585312380775456,-0.540426946317546,0.386052278309139,0.465424884466517,-0.238477879642894
"SEPI_Tm_2 (GE) - TPM",-1.10671595371623,-1.22057509031386,-1.03134410018435,-0.973408989873962,-0.959777395819799,-1.00211364032424,-0.876762551189859,-0.624051770654497,-0.679816890827677,0.23703732517463,-0.709691590757898,-0.255503215494068,-0.166666666666667,0.28153819808935,-0.591285561594698,-0.560865266661622,0.436845473596827,0.364194522580812,-0.238477879642894
"SEPI_Tm_3 (GE) - TPM",-1.11753942296827,-1.08691362786143,-1.07299979664247,-0.974790470906974,-0.94781743068066,-1.02010682024694,-0.867693935249846,-0.624706878239157,-0.63235663154597,-0.0142860512424514,-1.20156429232919,-0.249109442154181,-0.166666666666667,0.41568786452511,-0.549990757359342,-0.614587500309433,0.509056293131211,-0.120438032438268,-0.238477879642894
"SEPI_Vic_1 (GE) - TPM",2.34178617832828,1.51898861774336,2.07570249059749,2.17160063462921,2.73751513510069,3.02843110490303,2.98100469286517,3.5971977985733,3.63379538538814,2.26894190501404,3.21796392070314,2.52650388311424,5.83333333333333,-1.86757425078561,4.10884318760388,4.0274809157875,2.14183011616219,3.47049389146529,4.36598944069393
"SEPI_Vic_2 (GE) - TPM",1.89966788185573,1.65984853451695,2.02018441915166,2.03767335054841,3.20311164852443,3.11443323674607,3.44708280660925,3.37312520184043,3.02249903889726,1.98787541132437,2.8252315694644,1.98430756714078,-0.166666666666667,-1.76292714199399,3.44964070074375,3.70968417108637,3.88427669490764,2.8706102755626,-0.238477879642894
"SEPI_Vic_3 (GE) - TPM",-0.828585210184353,-0.829673526386872,-0.982632006064011,-0.699011483471209,-0.493348872872298,-0.681363251303656,-0.547536629982699,-0.290391052632746,-0.218350955704537,-0.478623532471572,-1.18162071316557,-0.712693996941069,-0.166666666666667,-0.808921444738682,-0.552339390384275,-0.470085042461279,-0.713387107791065,-0.928744116471735,-0.238477879642894
