"","PA0318","PA0509","PA0510","PA0511","PA0512","PA0513","PA0514","PA0515","PA0516","PA0698","PA1264","PA1828","PA2130","PA3393","PA3394","PA3395","PA4465","PA4958"
"PSEUDO_Oss_3 (GE) - TPM",-0.0785352592075769,-0.708576371934852,-0.578443708493759,-0.686301124184567,-0.449057945951113,-0.68455884727433,-0.112280617110197,-0.661328149799302,-0.673282645431887,1.36312063092183,-0.880223444013361,0.304919147907814,-2.05932312743608,-0.529009807968592,-1.15806883431208,-0.516012582063258,-1.04506453033993,-1.74504133248025
"PSEUDO_Oxs_1 (GE) - TPM",0.066914215548975,-0.68563352506008,-0.620740706705727,-0.532240550744967,-0.522052201673944,-0.129787517690074,-0.522591216895176,-0.137066392538453,-0.209659221198886,-0.204148717552476,-0.477045643154226,-0.221829857314302,0.355849522560418,0.0588342680785436,0.344096785239867,-0.021104444174216,0.753582618354101,1.00895346837333
"PSEUDO_Oxs_2 (GE) - TPM",-0.428359757420016,-0.684684869240768,-0.555813340482174,-0.422534098050152,-0.304862982622508,-0.414919577383159,-0.483544250340838,-0.24589126945723,-0.0208786561612083,-0.237899794985855,-0.379762747131807,-0.0360523498451678,1.0142947290035,0.467531937081057,0.342219671819294,0.240662598632208,1.11944526502823,0.728085674264446
"PSEUDO_Oxs_3 (GE) - TPM",0.272939634321181,-0.598686320479824,-0.583794197553457,-0.559373139179027,-0.392847539038532,-0.334745726039447,-0.200214714027737,-0.202122951982596,0.0740670517103923,-0.350299516996657,-0.226613883590098,-0.00529134938628707,1.09552173611623,0.320029434679433,0.259960516742675,0.39932163074431,1.13351745109141,1.69096838777416
"PSEUDO_Sp_1 (GE) - TPM",-1.62577502627582,-1.66451086581961,-1.5625681506936,-1.94980028276092,-1.95312087472512,-2.01347356415104,-1.80943076671333,-2.0899067202139,-2.30089623242712,-2.11905945042282,-1.966901658085,-0.809608611992587,-1.20888264445149,-2.07360309317161,-1.69134688680526,-1.73405292444669,-2.01470036956763,-1.07965172033567
"PSEUDO_Sp_2 (GE) - TPM",-1.65545496465363,-1.67625251137329,-1.54647645925023,-1.95453862770299,-1.91850764715444,-1.98202741837249,-1.81183539010071,-2.0487916399675,-2.33265202574191,-0.678901944860952,-2.15601406901503,-1.82208961229597,-0.361614345481875,-2.03132247564001,-1.68968345336634,-1.73358821624316,-1.89909478169453,-0.862163301899791
"PSEUDO_Sp_3 (GE) - TPM",-1.72283899453206,-1.64228559072458,-1.5305686164283,-1.93792633083706,-1.91394598882582,-1.9886549787259,-1.77111935203959,-2.07581711901909,-2.30418250270606,-1.73247232100026,-1.8540640879923,-1.30263023595517,-1.64939037927524,-2.16454740114228,-1.48112379378823,-1.76640454127089,-1.33833582986462,-1.06340600483727
"PSEUDO_Tm_1 (GE) - TPM",-0.684629400032468,-0.862239942734225,-0.782602017709034,-0.913962409411053,-0.823184619716288,-0.689141223055902,-1.01717711750007,-0.817143489835636,-0.866199432254888,-0.230758421823228,-0.530268156365639,-1.38064094582545,-1.23318495551025,-0.60993644978281,-0.719051458710424,-0.234759232929294,-0.607777494656873,-0.920973525258881
"PSEUDO_Tm_2 (GE) - TPM",-0.7564845614366,-0.588372522889839,-0.574472879141251,-0.602777835395852,-0.474492094814895,-0.441438308660471,-0.628332784803458,-0.728268062794216,-0.557038715127371,-0.323071143894725,0.312676133978944,-1.08692493866902,0.195253895589492,-0.257213198910625,-0.274364283551143,0.129276186559308,-0.322445385670563,-0.673282702851765
"PSEUDO_Tm_3 (GE) - TPM",-0.648552993335848,-0.64656358717906,-0.58886764931172,-0.614532480966308,-0.478253013023943,-0.420082457284319,-0.625088809271846,-0.588173321927139,-0.515184171875664,0.423958208216112,-0.223138868977977,-1.07805996129251,-0.797581060243647,-0.253512721956255,-0.221871443588967,0.11444240634865,-0.383603569485485,-0.566969516025596
"PSEUDO_Vic_1 (GE) - TPM",0.218895565461445,-0.621183708421812,-0.520823147249382,-0.566794410980304,-0.580000040790771,-0.551518216185307,-0.572497837167966,-0.504007097778497,-0.260335258040099,-0.595686389000576,0.394760724025671,-0.0309639316695153,0.406090748242957,-0.350384326186083,-0.576395142836754,-0.159384126747174,0.527656839742449,0.480043913963609
"PSEUDO_Vic_2 (GE) - TPM",-0.405241414234777,-0.83178323282384,-0.792319541703975,-0.741310909380735,-0.698846790126163,-0.789180253193308,-0.960704840021551,-0.813260835976254,-0.770340098569086,-1.44270686047422,-0.408648678259636,-0.079737180373595,-0.874475911231267,-1.09097256636844,-1.01516631158449,-0.699726602537342,0.4177619566829,-0.524137678392185
"PSEUDO_Vic_3 (GE) - TPM",-0.120215249171132,-0.753572136920841,-0.799082899603296,-0.848460125269534,-0.804976540192328,-0.812987811623886,-0.979991433090601,-0.944904366759001,-0.814698849651555,0.219713975788312,0.101644690160179,-0.532209538768357,-0.162710504777231,-1.13720465983246,-1.02947964096571,-0.612251531354305,0.0395073493353105,-0.379137994347913
