"","ETEC_RS00230","ETEC_RS01195","ETEC_RS01290","ETEC_RS01550","ETEC_RS01620","ETEC_RS27415","ETEC_RS27510","ETEC_RS29745","ETEC_RS04310","ETEC_RS04320","ETEC_RS04415","ETEC_RS04420","ETEC_RS07275","ETEC_RS08240","ETEC_RS08560","ETEC_RS09095","ETEC_RS09785","ETEC_RS11390","ETEC_RS11395","ETEC_RS11525","ETEC_RS11535","ETEC_RS11930","ETEC_RS14120","ETEC_RS28435","ETEC_RS28510","ETEC_RS17340","ETEC_RS21385","ETEC_RS28935","ETEC_RS30190","ETEC_RS29020","ETEC_RS24735","ETEC_RS24785","ETEC_RS25310","ETEC_RS29285"
"ETEC_Ns_3 (GE) - TPM",-1.38257934817712,-0.163723271525647,-0.873739587185643,-0.702992646277575,-1.13447059378549,-0.166666666666667,-0.391012668681615,-0.236555466666076,-0.32713932324446,-0.41655418225752,-0.377683808809899,-0.308415734682669,-0.0151842941566137,0.304915682866565,-0.617592423201226,-0.513933319934337,-0.233480917621854,-0.568586609977523,-0.16597330995315,-0.373158035079376,-0.734167195926113,0.84347555305314,-0.722131543839851,-0.407850583181893,-0.35159328110761,-1.1358324600853,0.513308120665705,-0.436772402483056,-0.767718553047357,-0.346044205920562,-0.898240272993231,-0.455220236383083,-0.638544925817481,-0.298814651670378
"ETEC_Oss_1 (GE) - TPM",0.0916583766452476,-0.78290589886228,-0.536459902934298,-0.387912855915184,-0.399684256447036,-0.166666666666667,-0.242717918723682,-0.236555466666076,-0.174137101477899,0.612263132153862,-0.089680718667908,-0.308415734682669,0.0472382777346117,0.383973349063689,2.07171785944726,-0.400321432403356,0.361002995174204,-0.294236096956739,0.0413290272042547,-0.373158035079376,-0.403404071931219,-0.457959105484385,-0.165490663636792,-0.407850583181893,1.09652142517695,-0.58271688317781,-0.160510524925986,-0.2967897762062,-0.313455068337157,-0.346044205920562,-0.0443324341329595,-0.691791111423107,0.243760650684084,0.130332960533417
"ETEC_Oss_2 (GE) - TPM",-0.97650388286271,-0.737826238581444,0.0662960249330146,0.316026176204174,0.980874520743175,-0.166666666666667,-0.240335217800716,3.40768204807485,-0.171678764247524,-0.155217266449857,-0.231368543255259,-0.113570264698761,0.181345715379576,0.0745939017624552,0.0655376575355327,-0.513933319934337,-0.233480917621854,0.267689171274103,-0.371470930072364,0.178165154078643,-0.734167195926113,-0.382197502580127,-0.609014621223222,0.0561084435641895,0.580973979626525,-0.624380139715397,0.743617549269359,-0.152308855344459,-0.767718553047357,0.0208933389102931,-0.30898231813403,0.517944931721511,0.191524537915734,-0.23652281321867
"ETEC_Oss_3 (GE) - TPM",1.49614069157051,0.572443441293672,1.24549444866993,-0.689290345831975,0.642599645080084,-0.166666666666667,-0.391012668681615,-0.236555466666076,-0.32713932324446,-0.41655418225752,-0.377683808809899,-0.308415734682669,-0.449301155144205,-0.244889696302586,1.33362510210762,-0.513933319934337,-0.233480917621854,-0.568586609977523,-0.455627875830817,-0.373158035079376,-0.734167195926113,-0.786346587024893,-0.722131543839851,-0.407850583181893,0.829579336798698,-0.937906939009272,-0.811334899568614,0.578865531060341,1.42954091611013,-0.346044205920562,1.19037604614384,0.0777338214649537,-0.619350775244434,-0.298814651670378
"ETEC_Oxs_1 (GE) - TPM",0.759231712454008,0.425528779008244,-0.479240608786848,0.676264157233344,-0.228663259591888,-0.166666666666667,-0.391012668681615,-0.236555466666076,0.238700816484081,-0.41655418225752,0.154869598369195,0.400776285549208,0.468861793392487,-0.244889696302586,-0.617592423201226,-0.513933319934337,-0.233480917621854,0.446029590793423,-0.455627875830817,-0.373158035079376,1.10069883064425,-0.536105514211717,-0.722131543839851,-0.407850583181893,-0.726644058766345,-0.346193287669487,0.986613571487115,-0.436772402483056,-0.767718553047357,-0.346044205920562,-0.158779012517962,0.28043131312727,0.478157412545311,1.06155184047404
"ETEC_Oxs_2 (GE) - TPM",-0.082813756574048,-0.114322856263055,-0.854795962354067,-0.881298922080916,-0.253807097978106,-0.166666666666667,-0.391012668681615,-0.236555466666076,-0.32713932324446,-0.41655418225752,-0.377683808809899,-0.308415734682669,-0.449301155144205,-0.244889696302586,-0.617592423201226,-0.513933319934337,-0.233480917621854,0.417865381824771,-0.157818988259272,2.55331958798479,-0.139522886965563,-0.227216352222527,0.879030411592032,-0.407850583181893,1.20140175992347,-0.75193624089681,1.26423245832605,0.569867891357397,-0.767718553047357,0.303202633381004,1.16599754860211,-0.719464325105105,-0.624074506666779,-0.0783805216027905
"ETEC_Oxs_3 (GE) - TPM",1.66241851097417,-1.14017228510979,0.816224540068576,-0.210938521661459,-1.13447059378549,-0.166666666666667,-0.391012668681615,-0.236555466666076,-0.32713932324446,-0.41655418225752,-0.377683808809899,-0.308415734682669,-0.449301155144205,-0.244889696302586,0.263065253937284,-0.513933319934337,-0.233480917621854,-0.568586609977523,-0.455627875830817,-0.373158035079376,-0.192598812566967,-0.65620839838142,1.82980191934752,-0.407850583181893,-0.726644058766345,-0.112822053588724,0.384497492005726,-0.436772402483056,-0.767718553047357,-0.346044205920562,0.767308031485498,0.00556248417215632,-0.911901234618061,0.102703209260835
"ETEC_Sp_1 (GE) - TPM",1.06641216980175,0.189145501279537,-0.643339621847499,1.14668294496445,1.74009944562565,-0.166666666666667,-0.391012668681615,-0.236555466666076,-0.32713932324446,-0.41655418225752,-0.377683808809899,-0.308415734682669,0.133454934898555,-0.244889696302586,0.644915117115069,0.0194222607755503,-0.233480917621854,-0.568586609977523,-0.455627875830817,-0.373158035079376,0.818613608355025,0.20217571449062,0.84577227114812,1.73578130462552,-0.726644058766345,0.657837359348337,-0.605447832871083,-0.436772402483056,0.653986926441621,-0.346044205920562,-1.11629765918797,1.13001946349358,1.26246885882377,-0.298814651670378
"ETEC_Sp_2 (GE) - TPM",0.00908021796593801,0.193720647187648,-1.5466474762885,-1.06993532580342,0.264779959361726,-0.166666666666667,-0.391012668681615,-0.236555466666076,-0.32713932324446,-0.41655418225752,-0.377683808809899,-0.308415734682669,-0.449301155144205,-0.244889696302586,-0.617592423201226,-0.513933319934337,-0.233480917621854,-0.568586609977523,-0.455627875830817,-0.373158035079376,1.15544531067884,-0.184521008004348,0.549879139752305,-0.407850583181893,-0.726644058766345,1.68859305201921,-0.408914075880438,1.16263758083082,0.962385558903634,-0.346044205920562,-0.478052982911983,0.352034083354464,-1.15255738108706,-0.298814651670378
"ETEC_Sp_3 (GE) - TPM",3.15172075329002,2.35028918053746,3.02720762388961,4.417225523372,3.52320770130864,5.83333333333333,5.24906964690357,4.63520381857172,5.4919818873942,4.4745616052025,5.09911539573881,5.16160226039865,4.27190993900099,5.73448472964393,3.21799465251812,3.80705847727224,5.41900881245637,4.6485889118113,4.26955262076728,4.78605482797025,3.98329055503275,5.19325723960523,4.57053793039844,3.93381946664068,4.3719078847799,3.18661157637671,3.07609096083334,4.88717558428714,3.55152310602961,4.80458868310613,3.84790268224311,3.22790506982049,3.04002563781831,5.53037701764728
"ETEC_Tm_1 (GE) - TPM",0.139826608322847,-0.0206156179636555,-0.463116050930743,-0.563484445756147,-0.74040314128407,-0.166666666666667,-0.07288952803479,-0.236555466666076,-0.32713932324446,-0.41655418225752,-0.377683808809899,-0.102728511610386,0.34958426026368,-0.244889696302586,0.103548946833372,-0.392072733163639,-0.233480917621854,-0.274317099636553,-0.189108847195665,0.208842335410481,-0.024611369016945,0.00761429322420563,-0.00566513416296364,1.55124949362922,0.653733545633599,0.770011977887741,-0.993948243314448,-0.286626450800409,-0.605303580467237,-0.152366711981875,-0.696954390999583,0.0614764544557998,-0.285469891045391,-0.167298786621058
"ETEC_Tm_2 (GE) - TPM",0.437765556127916,0.81193708809671,-0.894389743643382,-0.536412378365423,-0.511772409300886,-0.166666666666667,0.111679701997099,-0.236555466666076,-0.0678143990389771,-0.41655418225752,-0.133614217170498,-0.308415734682669,-0.449301155144205,-0.244889696302586,1.66147639438506,-0.128809577290186,-0.233480917621854,-0.568586609977523,-0.315245043728142,-0.373158035079376,-0.734167195926113,-0.0797189588733892,-0.15605798299127,1.91395000909478,0.182209046603236,0.286668852028586,-0.857249730937526,-0.436772402483056,-0.254428212547558,-0.346044205920562,-0.436466425224158,0.300257415960195,-0.0315208181837502,-0.0909956862103118
"ETEC_Tm_3 (GE) - TPM",0.436390439224672,0.562923654148867,-0.0157168367829885,-0.751904794140871,-0.577689384797998,-0.166666666666667,-0.391012668681615,-0.236555466666076,-0.32713932324446,-0.41655418225752,-0.159450696994387,-0.308415734682669,-0.449301155144205,-0.244889696302586,1.42022095873284,-0.169577629327261,-0.233480917621854,-0.568586609977523,-0.330105552116007,0.0379985678099994,-0.23289850635044,0.267159244592807,-0.384697743982822,0.284156649434274,0.248529489092729,-0.681516878762293,-0.926502551553943,-0.436772402483056,-0.767718553047357,-0.346044205920562,-0.842944175416518,-0.0214395037207908,-1.04118327293584,-0.112994782808387
"ETEC_Vic_1 (GE) - TPM",-0.246291122008201,-0.389408329590711,0.310172560502542,0.448875489227075,-1.13447059378549,-0.166666666666667,-0.391012668681615,-0.236555466666076,-0.32713932324446,-0.41655418225752,-0.377683808809899,-0.308415734682669,-0.449301155144205,-0.244889696302586,-0.617592423201226,2.77512917673648,-0.233480917621854,-0.568586609977523,0.343644075669355,-0.373158035079376,-0.734167195926113,-0.733015917999569,0.35218481618777,-0.407850583181893,-0.726644058766345,0.204599057922192,0.350919666144856,0.914059264307973,-0.767718553047357,-0.346044205920562,-1.10392790970267,-0.86699643035696,-0.443375157316428,-0.298814651670378
"ETEC_Vic_2 (GE) - TPM",0.654573353441226,-1.91850512401115,-1.5466474762885,-0.235016487658333,-1.13447059378549,-0.166666666666667,-0.391012668681615,-0.236555466666076,-0.32713932324446,-0.41655418225752,-0.377683808809899,-0.308415734682669,-0.449301155144205,-0.244889696302586,-0.617592423201226,-0.513933319934337,-0.233480917621854,-0.568586609977523,-0.455627875830817,-0.373158035079376,-0.734167195926113,-0.94793866057087,-0.722131543839851,-0.407850583181893,-0.726644058766345,-1.32000343019781,-1.51146066608059,-0.436772402483056,-0.767718553047357,-0.346044205920562,1.4565192126772,1.32292243275565,1.18654736691043,-0.298814651670378
"ETEC_Vic_3 (GE) - TPM",0.581677960415057,-0.697805385467538,-0.80548454208936,-1.06993532580342,0.752394225808091,-0.166666666666667,-0.391012668681615,-0.236555466666076,-0.32713932324446,-0.41655418225752,-0.377683808809899,-0.308415734682669,-0.449301155144205,-0.244889696302586,-0.617592423201226,-0.513933319934337,-0.233480917621854,-0.568586609977523,-0.455627875830817,-0.373158035079376,-0.734167195926113,-0.604786890646981,0.993152544084514,-0.407850583181893,0.92572910765255,-0.508595516920914,-1.51146066608059,-0.436772402483056,-0.767718553047357,-0.346044205920562,-1.56142629873265,-0.119785817814941,-1.15255738108706,-0.298814651670378
