"","GBS_RS00695","GBS_RS01115","GBS_RS01315","GBS_RS01660","GBS_RS01980","GBS_RS02190","GBS_RS02710","GBS_RS02925","GBS_RS03640","GBS_RS03645","GBS_RS03650","GBS_RS03655","GBS_RS03660","GBS_RS03665","GBS_RS03670","GBS_RS03675","GBS_RS03680","GBS_RS03685","GBS_RS03690","GBS_RS04350","GBS_RS04355","GBS_RS04660","GBS_RS05575","GBS_RS07745","GBS_RS08460","GBS_RS10335","GBS_RS10415","GBS_RS10420"
"STAGA_Oss_2 (GE) - TPM",-0.790059281782855,-0.646126116871626,-0.39953373942084,-1.12345364058776,-0.761823851505015,-0.710064567341975,-1.86201755428394,0.260413990632551,-0.63452019520709,-0.777975244849568,-0.943792994721449,-0.529072174230622,-0.619150756004326,-0.897434156730998,-0.76037270330808,-0.699902287873563,-0.592742960293758,-0.650264783964422,-0.357247799412896,-0.988979514690917,-0.753438556140943,0.172923934191725,-1.03833141866977,0.209026609374494,-0.307013668250124,0.201430279902252,-0.441959637769564,-0.103303697761989
"STAGA_Oss_3 (GE) - TPM",-0.609981700898683,-0.692301636031828,-0.937466139030989,-1.13657825420293,-1.55349610338652,-0.717938558860749,-1.59365792208458,0.140783994216172,-0.452657205740247,-0.345610907210506,-0.620117295961128,-0.70591447679329,-1.00571805298052,-1.15923781562401,-0.866848294724094,-0.538390770148105,-0.763207536392834,-0.823584035636856,-0.774934298183677,-1.1634077389828,-0.80093411964899,-0.925887569909279,-1.01533920036458,-1.07419984586799,-1.07727027690183,-0.864448526402327,-0.968162275284834,-0.382729326559411
"STAGA_Oxs_1 (GE) - TPM",-0.916862221666399,0.0677674989961321,1.61511624677058,1.20392231319994,1.95405354248217,0.470862994867776,1.47627624580982,-1.60246935951293,0.895772533019961,1.87316331496534,1.89854350213824,2.71163729017797,2.09944479572343,1.89559786451002,2.15919461678347,2.20351422697548,2.34932490315087,1.87114751964169,2.02611703445543,1.66418419961221,1.60748748335643,-0.252932143460992,1.15859323006984,1.37341612423085,1.37630308455958,0.929077332965768,0.426928303303031,0.417920392224286
"STAGA_Oxs_2 (GE) - TPM",1.52803555886735,0.49927306968853,0.884005006985511,1.40531379946951,1.09825519198455,0.99258324394537,1.27958283587176,-1.63779852011289,0.980600924754456,2.07631479650745,1.38757126373629,1.44701494751857,0.792233846258446,1.9883882294637,0.974672916744958,2.16187775723254,1.84939552348634,1.17016193419303,0.832563247662145,0.88559316572254,1.6472001905512,-0.979503584918061,1.83580503287193,1.55272164749842,1.71082878606571,1.72202771100685,1.06159960051582,1.53688376814397
"STAGA_Oxs_3 (GE) - TPM",3.08321925950368,0.320089674017664,1.26713894806791,0.325337569396672,1.96792221986864,0.698867407320843,1.60543723150182,-1.38020682563403,0.978531914056211,1.02540872261769,0.869905209692155,1.82019945161359,2.06783942504341,1.28578918963171,1.64157874737468,0.855880781975756,1.77191219569858,1.84322239976622,0.275597897981684,1.82628873501769,1.43732065894447,2.15200521983254,0.328186930308101,1.87371392641359,2.05825711718685,2.6955493504539,-0.300251683571693,0.854758575506622
"STAGA_Sp_1 (GE) - TPM",0.348026425438873,-0.836194256441901,-0.1467266718128,0.182153193261054,0.531056819297968,-0.313531549169092,0.424079868982427,0.553286345364894,-0.576237680714389,-0.419335099668467,-0.184773069084804,-0.32200288653009,-0.311252796749387,-0.331805189597361,0.0543100224427353,-0.00926132393956442,-0.30662005115448,0.0799774360016653,-0.462518524470203,-0.28545434077294,-0.425171430842481,-0.574714414181306,-0.0391188632397809,-2.05620344468092,-0.342795058115714,-0.0968840814116515,-0.129613055021402,-0.211801184351111
"STAGA_Sp_2 (GE) - TPM",-0.888039534626592,-0.959801341141335,-0.41642636311236,-1.0000678543924,0.0447116495561275,-0.975482962907212,-0.762276276765368,0.790689736078207,-1.08632091470307,-0.883805241903985,-0.555629013392615,-1.21748731431331,-0.868041189084094,-1.04956087941436,-1.10019535658647,-1.10537080078169,-1.19550619160804,-1.05663778123827,-0.71992922146472,-1.43999265390291,-1.21565912069496,-1.32066265577191,-0.49345816964378,-1.64759631454452,-1.25897194898796,-1.58165874839556,-1.5469924331167,-0.657297049378036
"STAGA_Sp_3 (GE) - TPM",-0.968350250763663,-1.03195788759826,-0.454137595859334,-0.708763882827096,0.0138518430295219,-0.907588926376759,-0.562190728275777,1.75395009865215,-0.942099612398576,-1.14372570354511,-1.34942386670331,-0.896873354037997,-1.15376767035566,-0.774201628156983,-1.03752532398677,-0.980174064201069,-0.985538453203056,-1.15242571458645,-0.963307936283371,-0.967531867283073,-1.22485949588192,-0.339466125096382,-0.995464148309755,0.764272811007609,-1.0893454722644,-1.12793213127272,-1.53546557544776,-0.142686411685453
"STAGA_Tm_1 (GE) - TPM",1.44728195050346,1.39033638633579,2.11650715098076,1.47217392379217,1.11234545829531,1.3491272675378,0.553026378856669,-0.947035705377167,1.15284717687542,0.0685396507860176,-0.0441389406199043,0.0931627906735678,0.388473809340919,0.415090117416567,0.745763664621457,0.129094266266599,-0.18506382975862,0.398247451247328,0.659708978493888,0.982611141496325,0.298459565941045,0.560967124252705,0.112546368823826,0.76594644166382,0.958022218536487,0.998904467498535,1.92641125575918,0.0658252140253901
"STAGA_Tm_2 (GE) - TPM",0.637430915075991,2.32206125269368,1.38550665210317,1.94465808644759,0.97417580984357,2.08215753673984,1.00657828756658,-0.406468705406236,1.82934999050706,0.80990520520561,0.996680854920223,0.265392905849372,0.583218528102201,0.844513661023491,0.951814371412199,0.826080979019799,0.199586552938508,1.01895171308121,1.20232875291302,0.637505739921144,0.519884733604903,0.342609336127624,1.44763479707662,-0.133248313070719,0.251093071787869,0.821829873777151,2.36230565321157,0.728469956905998
"STAGA_Tm_3 (GE) - TPM",0.629796911619865,2.53467461128599,1.77678166538776,1.88712555579512,0.877630242114052,1.70517012395165,1.05422021240988,-0.329225359011082,2.73697321107696,1.24260220146949,1.3184923861218,0.990778265301603,1.21483488698886,1.89378526861211,1.81578342830942,1.1237804973687,0.871300617378502,1.77669639875458,1.73329957597071,1.1344408292682,0.457181697273105,1.5718139117213,1.36482985180818,0.0375836655577259,0.725912001018405,1.10419737741975,2.25518134748136,1.12230672791825
"STAGA_Vic_1 (GE) - TPM",-0.256916888421824,-0.882208065525656,-1.77067127284988,-0.418765745495713,-1.80546879629519,-1.09380465285761,-0.837823698066572,0.00633339337925627,-1.21674112003778,-1.4695336620368,-1.42501965895726,-1.48851853455348,-1.47195069950411,-1.40314200857578,-1.7467278567501,-1.47399013095442,-1.57795233318254,-1.53181940937726,-1.24250844909151,-1.90732095487421,-1.48662654433603,-1.04830587916853,-1.74182145055543,-0.524927626053491,-1.44280644181512,-1.5155809506364,-0.691519816647725,-0.481465320712742
"STAGA_Vic_2 (GE) - TPM",-0.554282496377457,-1.03700394491185,-1.82693735135826,-0.309951251863645,-1.08953351193081,-0.637638035081288,0.675764072166624,-0.0887224604209095,-1.39116771985708,-1.28494208475389,-0.965147757201023,-1.1618632243771,-1.02605250447751,-0.49321063255688,-0.875954264145872,-0.923778211631221,-1.20927073188646,-0.638274152391061,-0.8068688668499,-0.0767014053819381,-0.513861700445289,-1.45022880978398,-0.733136576869229,-0.537905500376103,-0.883118501457848,-0.931572417811924,0.198020730046599,-0.893771172067921
"STAGA_Vic_3 (GE) - TPM",-0.22813800813928,-1.14319257022585,-1.59054856397586,-0.0290619315438725,-1.0372896784709,-0.598505236602418,0.808520455339653,-0.129558721973467,-0.904211332780932,-0.768806029993226,-0.326694371107312,-0.354672601022996,-0.249940155371447,-0.22299528601063,-0.213028492060898,-0.377130515801041,-0.728761340387511,-0.192256314948533,-0.207122688331492,0.537281728573486,-0.631814237292988,-1.17294971074529,-0.573520068601131,-0.253099856438945,-0.298503544393786,-1.43297711335043,0.243692751593048,-1.14310551990527
