"","GBS_RS00845","GBS_RS00850","GBS_RS00855","GBS_RS00945","GBS_RS11130","GBS_RS11135","GBS_RS01240","GBS_RS03780","GBS_RS03785","GBS_RS04165","GBS_RS04500","GBS_RS11300","GBS_RS06155","GBS_RS11320","GBS_RS08305","GBS_RS08370","GBS_RS08375","GBS_RS09370","GBS_RS09875","GBS_RS09880","GBS_RS10155","GBS_RS10160","GBS_RS10165","GBS_RS10170","GBS_RS10570"
"STAGA_Ns_3 (GE) - TPM",2.50238166183175,2.89721571456693,2.18767485181325,1.70738554427036,1.98868010386025,1.77372091032272,3.24790845408301,2.281775980725,2.70003353605161,3.98065930852363,3.92438688380474,5.12916219965605,3.47554043860705,-0.212418032619636,2.7713752931723,3.94104964864579,2.99975216154085,2.9679384311456,5.00886623456969,4.19745646492632,1.27114930511863,2.79884519450535,2.51246870706549,2.65491062287848,4.36074446016716
"STAGA_Oss_1 (GE) - TPM",-0.523761897426187,-0.26173359118917,0.986106548792653,-0.0473202371201519,1.12307356840078,-1.05852383589824,-0.107761167542598,1.31032921683919,0.362984065876026,-0.466039099658523,-0.647527343784722,-0.25138402318743,0.128367275747304,-0.212418032619636,-0.30495928458478,-0.444329785266593,-0.658120685835756,0.128700094966737,-0.185801363988862,-0.483098511583659,0.0269418153641358,-0.322247460902365,-0.314635707096531,-0.49976107154397,-0.446394346761515
"STAGA_Oss_2 (GE) - TPM",-0.497870223544592,-0.264345272021092,0.61589863590629,-0.0513653896921347,1.71875420585862,1.1522251750596,0.062712850347889,1.4536700174635,0.476352810361447,-0.469652216949943,-0.488703820808487,-0.25138402318743,0.544489485913864,-0.212418032619636,-0.249084064016134,-0.718770645860976,-0.585220830351333,0.170993079113613,0.658820418804567,-0.396149433738567,-0.135354785526,-0.20808773099343,-0.340780686092522,-0.498012166918772,-0.382661957614245
"STAGA_Oss_3 (GE) - TPM",-0.541060745390977,-0.287415260382255,0.67994969992677,0.103358130816427,1.48174657176779,-1.05852383589824,-0.0922615984726712,1.25773702231654,0.267410610844931,-0.440422881081415,-0.597771003167047,-0.25138402318743,0.116929101271876,-0.212418032619636,-0.408250116452865,-0.460770403727153,-0.565670134055152,-0.191096505365247,-0.340027596565723,-0.399706779237843,-0.0643485995760678,-0.249466195870619,-0.391494366285929,-0.497804125466125,-0.438367549795939
"STAGA_Oxs_1 (GE) - TPM",-0.579466118585636,-0.422629403665069,-0.593418596694841,-0.340183872083394,-0.790916498071232,0.967271632879359,-0.353449057554047,-0.942163324502128,-0.892617713176978,-0.438887827906142,-0.715204571199172,-0.25138402318743,-0.724789167280862,-0.212418032619636,-0.757231732761941,-0.149176248944861,-0.431383349385498,-1.0970223082645,-0.312436003292216,-0.468826325614119,-0.32053806685741,-0.0817923384851996,-0.331511079256092,-0.533155808644047,-0.435076893714398
"STAGA_Oxs_2 (GE) - TPM",-0.584716276400557,-0.395846591918645,-0.538734674898037,-0.846210205313791,-0.597705801621127,-1.05852383589824,-0.713479751454079,-0.787395545488181,-0.754624030363095,-0.406906488312506,-0.633219725645116,-0.25138402318743,-0.680755932856051,-0.212418032619636,-0.705725608069603,-0.116540365603472,-0.518377763020448,-1.06817005126382,-0.401455438407595,-0.379849283594813,-0.0722195586886342,0.0657133360350575,-0.357108320801503,-0.539076795480874,-0.424876598991183
"STAGA_Oxs_3 (GE) - TPM",-0.443676683813517,-0.304629867617851,-1.06316090085153,-0.421554392652358,-0.590338940541008,-1.05852383589824,-0.234648166938325,-0.881571681161079,-0.820475415827112,0.0510499405993565,0.00281414798990649,-0.25138402318743,-0.526497443749069,-0.212418032619636,-0.50090670149575,-0.0789236331008626,-0.4426866601563,-0.908239317234388,-0.916238894873055,-0.43907932222555,1.16168487982509,0.0357097730993706,-0.323093563545937,-0.473152402888193,-0.341341330679089
"STAGA_Sp_1 (GE) - TPM",-0.548925250047499,-0.39525747229602,-0.223620418404608,0.0542793074128179,0.0158551860477606,-1.05852383589824,-0.517356299496307,0.0105205127786452,-0.23574360047441,-0.419267465205691,-0.631897168701079,-0.25138402318743,-0.47173774276218,-0.212418032619636,-0.677322623186533,-0.807011794496107,-0.624885345427279,-0.287476176024796,-0.0669172764779395,-0.579331240661914,-0.425547181200947,-0.344334104886525,-0.368974935695116,-0.54970805008045,-0.387926672464588
"STAGA_Sp_2 (GE) - TPM",-0.50053124352522,-0.395613455501477,-0.0710292418470078,0.650759246303112,-0.1910101858622,-1.05852383589824,-0.130666195745902,-0.072707097208735,-0.0414358456612229,0.0653427518386486,-0.104792486108496,-0.25138402318743,-0.331066651548349,-0.212418032619636,-0.773833286088356,-0.789756887586399,-0.767399371341632,-0.138765576768425,-0.139779247734029,-0.531889419761659,-0.587044160549031,-0.427054091343849,-0.462399566657092,-0.52916275699174,-0.3788218064856
"STAGA_Sp_3 (GE) - TPM",-0.514962160320132,-0.391035130751595,-0.166269700876991,0.636875763978477,0.206203132861592,0.531441089182657,0.287628477584548,0.590565305801103,0.15359790932295,-0.104324513613057,-0.240856219812507,-0.25138402318743,-0.439037310075242,-0.212418032619636,-0.571611339681709,-0.627889880417945,-0.593490893234786,0.170546058683728,-0.773834240360928,-0.563015562030777,-0.719807568303298,-0.551192585040778,-0.41751248405441,-0.526788823913599,-0.3853632466028
"STAGA_Tm_1 (GE) - TPM",-0.522815668021304,-0.447996106807449,-0.869142866799127,-1.8792038228478,-0.756486999723495,-0.403557598416224,-0.950728154180071,-0.0102869840658093,0.019276176980454,0.348885767982514,-0.356782217034906,-0.25138402318743,-0.597873523435441,-0.212418032619636,0.342702232532708,-0.393019878746645,-0.0853805052544162,-0.299454219871942,-0.468803676544567,-0.197670413717495,-0.784461988451425,-0.489703532426795,-0.423361010319059,-0.522277214141321,-0.213968368590572
"STAGA_Tm_2 (GE) - TPM",0.398506724950098,0.523768153177676,0.465367768393133,-1.52214819365941,-0.825666391879968,1.19135372141571,-0.752923906173669,0.184102360096114,0.106124328894862,0.555896288940779,-0.405385598306216,-0.25138402318743,-0.491408493656995,-0.212418032619636,0.466106178688138,-0.20978505172885,-0.145920783340193,-0.0104827126090146,-0.190847558366773,-0.0460288584524317,0.129416073634629,0.10109198527288,0.0381825139446921,0.084981702314464,-0.188951804583778
"STAGA_Tm_3 (GE) - TPM",1.00080596361781,1.28841562063802,1.34533231117934,-1.11652577861929,-0.202155867047949,0.904231422091035,-0.513225091493037,1.1056016169382,0.807028483498513,0.66912282888158,-0.0927159208777656,-0.25138402318743,-0.0490782471372866,0.185592016248175,0.68656234761815,-0.132831613388373,-0.0755594579418292,0.245630579159989,0.00195802993342417,-0.154689684548138,1.16076669114703,1.3979478204808,0.84807061648334,0.644844360266586,-0.150658048061512
"STAGA_Vic_1 (GE) - TPM",-0.619135502532402,-0.54974150853253,0.788423787293914,-0.328544440262323,-0.663099081518281,-0.562563608530894,-1.43543273209833,-1.22109403345358,-0.76568341582959,-0.776689652704679,0.593279276878715,0.690814541298496,-0.877414995246181,-0.212418032619636,-0.797963989787133,-0.369900068819031,-0.551628979110843,-0.555293719361735,-0.404059169159834,-0.637618505451763,-0.631318807921442,-0.583446587456569,-0.450484314706026,-0.549864225305115,-0.517311185714343
"STAGA_Vic_2 (GE) - TPM",-0.61409630249703,-0.550474681639213,0.199744028691361,-1.23799277285028,-1.24099965231434,-1.05852383589824,-1.27978478723967,-1.10478435700551,-0.727356039099895,-0.631533106448114,-0.371301953134092,-0.25138402318743,-0.699050342037927,-0.212418032619636,-0.674982825789988,-0.843158640262996,-0.660211769514598,-0.426168788278453,-0.584798146526348,-0.412750749272409,-0.795469672728889,-0.557443738384799,-0.500417654826795,-0.57939316568849,-0.449453991266832
"STAGA_Vic_3 (GE) - TPM",-0.62267023728317,-0.50840931682356,-0.311231663207775,-1.27083887071397,-1.19225344029643,-1.05852383589824,-1.12878926051374,-0.790798531065904,-0.62549095651108,-0.638872034868134,-0.490628841619324,-0.25138402318743,-0.548428234772342,1.15470535077305,-0.589217003359206,-0.823780175833739,-0.67573531803148,-0.603228449214358,-0.454930314628097,-0.539017335531251,-0.997696076961911,-0.615412237558089,-0.502933012899292,-0.566833572002581,-0.492227491249148
