"","ETEC_RS05140","ETEC_RS05145","ETEC_RS06410","ETEC_RS27775","ETEC_RS07285","ETEC_RS07965","ETEC_RS08110","ETEC_RS29880","ETEC_RS09945","ETEC_RS09950","ETEC_RS14725","ETEC_RS15765","ETEC_RS15770","ETEC_RS15880","ETEC_RS16885","ETEC_RS16900","ETEC_RS20350","ETEC_RS22010","ETEC_RS22455","ETEC_RS24280","ETEC_RS24830","ETEC_RS25935","ETEC_RS29500"
"ETEC_Ns_3 (GE) - TPM",3.38313141080587,3.45223021572371,3.66491910879992,2.71854779393368,2.43372834050042,2.8599528748333,1.5084911379031,-0.166666666666667,3.39426888047583,4.20080501632013,4.00506529795768,3.88450455576189,4.03842438461533,2.37921622261337,2.04748224051502,0.729346445506325,2.74536769913219,3.0223049764574,1.78515414453561,1.84955261823437,4.45295574491514,1.78078685882237,4.5345951521429
"ETEC_Oss_1 (GE) - TPM",-0.544843576719187,-0.24953953441358,0.217479526248898,0.528745361297771,0.1637645212327,-0.36460548862457,-1.07893828537818,-0.166666666666667,-0.344383395452095,-0.336406792881574,-0.403291260105976,-0.2958848231183,-0.295059334869956,-0.343663952581746,-0.860175093842528,-0.745238180042093,-0.306636868332224,-0.280275093069731,-0.804876397165515,-0.360171409000031,-0.311580699043917,0.618876165614728,0.0310693440165753
"ETEC_Oss_2 (GE) - TPM",-0.36448573016938,-0.271857848759017,0.068158787513497,0.437138865924218,0.429590909228864,-0.297246650978763,-0.634767477645386,-0.166666666666667,-0.250437948078485,-0.0931377233201478,-0.421053057090209,-0.29678765577342,-0.293322416803613,-0.295765380865854,0.0325433792890398,-0.192549811133856,-0.38172295589158,-0.11729875271025,-0.206705156908583,0.0225665128895535,-0.290429087539992,0.530280900780825,-0.31566094122518
"ETEC_Oss_3 (GE) - TPM",-0.0937057782764839,-0.275471631185969,0.131849360073554,-0.226302944787806,0.844879252978691,-0.0957905492273309,-0.830177995508525,-0.166666666666667,-0.523634051203192,0.0786420441902784,-0.318623930637764,-0.288333095936475,-0.292298576888113,-0.160111105576449,-0.271959542005973,-0.768912903210616,0.363533435437567,-0.00977641681296339,-0.162988599217145,-0.603495569559824,-0.274743585394984,0.786847959229508,-0.31566094122518
"ETEC_Oxs_1 (GE) - TPM",0.143913933974704,-0.322126976557041,-0.294303291403863,0.0566620261738817,-0.0454803332569798,-0.469882668126076,-0.264229597885827,-0.166666666666667,-0.523634051203192,-0.348322204987894,0.121238938709543,-0.28018540989112,-0.269781602396285,0.104707679082992,-0.138595783424765,-0.218205778613338,0.960006121097207,1.18804139901843,0.236568957768695,1.06052186860395,-0.226015767238986,-0.496039251057322,-0.31566094122518
"ETEC_Oxs_2 (GE) - TPM",-0.12076318733531,-0.300579122448836,-0.372528449563407,-0.628546213872503,0.262616214118759,-0.562762473575726,-0.626227800190554,-0.166666666666667,-0.523634051203192,-0.210395332193009,-0.0362797260127135,-0.287278810463288,-0.266011140083071,0.02980809591964,-0.335904917430626,-0.949184045584483,1.76896900983233,1.39683129542415,-0.0172308841704202,0.743429955606342,-0.243155608519161,-0.961633188716879,-0.31566094122518
"ETEC_Oxs_3 (GE) - TPM",0.589197527977079,-0.325009868335424,-0.286207750016719,-0.278347004866222,0.396727961763044,-0.64338463278288,-0.817992114380747,-0.166666666666667,-0.0833953390580625,-0.49435645659484,0.060734278390516,-0.288662607263845,-0.288259133093184,-0.0677855888450457,-0.356365824267607,-0.837275537240637,0.590014132657866,0.705483261427642,-0.380464101894797,0.484660777330655,-0.222376117300926,-0.770295352644749,-0.31566094122518
"ETEC_Sp_1 (GE) - TPM",-0.852347467306397,-0.338583061022633,-0.480399134132594,-0.242049235000362,-0.824023003277494,-0.334712270663943,-0.260202487248363,-0.166666666666667,-0.102884340871548,-0.49435645659484,-0.38916592566457,-0.298908145685099,-0.296326058763387,-0.459016421509633,-0.955527598212942,-0.789596490722797,0.168848009845761,-0.729704233826041,-0.806141895906152,-0.775240363852678,-0.308712261522834,-1.09682888053225,-0.31566094122518
"ETEC_Sp_2 (GE) - TPM",-0.848500093945496,-0.33315819325148,-0.464100849849857,0.0810598599212183,-0.832450719701344,0.138930622846803,-0.481675697228482,-0.166666666666667,-0.523634051203192,-0.49435645659484,-0.480516868179093,-0.296082500300851,-0.294724532730749,-0.459016421509633,-0.885888195302021,0.740978035657387,-1.05374141228506,-0.706232365820821,-0.882265844568116,-1.10400004165251,-0.287401666362677,-0.755998042905064,-0.31566094122518
"ETEC_Sp_3 (GE) - TPM",-0.760763931154211,-0.317882315379528,-0.392753898309537,2.74285283777937,-0.80825664430228,-0.549579707955897,-0.414609562140222,-0.166666666666667,-0.523634051203192,-0.118901026838585,-0.504904351878943,-0.29251308908709,-0.298724588314454,-0.302331021840798,-0.543258872435687,1.2902067840049,0.0442366709800328,-0.724186231104206,-1.01833488016772,0.877887557747825,-0.308492577626931,-0.453814357361832,-0.31566094122518
"ETEC_Tm_1 (GE) - TPM",0.413942641328751,-0.271642041397191,-0.327560337106991,-0.444833791544521,-0.626375347923999,0.685010374671909,0.194188302897567,-0.166666666666667,-0.283302795339491,-0.0708127781569869,-0.490800663232781,-0.297808275539189,-0.29105762177629,-0.352964242884738,-0.62273913806415,0.605492750084557,0.229356012486008,-0.699054440690143,-0.604090870180436,-0.110769538764515,-0.311520904273348,-0.300355047917016,-0.31566094122518
"ETEC_Tm_2 (GE) - TPM",0.467979182861657,-0.258159927960788,-0.340004244460338,-0.636129132875804,-0.647534385052745,0.375602390248002,0.0130777649919571,-0.166666666666667,0.00803982796087972,-0.49435645659484,-0.493757655169224,-0.296734574010939,-0.297045188832287,-0.382208136064714,-0.788215375982003,0.333636648879274,-0.473593121330141,-0.701079670939481,-0.528392589614429,-0.142805272230834,-0.294252508307934,-0.568124717789485,1.44736845716892
"ETEC_Tm_3 (GE) - TPM",0.0716168466973266,-0.263845053688483,-0.312203436889781,-0.705200437063076,-0.618539323843321,0.692338771503585,-0.0978161452649288,-0.166666666666667,0.427150881001196,-0.135299407118332,-0.503800421997313,-0.298495118302968,-0.294572775461307,-0.384095415151539,-0.703663496760174,-0.00414960629078084,-0.111037944417496,-0.69683923074604,-0.47310628470059,0.136393907426453,-0.305998342107568,-0.572296743132306,-0.31566094122518
"ETEC_Vic_1 (GE) - TPM",-0.784294949832914,-0.323414369635819,-0.210467593746236,-0.405433855414358,-0.632198839816169,-0.442428723202592,-1.00629265873656,-0.166666666666667,0.773691918962534,-0.11330308403782,-0.481469962230318,-0.29552129770769,-0.288532754090179,-0.459016421509633,-0.842210672347788,1.33138056564989,1.23930134218659,-0.410015033138671,-1.07959986960079,-1.06217732692079,-0.284508053782926,-0.929500843860016,3.03028463443445
"ETEC_Vic_2 (GE) - TPM",-0.725392150816846,-0.307910913292184,-0.322904265924772,-0.761048182752455,-0.77471258116037,-0.58308200923939,-1.11322871676054,-0.166666666666667,-0.523634051203192,-0.49435645659484,-0.54653494834968,-0.296850079350227,-0.295366346173523,-0.327890731071729,-1.24812058619856,-1.4713291423583,-0.917279917428131,-0.635133546243883,-1.12756232989684,-0.809169155666427,-0.296681174202081,-1.43639586761584,-0.31566094122518
"ETEC_Vic_3 (GE) - TPM",-0.732280708687447,-0.318698266241887,-0.338244878492615,0.374519737166613,-0.756461225909442,-0.314664444575502,-0.99019693276908,-0.166666666666667,-0.523634051203192,-0.49435645659484,-0.511417644169384,-0.298668716805228,-0.303709030327416,-0.332067263781154,-1.08387508550085,-0.725514789442774,0.00414322171321378,-0.60472135114141,-1.01614327708461,0.29607459471504,-0.302350399501306,-1.17493791098834,-0.31566094122518
