"","lmo0200","lmo0206","lmo0207","lmo0279","lmo0280","lmo0425","lmo0426","lmo0427","lmo0428","lmo0785","lmo0838","lmo1917","lmo2151","lmo2152","lmo2153","lmo2154","lmo2644a","lmo2646","lmo2647","lmo2648","lmo2649","lmo2650","lmo2651"
"Listeria_Ns_3 (GE) - TPM",-0.827788176521224,0.550763569194727,-0.0154654662330447,2.63113183479439,2.18753564052485,1.23550035797042,1.46605540784975,1.13166721248896,0.290867258536863,1.95674974522834,1.20444347678825,2.1171937706281,2.76018638299513,1.90472379633905,1.95835938865492,2.37176226926146,-0.154201281076573,0.062286923886906,0.184687307600962,0.838478133341402,1.37204638827356,1.66400137424755,1.38127407121013
"Listeria_Oss_1 (GE) - TPM",-0.686909505423892,-0.558120793425167,-0.69795396193284,-0.0377461414714762,-0.165292039662754,-0.773185221143253,-0.807792634611792,-0.709090997521771,-0.981954549231529,0.0180563600691122,-0.399518480909103,-0.889274599930226,-0.371388991535656,-0.733081170461689,-1.01280726101919,-0.770977472416905,-0.635357627185429,-0.543629725587754,-0.591531133224683,-0.648892236630097,-0.765797900659358,-0.736831383452367,-0.849319198807714
"Listeria_Oss_2 (GE) - TPM",-0.757025686744739,-0.579497024710153,-0.658649763446936,-0.0470119233491262,-0.247900713563297,-0.785762742104074,-0.914055993510459,-0.8296958927159,-0.986130747345077,-0.0226221832837718,-0.4216466143609,-0.894194761706017,-0.404325970283917,-0.741293228940157,-0.993863119953223,-0.819487886839929,-0.650973657257182,-0.618306766306953,-0.624340879299245,-0.659024877679644,-0.804747155657866,-0.778458215840037,-0.896722952551572
"Listeria_Oss_3 (GE) - TPM",-0.789495679361149,-0.571486460189955,-0.865974903472996,-0.0614817022470963,-0.137621844923087,-0.675854070097697,-0.7427540200346,-0.783397537746007,-0.903513304733885,-0.0282963982004444,-0.399627698365046,-0.894741223091196,-0.405001602814063,-0.729279521087983,-1.05071115717211,-0.770323877617735,-0.563735710906371,-0.504184735495802,-0.571581111915068,-0.603175184241449,-0.775442858882576,-0.722523589640509,-0.162817934175408
"Listeria_Oxs_1 (GE) - TPM",-0.659103450158108,0.292739850314425,0.351104672702611,-0.463253131963054,-0.464770602047255,0.307003230276825,0.393021063987806,-0.121451147439316,-0.364275679595104,0.153637555595128,0.117938223338108,-0.418045128940908,0.0155471541082379,0.154507881675414,-0.125280367794532,-0.0615527310239231,-0.586888233724965,-0.574371451361964,-0.497831479456266,0.118631139635034,0.207989090782356,0.861334750736679,1.35317132580168
"Listeria_Oxs_2 (GE) - TPM",-0.578038718223587,0.681307141488327,-0.180348977996609,-0.538399332090401,-0.351919548744959,-0.170694930215814,-0.495984267622849,-0.210680568702172,-0.487468012068879,-0.00843405823174794,-0.512263666644366,-0.657762806341755,0.458290996026208,0.31056443075368,-0.294831979631517,-0.0896459801528299,-0.707669238692645,-0.613833189965073,-0.598933662276734,-0.459884741687753,-0.420876471191626,-0.273168256506647,0.0138980484591657
"Listeria_Oxs_3 (GE) - TPM",-0.997757972117278,0.0556009491577537,-0.0743312780048492,-0.552118760681315,-0.512340898420002,-0.192504120684671,-0.281195732578702,-0.0820127929456099,-0.807264144051745,-0.142865686708842,-0.298897300897977,-0.818340599066036,-0.112368468841301,0.163659727283673,0.158192487114929,0.119590147573743,-0.690479710297186,-0.647817423823791,-0.626790937083763,-0.559911831669808,-0.518387120548137,-0.189076803760579,-0.406452647431856
"Listeria_Sp_1 (GE) - TPM",0.159357185984176,-0.570465721723151,-0.686857251490056,-0.706104255656085,-0.63611301823562,0.488314117402697,0.682814671387604,0.533006054811667,0.959829796283717,-0.883648433022728,-0.570841812429406,-0.987882439327872,-0.604586305848435,-0.00341569389973975,0.264867782331367,0.102275537273038,0.197273572048786,-0.0404057161627724,-0.174515542736823,-0.390886829148172,-0.576086051386631,-0.636193121567569,-0.742500192212351
"Listeria_Sp_2 (GE) - TPM",0.0232054550821923,-0.963711374215573,-0.91121164032393,-0.693229338669279,-0.651124166585086,0.352896415781079,1.06232459287352,0.220008217495257,1.36348807649164,-0.863684496087661,-0.655321703229241,-0.978646931613733,-0.311979228964975,-0.0273534049715895,0.618871094875315,0.0220812904686545,0.048725696958693,-0.0978099573583801,-0.174498785895625,-0.341028695538057,-0.649238858824524,-0.555900244528259,-0.732232529693915
"Listeria_Sp_3 (GE) - TPM",-0.0139406737895251,-0.963711374215573,-1.11518310276602,-0.680463303252138,-0.652787150523551,0.768717651830205,0.96550710041417,0.720111023242915,2.54874420724135,-0.86500205297825,-0.493325086069069,-0.879857786160876,-0.624548694548332,-0.27244593508542,0.607160270377778,0.160085394287404,0.294691011758074,0.03867640958553,-0.227817781952843,-0.590561009265037,-0.568737397327956,-0.627935979580676,0.916637954614177
"Listeria_Tm_1 (GE) - TPM",2.20679298680775,2.5404082298191,2.64036266836973,1.38690789929208,2.15485227239122,1.81456135443185,1.88708951254522,1.68568162386657,1.95186570570495,2.09068184707003,2.62131519546534,0.604976194920461,1.82257162328195,2.17884099110079,2.45828619053794,1.93201622962549,2.44223395747845,3.13777820739972,2.75501122674076,2.67313469171059,2.32230602774752,1.85381940479544,1.77426570969087
"Listeria_Tm_2 (GE) - TPM",2.12841352587378,1.62907617056579,2.25993917633279,1.47891965845153,2.31368992994572,1.41894405883773,1.62377956077046,2.70427336144987,1.83564914933886,1.69574540926779,1.47521559728903,0.569920499019127,0.826471173710055,2.07086822007566,2.01310063563572,1.84299744448306,1.95840118614135,2.26344316195867,2.47416011098148,2.76816766606571,1.91260342064357,1.8685790258476,1.90405842633259
"Listeria_Tm_3 (GE) - TPM",2.12251041988941,3.19680471427464,2.36448635365865,0.991212590793745,1.81283522338761,0.751747950537081,1.07694874031933,2.16075243758855,2.07661252572737,1.07378458301796,1.97356356933127,0.315184203122539,1.31467288678461,1.90262475012315,1.5116006561659,1.16255461134319,2.18439078619191,2.50340140682072,2.99210569915401,2.42808128497532,1.60985851021662,1.93305975805313,1.49259739112533
"Listeria_Vic_1 (GE) - TPM",0.0227193897538514,-0.831932040266616,-0.70850074209182,-0.429061873821218,-0.279581134629872,-0.481433074665053,-0.116751184327784,-0.0551361081127305,0.00212806638477395,-0.883215801778261,-0.480411433627804,1.42390292480679,-0.494627874691052,-0.234068167035962,-0.461703794459446,-0.315377653112086,-0.66431185797012,-0.654098073596692,-0.62992665474864,-0.679741260545861,-0.697433976182835,-0.708118503618965,-0.770235100092605
"Listeria_Vic_2 (GE) - TPM",-0.57495641269832,-0.426819995200774,-1.0177188097572,-0.473046052538027,-0.38906475266646,-0.338182665787501,-0.265523515107596,-0.124400244675131,0.0275599609588663,-0.978174769597779,-0.412649283471614,1.00799829532795,-0.520899081923412,-0.366946819474077,0.187188165820236,-0.423843897412721,-0.66324809884468,-0.604753693851225,-0.625662007536093,-0.697782709001776,-0.664195556718819,-0.678221855286191,-0.722628863900091
"Listeria_Vic_3 (GE) - TPM",-0.597550975127515,-0.830107720063395,-0.314812032360236,-0.655738091381809,-0.634063273940855,-0.426829243394363,-0.200693788192787,0.314144757770209,-0.235831730727922,-0.953597719362373,-0.553468386347229,-0.537563131575985,-0.490784525654701,-0.408332908273742,-0.0698885772418467,-0.263027824514622,-0.538467041791686,-0.522786742334248,-0.639246984806012,-0.717905507006693,-0.754644480048834,-0.842636042344497,-0.811557963696884
