"","JHP_RS00070","JHP_RS00075","JHP_RS00285","JHP_RS00410","JHP_RS00530","JHP_RS00560","JHP_RS00565","JHP_RS00570","JHP_RS01205","JHP_RS01210","JHP_RS01320","JHP_RS01700","JHP_RS02010","JHP_RS02455","JHP_RS02600","JHP_RS02780","JHP_RS02865","JHP_RS03010","JHP_RS03040","JHP_RS03050","JHP_RS03060","JHP_RS03065","JHP_RS03125","JHP_RS03270","JHP_RS03440","JHP_RS03445","JHP_RS04360","JHP_RS04665","JHP_RS04870","JHP_RS06015","JHP_RS06495","JHP_RS06955","JHP_RS06990","JHP_RS07100","JHP_RS07305","JHP_RS07580"
"HPJ99_Oxs_3 (GE) - TPM",-0.686176893472935,-0.687634758697072,-0.758092558271155,-0.82912010077917,0.727635230673944,-0.318079154128128,-0.119015145469347,-0.322217930699867,-0.664592780181875,-0.557814570539821,0.288569474837233,0.859709591375826,-0.204406111544951,-0.468151851297827,-0.688276691646799,-0.153194678513593,-1.22410134205637,-1.6276858806379,-0.232409474900382,-0.638375823158248,-0.576761006961101,-0.431989114954739,-1.32390076137327,-0.908053909405251,-0.661020139463323,0.381764924945708,1.33582188010251,-0.915060170929633,-0.729006357671966,-1.20844073603894,-0.555956354645824,-0.510184980445282,0.299040432070168,-1.28968696411484,-1.09897060203563,0.398501036029702
"HPJ99_Sp_1 (GE) - TPM",-0.377273352663873,-0.420289273374806,-0.7862297590277,-1.24944547057963,0.277772238990784,-0.953434099775188,-1.0159888091609,-0.81903989482594,-0.571841588468102,-0.753056635668494,-0.251388389182461,1.10908684450626,-0.733979816420609,-0.195585569307168,-0.251600951811833,-0.554611033508106,-0.849662701949111,-0.772480255976883,0.0724153901127079,-0.711680629117522,-0.902990672674955,-0.459232716394921,-0.899764961373212,0.22619391519709,0.02362616671465,-0.518049455235433,-0.45769617156349,0.236239477962103,-0.383300185584921,0.343291313954905,-0.363775050353127,0.112774463584765,0.125996442970104,-0.68908069846531,-0.326781822488445,-0.450152019940542
"HPJ99_Sp_2 (GE) - TPM",-0.401322562423646,-0.468136030949771,-0.765807356292725,-1.05946584721587,-0.0876979065042643,-1.00612968970154,-1.02256692559195,-0.77878578634512,-0.351031641930334,-0.400752526766221,0.0283973569145085,0.127858617231093,-0.779572344513877,-0.124286292662726,0.97489083670182,-0.278869227433104,-0.441118519841082,-1.31040424021936,-0.325879070217188,-0.266948533861849,-0.500790227819516,0.0913631896802779,-1.22232929305852,-0.146157975700518,0.125979711513316,-0.770251590909673,-0.252965481557308,0.61464345287194,-0.478003788943113,-0.261683719933382,-0.470563034214728,-1.1251122981509,-0.210474892601467,-1.2608639036148,-0.692943275900301,-0.997228266913972
"HPJ99_Sp_3 (GE) - TPM",-0.214493347015952,-0.400044335009902,-0.762310433417738,-0.866916945716906,-0.571975131134374,-0.806680208039314,-0.844717442262143,-0.663851652401339,0.392721475822656,0.392702555628451,0.779422289415733,0.599262378706473,-0.554408468277051,0.290178695963051,1.6353503662851,-0.587366056167998,-0.251515941144472,-0.391071341774821,-0.0772342154725532,-0.131834979774762,0.136418844985785,-0.165034562830181,-1.06991397204274,0.379454132625596,0.414227021601585,-0.784808537457918,0.298839758361206,0.578305265921369,-0.49114556161376,0.0591580407171092,-0.429566672882223,-0.871430232396065,-0.24191213793021,-0.86839569101633,-0.555952218086958,-0.999180259523749
"HPJ99_Tm_1 (GE) - TPM",-0.323908688370808,-0.33098482579815,-0.487124861328926,-0.361350424778929,-0.272260952502916,0.366880569198534,-0.0716523014738712,-0.123098426870165,-0.305940144270184,-0.722853173382043,-1.31139652689863,0.420517853904242,-0.643086834842952,-0.274462991231319,-1.05673221644364,-0.527661357156611,-0.413417758192299,-0.755494303137327,-0.340627646540312,-0.712914046780156,-0.711756289215066,-0.531482834546419,0.115319650882289,-1.04721257224401,-0.71285886783348,1.49204688927897,-0.996160914134204,-0.277946739314827,-0.500031739881928,0.223610581158714,-0.0260264902123928,0.291066061271509,-0.259249695177326,0.0464185693164121,-0.00365688916916672,0.522300798415791
"HPJ99_Tm_2 (GE) - TPM",-0.231161783407342,-0.158999455804615,-0.522207482333713,-0.474057854181572,-0.223868443122683,0.40590812609753,0.312621788631139,-0.133575599842647,-0.115298127076343,-0.612745358073481,-0.519430990469144,0.357426453178605,0.28727515647988,-0.672217864197345,-0.722459449798407,-0.147769162789602,-0.271894246663169,0.415304386911722,-0.138783301603741,-0.527828124757765,-0.516527650895308,-0.198556114524613,0.134278290337486,-0.849374215456156,-0.494989282504132,0.829398822489433,-0.877066533558067,-0.418773564370503,-0.513230109468356,0.28683413410132,-0.111730947780641,0.486715386306762,-0.480623282867018,0.502539633803446,-0.0574089229044431,0.255109940276747
"HPJ99_Tm_3 (GE) - TPM",-0.288600185745516,-0.315478327652584,-0.417374730566901,-0.385338554947295,-0.366949407407141,0.0614807515370977,-0.0521074060906689,-0.0644997437904006,-0.275690189350545,-1.01252076046633,-0.990715513735167,-0.103306453415045,-0.0481880946874093,-0.512999337843101,-0.96996241996973,0.176436983955833,-0.316484303125206,0.221459764641225,-0.181459979948478,-0.477521032528162,-0.326752191664247,-0.209674543744709,-0.028677507223063,-0.847961838815582,-0.521760514981025,0.819957134489972,-0.793540857226295,-0.136457888946464,-0.38923696429128,0.273696010796223,-0.28541573904638,0.0446794752804073,-0.424005350080352,0.17964908385209,0.385346181625369,-0.0459865139836307
"HPJ99_Vic_1 (GE) - TPM",3.62825299485519,4.04197894897273,2.83352171838858,3.38191052096996,2.92533120534193,3.22888921995988,3.18937441348056,3.58458850944345,4.26255961462508,3.41757607919498,2.78174924486037,-2.41836321863303,4.04712781822599,3.75641291322182,3.35011438724809,3.80741519112972,3.45856725401252,1.94911073490673,-2.24232697225418,2.96697334251259,3.03626153580935,3.01670225283297,3.25117168014509,2.87138138755275,1.66618396915589,-2.0431102881228,2.31772820319296,3.78864519218465,2.2186919197395,3.20205069502965,3.99156362832561,3.17119198977464,3.367703258997,2.68956473460821,3.08528217399635,3.79006152334243
"HPJ99_Vic_2 (GE) - TPM",2.13332561095711,1.97886470526998,2.26574294391249,2.33822214191869,1.84060554083456,2.40926187015352,2.08168772799258,2.31008538559559,1.66820617148746,2.49347055447958,1.17276956404847,-2.58361867127427,0.943185111699671,2.07424017205638,1.62191740192695,1.41775380635548,1.67884733814876,0.715745660441836,-2.52258956721782,1.07060905482748,1.73136448168401,1.34912556371126,1.83863096416226,0.97017702091093,1.19155096040452,-1.88426149711391,1.5609213493865,1.13491171755769,1.41418687465012,1.14028333360161,1.93538069712041,1.32580778854926,1.99504776194249,2.08984804906633,1.08902861161591,1.3257471704587
"HPJ99_Vic_3 (GE) - TPM",2.92769693457704,2.732718129454,2.36137885922322,2.15456435554668,1.81672392266888,2.80926169365331,2.94559371499172,2.62604542184358,2.19766411649347,1.98217207091584,2.18860961766542,-2.35074646765793,1.68071484633107,2.40144901955671,2.16958701001743,1.94939077909434,2.57604808101361,1.42224620961299,-2.39339811776805,1.76581250268148,2.15823077974218,2.57950417721466,2.03112646117247,1.53756873358615,0.758255027876481,-1.77672049399821,1.50398108543738,1.9692973808762,1.54519536433843,1.93978184537081,1.8096611345802,1.37704060938107,2.11082179611518,1.94856345891365,1.40119184567336,1.94619747457319
