"","FTS_RS00355","FTS_RS00370","FTS_RS01760","FTS_RS01930","FTS_RS01935","FTS_RS02115","FTS_RS02120","FTS_RS02265","FTS_RS03265","FTS_RS10260","FTS_RS03810","FTS_RS03875","FTS_RS04150","FTS_RS04300","FTS_RS04615","FTS_RS04630","FTS_RS05170","FTS_RS05175","FTS_RS05185","FTS_RS05190","FTS_RS06395","FTS_RS07685","FTS_RS08180","FTS_RS09335","FTS_RS09355","FTS_RS09360","FTS_RS09365","FTS_RS09370"
"FRAT_Ns_3 (GE) - TPM",-0.66958327976809,0.00715574809177437,1.05447920565025,-0.306441957103195,-0.340924662417804,0.669112868531841,-0.227849243902739,-0.532786231896866,-0.178165812953239,-0.210666549578278,0.664273790459232,0.304582509660385,-0.0865634198755632,0.242884974438238,1.16627909459455,0.590636689569123,-0.641765733995827,-0.44387543481846,-0.357271496296555,-0.217270686073084,0.519510009997548,0.0267778012898183,0.570570933066612,-1.26747033405201,-0.287675537093286,-0.229003994431187,-0.203147866725916,0.15549991657271
"FRAT_Oss_1 (GE) - TPM",1.14179409520031,-1.23088401000149,-0.863710160981503,-0.332085582366978,-0.294116280613938,-0.556431864918849,-0.515706566874098,2.13316895668976,-0.0752612876410179,-0.210666549578278,0.0144993095486769,-1.45821462576008,-1.09349033343634,-0.788927017549801,-0.499788751399412,-1.0894397955673,-0.851281685399962,-0.766816618795533,-0.56746277745675,-0.508975342509548,-0.905528378232696,-0.537008964164867,0.506842984508243,0.948936871706659,-0.30890882520737,-0.298453517221281,-0.336103883632296,-0.249264804417832
"FRAT_Oss_2 (GE) - TPM",0.516222805831942,-0.910662350880559,-0.62357615893413,-0.338137994319458,-0.284010612128974,-0.235975433739449,-0.388012610530537,1.45523876598964,-0.622713492606586,-0.210666549578278,1.05915571719528,-0.49153957466545,-0.396004537059228,-0.53266750481832,0.322614190897089,-0.0495668793858473,-0.653736441086009,-0.60481699465873,-0.502660264216428,-0.446664980350649,-0.237414264751947,-0.195490046982436,0.0296932767322268,-0.857138758605363,-0.306691507936618,-0.262555199045998,-0.265324158887507,0.215282600986271
"FRAT_Oss_3 (GE) - TPM",0.719358129408567,-0.868425388045845,-0.607759530750678,-0.356270292804435,-0.340924662417804,-0.262889577867859,-0.546865739310332,1.3214782302466,-0.252260887714629,-0.210666549578278,1.0702381251842,-0.266954194591687,-0.813186667141544,-1.15390042416086,0.184004075269639,-1.00407101473645,-0.730886014780066,-0.71070277077357,-0.480307159988695,-0.44490802518344,-0.559799359006318,-0.23838929155113,-0.463108160514528,0.134303458690611,-0.306587420199706,-0.248524035236708,-0.317841232425402,-0.111531318713518
"FRAT_Oxs_1 (GE) - TPM",0.65150134501732,0.0534612764874059,-0.00708483138456254,-0.343215240908068,-0.319954713430475,-0.0763150212627078,-0.360568322361758,0.0888969765263553,0.119283118056636,-0.210666549578278,-0.62493912580896,0.325340330497538,-0.723243039300536,0.506610564474812,-0.748697694319672,-0.107711656875192,-0.572433038961302,-0.640388150783221,-0.484261345123374,-0.394583994513952,0.867017649167312,-0.289923412800498,-0.497447201291582,0.15866502411915,-0.290703213228069,-0.24768252031946,-0.21088398872013,-0.012812122173229
"FRAT_Oxs_2 (GE) - TPM",-0.0559315787392935,1.13969988577516,0.271029440255694,-0.315051928344056,-0.200163749648271,-0.432860393494615,-0.213085283438911,-0.324254643320787,0.377769748218913,-0.210666549578278,-0.403967926843988,-0.784415689521989,-0.643158888287948,0.409923146429101,0.276274156215278,0.738103213154938,-0.754523944954764,-0.654715010517466,-0.451856022420422,-0.377985110341621,0.326780979658743,-0.284894444376242,-1.19696998214446,0.351586904631479,-0.298127396407349,-0.218583001187279,-0.171663954879877,0.210469220090788
"FRAT_Oxs_3 (GE) - TPM",-0.06495690503412,-0.147703777642218,0.272514589399561,-0.346367173049597,-0.318236491210389,-0.0704626647246522,-0.338135063288918,-0.108499248217533,-0.0519275419659222,-0.210666549578278,-0.156053222970186,-0.447979063505038,-1.31056239858295,-0.567139955799994,0.722502816213719,-0.297545109695269,-0.437064848321883,-0.582538101756997,-0.419754047493453,-0.360591469659923,-0.298902408701435,-0.124169425260747,-0.718043786191662,-0.556849932738294,-0.2960980483363,-0.238375572036337,-0.219639772798243,0.0955539175837745
"FRAT_Sp_1 (GE) - TPM",0.642953055419596,-1.06158062606836,-0.645596718407737,-0.32891192140863,-0.300838716292257,-0.634711394834687,-0.415055710634477,-0.482105123220701,0.372449400288756,-0.210666549578278,-1.06351303759729,0.531990896217987,0.0339819968682777,0.424482374109941,-0.246356646374777,0.114651381235235,-0.336949125306987,-0.121807309298566,0.0217074163289487,0.0309061647863842,0.161790919482398,-0.607610547629281,0.218050793634016,-0.0226430671215718,-0.207720582702507,-0.209406589177227,-0.196811468775609,0.358853012717525
"FRAT_Sp_2 (GE) - TPM",0.405811784397829,-0.644468652077273,-0.750407526889361,-0.336871382436115,-0.27826648330691,-0.599941384580436,-0.285506428415342,-0.382246492732287,-0.303506535431747,-0.210666549578278,-1.25377186006491,0.272148100949722,-0.131543624757081,0.212048929371414,-0.311502171606264,0.293071262513417,-0.298190048898539,-0.193427028699931,0.0732720016507875,0.0882772987324875,-0.558350178370311,-0.587658848984642,0.292393451558562,0.220785909027779,-0.17407922199348,-0.0431633827964524,0.106309753295727,1.21605040131185
"FRAT_Sp_3 (GE) - TPM",0.0253529545285136,-1.5431725155637,-0.173132478187844,-0.338368088428287,-0.226223498066918,-0.438711687970481,-0.129492960261234,-0.356561148661496,-0.703149233154798,-0.210666549578278,-0.943614995647249,0.112057112356889,0.580251913554497,0.806063158833638,-0.0725822338950193,0.431492050654107,-0.689985345493611,-0.412098497281013,0.164041316837036,0.184301566333813,-0.0272321865782145,-0.597999254064747,1.148699920896,0.0251047102805533,-0.212602702172279,-0.155999234507719,0.0246329976033662,1.31673032987594
"FRAT_Tm_1 (GE) - TPM",0.605723057680381,0.671358598176351,-0.445359828654298,-0.199817698612993,-0.307981574421596,-0.433953797289925,-0.407056223015538,-0.427660976637467,0.394403840219714,-0.210666549578278,-0.101321312483606,1.63293218386019,0.985680979338265,-1.72084859729453,-1.28785924915206,-0.719464638814558,-0.912124727658908,-0.859120313862125,-0.640592568295465,-0.618671951318714,-0.745791050294369,-0.903453992315998,0.658495443307787,-1.12850623070491,-0.31579721141531,-0.31410802534799,-0.357714650685658,-0.395095939055431
"FRAT_Tm_2 (GE) - TPM",-0.238530441358235,-0.096016414109661,-0.722969193553167,-0.276044726743499,-0.303062102769829,-0.919170952612256,-0.486231363980244,-0.43946602730164,-0.91913765626628,-0.210666549578278,-0.807910886757378,-0.218991453617761,-0.499187023035699,-1.52457889851604,-1.02378585787422,-0.510589153110672,-0.577509713651249,-0.922958208792857,-0.611152373058115,-0.592192209736049,-1.46297995234334,-0.693218686337451,-0.409892797826926,-1.12262758374306,-0.310146812917382,-0.325040132258945,-0.345464398980417,-1.05957303086908
"FRAT_Tm_3 (GE) - TPM",-0.0345857385472947,-0.436001985452389,-0.53859222920906,-0.296747174163102,-0.173890227773692,-1.06199697709183,-0.323339090329486,-0.523420194614986,-0.285863709155922,-0.210666549578278,-1.42502525538659,-0.260233743278125,-0.270049322772097,-1.58210317774363,-0.965701558180334,-0.648978591130294,-0.731876625175945,-0.946966649911057,-0.575129011126651,-0.578674423602105,-1.01139051755329,-0.664426010771988,-0.563952738833462,-0.990737601484547,-0.313889722872072,-0.314099327332895,-0.341998485003541,-0.900193056784663
"FRAT_Vic_1 (GE) - TPM",0.485397011251629,-0.634313448481911,-0.542140995837628,-0.305479415409845,-0.281594978334288,-0.365084066561843,0.176474872060048,0.32097010880544,-0.00414080100687487,-0.210666549578278,0.0470697490203067,0.382875586046707,0.39397926795461,0.400088042227419,-0.0725390233872697,-0.0554986061983317,0.252804437409864,-0.281376560198698,-0.453040460667221,-0.432597732755908,0.472859493710491,-0.643832820008452,0.0293009776475952,1.22811591907432,-0.306869862651005,-0.318272318488927,-0.389876671485064,-0.657471122601781
"FRAT_Vic_2 (GE) - TPM",0.946199910193554,-0.306674629346135,-0.420126965557959,-0.302666747372641,-0.340924662417804,0.00169988892905012,-0.345629111239671,0.579341875370127,-0.320952824742464,-0.210666549578278,-0.684708309677111,0.636558129873824,-0.115501434103275,0.023632233968732,-0.284404726928012,-0.303748682307892,-0.336462803864041,-0.271565671107657,-0.359008697900277,-0.388517966842145,0.0019900214782137,-0.477883087857457,-0.138171531825933,-0.678240622735532,-0.301259253730751,-0.320722172212488,-0.296014666154148,-0.883515707728096
"FRAT_Vic_3 (GE) - TPM",0.833794183247275,-0.212083346484619,-0.609777426251659,-0.274327204644618,-0.242595961160084,-0.414296221793727,-0.207081417172263,0.373521118038019,0.791247388216387,1.60153360165423,-0.3182043649316,0.497433559923331,0.00789986065614048,-0.30734268797699,-0.769641074648818,-0.31199516908388,0.040727676849212,-0.278909976332489,-0.388396253754581,-0.443679365747654,-0.391882195667475,-0.684268725725462,0.125541871238786,1.04279241912727,-0.309628995453813,-0.321034184341132,-0.380996085209308,-1.17537003353702
