"","KPN_RS00070","KPN_RS00685","KPN_RS01190","KPN_RS02130","KPN_RS02135","KPN_RS02415","KPN_RS02500","KPN_RS03680","KPN_RS04185","KPN_RS04845","KPN_RS05185","KPN_RS05855","KPN_RS06810","KPN_RS11480","KPN_RS12020","KPN_RS14190","KPN_RS14530","KPN_RS14555","KPN_RS15040","KPN_RS15160","KPN_RS15640","KPN_RS15750","KPN_RS16260","KPN_RS16300","KPN_RS18085","KPN_RS18620","KPN_RS19050","KPN_RS19245","KPN_RS21150","KPN_RS21160","KPN_RS21875","KPN_RS22785","KPN_RS23540","KPN_RS24350","KPN_RS24445","KPN_RS24450","KPN_RS24865","KPN_RS25145","KPN_RS25665","KPN_RS25900","KPN_RS28370"
"KLEBS_Ns_3 (GE) - TPM",-0.525553401056383,-0.600482916899998,-0.211604092056061,-1.21786440502699,-0.0728287182384078,-0.572888107944639,0.0186116499592613,0.187214782315305,0.255799770698928,0.868600189368257,-0.361235108162253,0.0498066194807789,-0.55237141896121,-0.659644679836034,-1.02681530956391,-0.388462686594049,-0.0425140396026528,-0.213835745386301,-0.731000398578461,-0.284939185056125,-0.39061485566043,-1.11752587793386,-0.545304501849494,0.421920831352889,-1.18131820506728,-0.58367188848666,-0.903753025834833,-0.52498521997429,-0.871543344084554,-0.358267057677396,0.258227923971048,-0.991172382835839,1.64223792100592,-0.583481209696182,-0.576606270156082,-0.537633814721516,-0.591312138505559,-0.646456046506264,-0.277771617281234,-1.37808980636888,-0.236178323523148
"KLEBS_Oss_1 (GE) - TPM",-0.145773355415332,1.02070629510485,-0.381015110793877,0.531222809497302,0.482199456268917,0.0398293401789019,-0.0315445918776854,-0.27377027168576,-0.0199534354363335,-0.88076920113239,0.255229199902926,0.0406873019546226,-0.0768633889622881,0.226069806435036,-0.257545330208979,0.0161066872622628,0.0143542673530825,0.108203725969117,-0.0406862455016659,-0.0783362371549366,-0.186319368003178,-0.536024745071666,-0.138040393228832,0.608001926370326,0.985746583750573,-0.138331799305134,1.19058324997564,-0.390987331492122,-0.510327665517589,-1.1542223348066,-1.01418255212176,-0.120829759289136,-0.0539901939410332,-0.244535294077892,-0.0793511918950303,0.377343761446025,-0.481554300838711,-0.479302713397335,-0.274441087836178,0.0255230086814783,-0.0191946055080483
"KLEBS_Oss_2 (GE) - TPM",-0.204252173716347,0.627202708995687,-0.194236567230096,0.0253558446362614,0.0899923293994692,0.0204742170109862,0.137626085744759,-0.436052472277597,0.4945602705092,-0.650756387135546,-0.569515677975983,-0.750573043187967,-0.571360353632553,-0.147201975397518,-0.76321284035926,0.0800068967392314,-0.831142292356451,-0.762777191238987,-0.357992213052723,-0.569842928772579,-0.144284691893788,-0.350407047012124,-0.211185678164263,-0.406725697514427,-0.512174835296689,-0.574366597272782,-0.450977179027028,-0.281126045245932,-0.676961706919707,-0.218551241627777,-1.07298118381947,-0.0942146126630029,-0.184513692152416,-0.452623292156029,-0.0469634351694172,-0.0467645677516511,-0.346420875374368,-0.556300809385037,-0.535007085943378,-0.444165582124794,-0.0397016532345756
"KLEBS_Oss_3 (GE) - TPM",-0.0940779219334362,0.301560505916106,1.34814397482113,1.1661942330385,0.289900556711547,0.102503233917367,0.258216263440246,0.412050550513202,1.70079228657729,-1.05262557966683,-0.319531653399763,0.491904472489752,0.153785009491383,-0.238679226213191,-0.325869332230919,0.0162567520522918,-0.205634646246516,1.48440294509265,0.708311451793208,0.0144201908532618,-0.0417282529045998,-0.438159305419496,-0.215979967867509,-0.0286445587074251,1.31824973052719,0.2399520492905,0.334929500653292,-0.82606425497607,-0.642798397591374,-1.15372833361833,-0.946391615280479,0.806051247508103,0.646143007294922,0.39525146083107,-0.0827014739428446,0.104103354602318,-0.127791581657956,-0.125585227265515,1.449167404622,0.115992772058481,-0.343797206046811
"KLEBS_Oxs_1 (GE) - TPM",-0.416557715281817,0.49574112490348,0.746503090894474,0.744011811192818,-0.355604927779743,-0.305130761710756,-0.389794806206009,0.290866158519157,-0.889546387634696,-0.712734505356282,-0.771198775524671,0.300732598137125,0.29694780904424,0.467265843588256,0.304177758499443,0.282047210736804,-0.0402926833245667,-0.0501858067549781,-0.173400925265218,-0.625510565160204,-0.609894048978215,1.26060581418607,-0.517487741865796,-0.854913386486624,-0.193602413529829,0.232538515762656,-0.386353083984996,-0.650641878012288,0.0928528319051043,-0.242121597152835,0.0529489829612109,-0.0421758927907185,-0.671632066453145,-0.836516237859428,-0.401356858520443,-0.437787626388024,0.0658501273269385,-0.332517593338796,0.0272299126220796,0.554421290793401,-1.04730774472303
"KLEBS_Oxs_2 (GE) - TPM",-0.339542654587493,-0.113386427175368,1.27506648049823,0.457888624356673,-0.205002308417763,-0.322593866243416,-0.168368595124036,0.0155396015034678,-0.702135853840453,-0.561859017029417,-0.418183948233899,0.162162756237621,0.378123067756058,0.515142649919572,0.135564391259821,0.038863359248256,-0.00406026652941181,-0.0336977417094245,0.264851754419893,-0.582897923091689,-0.512719839440161,0.635738292712907,-0.280158098109832,-0.988201685683077,0.316473689095344,-0.0675182555591448,-0.334039173262963,-0.458639074735973,-0.131723393447876,0.510603298144528,-0.185175467020921,0.463652693433905,-0.179772574248087,-0.943222562323763,-0.292006047071058,-0.421389863103773,0.0350787287376809,0.14443448884479,0.00148819661178298,0.732160019739872,0.103440200207614
"KLEBS_Oxs_3 (GE) - TPM",-0.531598266854159,-0.3003696962436,1.1400733536842,0.620026801087218,-0.261638768949694,-0.523487280875057,-0.344261844249141,-0.164211781380428,-0.00908490912561441,-0.41623738973465,-0.342071301619054,-0.81612432808084,-0.327923990358831,0.300968081808717,0.447012368254083,-0.31868824410353,-0.324765238847918,-0.802487961109033,0.251527147670564,-0.394345220898534,-0.632665954593118,0.573222722175198,-0.256121009869023,-0.713963695178195,0.398145000483748,-0.263271550220551,0.0375577238675753,-0.129183791368531,0.206233373316256,0.679643060415158,0.136943914880724,-0.357923401512676,-0.0171941007772518,-1.0884091850046,-0.613970340579558,-0.611823682189345,-0.0438861017718013,-0.282493902115724,0.229713736611023,0.727983374812361,0.554010372761994
"KLEBS_Sp_1 (GE) - TPM",-0.824851688722355,-0.661833463996292,-1.4647545572736,-1.68948765307556,-1.21206206229567,-0.871350194090703,-0.88943323418935,-1.15673735520358,-2.5849187393942,0.0416509356440197,-1.22837443693195,0.31929410627742,-1.21364422568953,-1.2529077960893,-0.0128118618289996,-1.44258486982637,-1.85044929193094,-1.89154487757092,-1.27515802926182,-1.43486687480167,-0.734151561323502,-1.30721052023464,-1.09193970687885,-1.24260078206503,-0.954052248546129,-1.1755561573737,-0.824243765245149,-0.944997680514297,-1.0206237168501,-0.365210868569733,-1.41704439726213,-0.720648956225158,-0.836144394347581,-1.25738248823281,-0.943619888141244,-0.972050904356925,-0.365828213719221,-1.6297862235579,-1.30137414890508,-1.39891746174003,-1.46172022796152
"KLEBS_Sp_2 (GE) - TPM",-0.863421104772858,-1.7464656850838,-1.4647545572736,-1.7245091456106,-1.28728882404885,-0.888792397274025,-0.882813942486965,-0.873105666567408,-2.16461482254309,0.0918893866817347,-0.880810958064477,0.225526898801522,-1.23023573164686,-0.539325786166825,1.06672769564983,-1.46318380129919,-1.8355310323349,-1.33193130141293,-1.7775041665047,-1.27472619379186,-0.730375806385715,-1.45216618639348,-0.792388528045172,-1.24260078206503,-0.927208252681888,-1.04214565037611,-1.02156616814512,-1.76692332747832,-1.39637533633589,-2.12908897559198,-1.51934727419077,-0.82507838111873,-1.33623174002201,-1.06912844551064,-0.878631925297856,-0.972395775530962,-0.189765742337793,-0.627385378187759,-1.30137414890508,-1.59163370105558,-0.858112884501045
"KLEBS_Sp_3 (GE) - TPM",-0.853640560200509,-1.64372294584765,-0.191655050403945,-1.67872175696817,-1.28969212445456,-0.894009966535418,-0.742747407531496,-1.10235053192126,-0.746796812214561,-1.26502201203594,-1.80911279022667,-1.98179980220414,-1.25025465474624,-1.00769950522179,-2.30848011074714,-1.36790351242025,-0.427888865389092,-0.777816614860595,-1.2199670299157,-1.29685866439397,-0.794501066953546,-1.34452670602158,-0.936356743388198,-1.24260078206503,-1.16360264589794,-1.073884971856,-2.17825942100239,-1.76692332747832,-1.15265335906862,-1.21302266270422,-1.70424263192305,-0.940084592287811,-1.33623174002201,-1.1694422012358,-0.93643024974584,-0.963033183646192,-0.525385291088638,-0.599502118208768,-1.30137414890508,-0.0296417707558553,-1.60117669797689
