"","ETEC_RS00070","ETEC_RS00075","ETEC_RS00510","ETEC_RS02420","ETEC_RS02640","ETEC_RS02810","ETEC_RS02905","ETEC_RS06435","ETEC_RS07805","ETEC_RS10275","ETEC_RS10600","ETEC_RS13405","ETEC_RS15230","ETEC_RS16775","ETEC_RS18715","ETEC_RS30155","ETEC_RS19745","ETEC_RS19825","ETEC_RS19830","ETEC_RS19865","ETEC_RS21070","ETEC_RS22820","ETEC_RS22825","ETEC_RS23570","ETEC_RS24450","ETEC_RS26385","ETEC_RS26420","ETEC_RS29400"
"ETEC_Ns_3 (GE) - TPM",0.077711348741401,-0.134741975230119,0.383165162239276,0.710861242127836,0.177841123888398,0.0494910963158856,-0.0330607439746855,0.449818592218872,-0.073224864434622,0.536680394984115,0.553739788198638,-0.087898575260499,0.200179481535392,-0.103112966129224,-0.332989716050883,0.398169649437504,-0.397848210377867,1.12450921698399,0.529226625809267,0.969066557463978,-0.605749722719045,0.462452576626238,-0.248442700567238,-0.126248025728967,0.0276312292066577,-0.350232311286498,0.27629900484981,-0.851603836509769
"ETEC_Oss_1 (GE) - TPM",-0.454997042127501,-0.594135528474497,0.0453352409578997,-1.41298190002868,-0.583754298518651,-0.16090659208815,-0.629878201247659,-0.552974198733066,-0.548358626649788,-0.633268548990094,-2.04094480314614,-1.21778260058259,-0.426604877265143,-1.32449455261684,-0.337830707061293,0.58767850567683,-1.2597728325223,-0.267927640001847,-0.879629153870347,-0.592891113742778,-0.700485090256583,-0.4283953087708,0.138108774603561,-0.973546581530007,-0.370531096950425,0.506968356756389,0.680819255362001,1.64148327660324
"ETEC_Oss_2 (GE) - TPM",-0.608058648922171,-0.334239444281049,-0.165869858837433,-0.868813839826613,-0.34279386296239,-0.280758792665517,-0.657684618663581,-0.269850520900901,-0.429531849835307,-0.219597073612777,-1.1741491434973,0.835824090801167,-0.527321767774152,-0.11414453991077,-0.178788130743989,1.08608490176442,0.115296046943139,-0.655890081076463,-0.368685134670453,0.465382164171764,-0.276652964689467,-0.488099810244938,-0.245711501066484,-0.759740695634705,-0.16101297845864,-0.543838182063618,-0.370786242439166,0.519906357226391
"ETEC_Oss_3 (GE) - TPM",-0.694334747122586,-0.610344192220178,0.0690176260894225,-1.10983062105318,-0.256950467413812,-0.129857798503466,-0.596142154936128,-0.559730711241786,-1.13795552288313,0.323927325028997,-0.614082325194836,-0.492987397802549,-0.521672432679125,-0.69797913032814,-0.672927288251258,1.8473100463332,-0.613590507164519,-0.897658453235272,-0.797614155756337,-0.121019278738374,0.228211095964521,-0.406527968940244,0.13940322429537,-0.675201251279467,-0.123159967955591,0.867816691528841,0.231438810809642,1.26647813110431
"ETEC_Oxs_1 (GE) - TPM",0.0588148418436189,0.156199894422267,-1.32659994803267,-1.54288440547445,0.0444288797448097,-0.268844186325211,0.0559072032903312,-0.919894183055395,-1.02336434744601,-0.883885687777485,-1.5850620744127,-0.589950417317637,0.333212292650954,-0.505744722164395,-0.292547214526869,-1.50089705806191,-0.789560857138585,-0.538970530398835,-0.612290867213813,-1.1374282497216,-0.44390629359494,-0.319065489982831,0.0976657653985813,-0.757367911783665,-0.230972040854598,-1.12571647341312,-1.20451382278586,-1.28080936285029
"ETEC_Oxs_2 (GE) - TPM",-0.150362826575854,0.16666403308531,-1.20108685803186,-1.20549434944735,-0.13786864726176,-0.497922525064847,-0.204577623874978,-0.928671030162485,-0.245034902686094,-0.523770381059354,-1.304145309761,-0.33149359434973,-0.0581042612822889,0.63032421180184,-0.378333329081751,-0.884248113715803,-1.04070999388464,-0.270546034643017,-0.620071447340295,-0.873364225442784,-0.236365633911634,-0.454840903984068,-0.338845384612763,-0.505755434159351,-0.232335914563218,-1.14723518316049,-1.13468235584096,-1.18771101039391
"ETEC_Oxs_3 (GE) - TPM",-0.0815124399031474,0.132714261832045,-1.15283872704389,-1.21951456915936,-0.354652693314942,-0.267536662525187,-0.0461552466523276,-1.09702505409786,-0.0652765745043669,-0.517086833337961,-1.12348453194665,-0.921316966171388,0.462011282849327,-0.507922450585021,-0.387615556233602,-0.898666564824708,-1.24554901954186,-0.120839354576678,-0.36527163680239,-1.26094021940484,-0.592419541594867,-0.418924595263143,-0.0835808431557199,0.421455124110627,-0.0776945221681289,-0.906497772013253,-0.807552432534083,-1.11611054612055
"ETEC_Sp_1 (GE) - TPM",-0.718263733100631,-0.54270269652747,-0.445084046209963,1.60276208050553,-1.07969548033182,-0.848209789346394,-0.940475678389752,0.0633901613257879,0.194161154371668,0.0790954473211525,1.56236054876211,-0.0602399108109045,-0.772970546281759,-0.000559049758334012,-0.848638122340426,0.737100437079592,-0.501195371097344,-1.29048322890577,-0.602863014453512,-0.0708660919702278,-0.875336181108166,-0.562701734653875,-0.778273788137781,0.316877231242111,-0.420978787620143,-1.05565402813142,-0.517156458808339,-0.516262503572468
"ETEC_Sp_2 (GE) - TPM",-0.767732145533598,-0.657378943826839,-0.892202215991191,0.576288151350124,-1.14707967030585,-0.904394485730229,-1.21094589629116,-0.162228999013639,0.0500066235920799,-0.235382009111434,0.523420124535677,-0.660954454933997,-0.794928522381971,-1.22179973001606,-0.15490994187733,0.0369632650562767,-0.481841778640206,-1.5574321323304,-0.675722951771623,-0.440225324183676,-0.355532682256446,-0.653969847926077,-0.749199443676982,-0.0806205834035521,-0.578450141564153,-0.795532105678541,-0.803913587383505,-0.693825068741157
"ETEC_Sp_3 (GE) - TPM",-0.643258490348448,-0.369352989521366,-1.01395642826226,0.0346114164064392,-1.21900271091861,-0.84030532290622,-0.653951084606675,0.11577316394468,0.49378729891637,-0.900462614436703,0.355463140222946,-0.644523560961093,-0.687199254541272,-1.39849257310167,-1.00904413155533,-0.774351336362208,-1.19005647684453,-0.288360998674477,0.0886774003579066,-0.665834398609172,0.00601592710396742,-0.902092359026985,-0.679473304221385,0.119454735966039,-0.656327568760068,-1.13436027448517,-0.551240180127947,-0.398563549875987
"ETEC_Tm_1 (GE) - TPM",2.01699253848835,2.67577254736644,0.804950522392812,0.831932152563944,2.20730127950701,2.66694406747341,2.10269809797344,1.96444495040951,1.40380281920029,1.86658587660973,0.234640352545812,1.97084205416375,2.32104636005813,2.16812202901218,1.31467791485317,2.24833100883755,1.87748905863809,1.54311230612182,1.90512799890503,2.11465003051426,1.20343012694716,2.14493909224597,2.78908472993405,1.67039493635274,3.2177824780436,2.42570440971178,1.85259864022249,1.92947680902065
"ETEC_Tm_2 (GE) - TPM",1.75133115406783,2.5849579966283,1.22757666933034,1.30641835239925,1.77213604148114,2.55834900977562,2.28339195475245,2.11637583253029,1.52360462562758,1.78300723340268,0.303829025514998,1.76663735242586,2.56723685882045,1.3018021738586,1.09893451903294,1.2582816398053,1.75187074988832,0.689114737373665,1.42020417624832,1.18624334474814,1.4699226618055,1.72972171147026,2.10567670354876,1.55013772698627,2.85095074733845,1.33303221253273,1.78888035797889,1.95492313973487
"ETEC_Tm_3 (GE) - TPM",1.34693732360982,2.15980929013825,1.20671169930804,1.38876204896718,1.68562012349378,2.17707093247884,1.72528907249866,1.90481706443954,0.830549696106599,2.00367679503194,1.17771672304167,1.72809510651639,2.21455834131027,1.88240394408722,1.17578604001306,0.993053099597725,2.14419344513323,0.226559097321233,0.724906535643667,2.00560592283662,0.840605125239456,1.97300263550826,2.21092367738513,2.86073151617571,2.33688596511541,0.945894972629501,1.24255937629093,2.04956905692723
"ETEC_Vic_1 (GE) - TPM",-0.197672308337609,-0.150171567664893,-0.425608872743076,-0.280689338230507,-0.283421220068877,-0.67742998990912,0.276138307058073,-0.0166710479314318,0.0986292863741829,-1.00446441392996,-0.765119591324992,-0.553777983082604,-0.0582180906122493,0.687218384790384,-0.880202475455512,-1.23932112884476,-0.545672384854204,0.316177642346509,-0.131603260805083,0.660889365969179,0.454231504514326,0.109313952881689,-0.0447105527891496,-0.616385118078705,-0.459174907025457,-0.811731933137781,-0.943706661661415,-0.707430687507099
"ETEC_Vic_2 (GE) - TPM",-0.390953464086871,-0.111208359348875,-0.475082897305808,-0.142271284925396,-0.819939951644858,-0.730255755749701,-0.691962969949569,-0.495659474730495,-0.524070487503201,-1.16684234514466,-0.960103754139419,-0.911162908195445,-0.332549679467186,-0.557361970614913,-0.0808198588090959,-1.16732369519496,-0.589034578087422,-0.0431392238547948,0.656051647951255,-0.104162778268835,-0.361536481136971,-0.414969871627116,-0.503070916826498,-0.450250500268685,-0.51831393800663,-0.831728829653502,-0.797557682120898,-0.134336275342203
"ETEC_Vic_3 (GE) - TPM",-0.225333853343421,0.154989280732788,-0.363309260836835,0.0572924145119675,-0.500460474468802,-0.550069293608666,-0.163181030965611,-0.444904168482457,-1.00535518454309,-1.11341682421738,-0.923499575951504,-0.449243557694781,-0.191847151559272,-0.936756340619172,-0.13605026369767,-0.42198986760752,0.401079538041298,1.02515021924235,0.559644248230997,0.58601456834392,0.0539333280591806,0.192168576955224,0.715632796150761,-0.605252498573806,-0.464265772703766,0.252171393820023,-0.56764044043998,0.352971664454807
