"","CJJ81176_RS00055","CJJ81176_RS00765","CJJ81176_RS00770","CJJ81176_RS01145","CJJ81176_RS01255","CJJ81176_RS01315","CJJ81176_RS01605","CJJ81176_RS01830","CJJ81176_RS03035","CJJ81176_RS03460","CJJ81176_RS03465","CJJ81176_RS03500","CJJ81176_RS04175","CJJ81176_RS04375","CJJ81176_RS04775","CJJ81176_RS04825","CJJ81176_RS04855","CJJ81176_RS05000","CJJ81176_RS05710","CJJ81176_RS05745","CJJ81176_RS05865","CJJ81176_RS05900","CJJ81176_RS06205","CJJ81176_RS06675","CJJ81176_RS06680","CJJ81176_RS07470","CJJ81176_RS07495","CJJ81176_RS08060","CJJ81176_RS08340","CJJ81176_RS08435","CJJ81176_RS08455"
"Campy_Oxs_2 (GE) - TPM",3.56497150549076,2.63213965375846,1.66309421697347,3.79221601799348,-2.44220741513606,3.43611286685349,3.18562454089918,0.802337247634106,2.84501448527415,1.65560435465954,3.24070129364981,-0.135022978041034,2.01701726007158,1.85386979484183,2.91964645941325,1.86992300167315,-3.35965950246661,1.72381652648302,2.30930356836492,3.75170099884793,3.41095649805509,2.29996105565859,2.46308090038008,1.79019744911615,3.13675435814179,-2.5904222402111,-1.15535253965859,2.5681135799811,1.820190544823,4.06955737667712,1.08779976302731
"Campy_Oxs_3 (GE) - TPM",1.51248895102666,1.73862654598544,2.09361231988106,1.66313639495995,-1.67984872765402,2.16350353724936,2.73156653075505,0.622560389506651,1.28749384558406,1.58642955028612,2.28119766687457,0.0969559525950399,1.07467623175397,1.02470267993991,2.17088123714897,1.22214105926019,-0.727841326065374,2.72232920568718,2.10221385186335,2.63178617014776,2.61213260219111,1.41308740904968,2.37478410249707,1.38116513767289,2.08746239356417,-2.4804830738879,-1.73215971492299,1.67629039541607,2.64179579952124,1.94440174467688,1.15520292126201
"Campy_Sp_1 (GE) - TPM",-1.24853164259616,0.00505944598134423,0.854083558293603,-0.328352153928375,0.484563713578279,-0.900848531033808,0.318747416014353,0.102286479574494,0.942508684795389,0.73370562759388,-0.796672945527024,0.204094153879026,0.0644145905966941,1.05414435602294,-0.971584609085647,0.457946571618008,0.598452717099429,-0.337863728804658,-0.875094581952927,-0.17015806174154,-0.530209716715412,-0.7768212787442,0.218307581560091,0.0198083555495864,0.0705723451400865,-0.260270895556915,-1.45063786476961,1.78480146819998,-0.931946049558371,-0.968456869854026,-0.594895002109955
"Campy_Sp_2 (GE) - TPM",-1.4049535630844,0.133567216605679,-0.157603220967598,-0.543235191462449,0.504657325571708,-0.467064808985217,0.767673305865427,0.207322910534913,1.22104726107646,0.715449216059629,-0.96499544751202,0.552398947269187,-0.166990760061825,1.09722749568039,-0.112380447164152,0.665528839403395,-0.216183871060077,0.435819335804847,-1.9297104110158,-0.0297728505440834,-1.1789664946225,-0.649233148155167,0.29645549825297,-0.0563035288647722,-0.434353191891195,-0.584263898357955,0.0193418888710267,1.70797779729654,-0.719426999116297,-0.762616909625216,-0.984150787000016
"Campy_Sp_3 (GE) - TPM",-1.28135150515203,-0.561454080574144,1.13674374116059,-0.561821922890768,0.95684031871843,-1.93455582011777,-0.152398540222867,-0.0507609146345115,-0.380379934535792,0.352275807089072,-1.23207337695641,0.255861515538417,0.826217005108973,2.03827544602272,0.505811214047163,-0.130906933565339,-0.662432508985254,1.06323736748759,-1.31764713819519,-0.435622385000002,-0.00235840586679531,-0.680829349836544,0.477853890818615,-0.113795687991408,-0.536926625383555,-0.123768649838941,-0.860810632512551,0.451983145838722,1.1083861604557,-0.471531263235268,-0.185903355803506
"Campy_Tm_1 (GE) - TPM",-0.641027603457676,-0.250385192329904,-0.526623811981628,-0.313680636972246,-0.191667828476259,-1.01142707360352,-0.430859462656009,-0.285052535307007,-0.189526771095415,-0.469732175474404,-0.197857804170196,-0.910409581905078,-0.800019806544956,-1.20731958462889,-0.303562495389616,-0.142384419835687,0.751166742512593,-0.232650152083725,-0.983025241860194,-0.334747963257004,-0.499851071183294,-0.503391450136077,-0.446796341757571,-0.518316392703917,0.155402961557922,1.36388691958852,0.418249796555639,0.184324749943328,0.000282531069765642,-0.370021767584668,-0.427488379018243
"Campy_Tm_2 (GE) - TPM",-0.491650708830104,-0.0980216367417132,-0.693339570291978,-0.681884724340801,-0.0723595985289901,-0.193160633330149,-0.517845278843913,-0.225960909654451,-0.265321286179773,-0.727604387685539,0.281931605980906,-1.47915368924528,-0.971833474897801,-0.525229046902402,-0.0257309076535123,-0.0764784965215377,0.765637731595164,-1.35325090144862,0.8796809655439,-0.305457518606705,-0.376786922587628,-0.556574300543367,0.256712790769033,-0.484369269460263,-0.140932172051801,0.729394798123517,0.796870603531824,-0.742930220596235,-0.511615017740226,-0.0683310416338029,0.0477806070620343
"Campy_Tm_3 (GE) - TPM",-0.0673486026905098,0.01009698612825,-0.345160399623558,-0.51727477481393,-0.323793378285803,0.378441344252067,-0.0915299756815552,-0.440412532239425,0.849452779728245,-0.479022372910762,0.224540902197752,-0.546540635407657,0.234606248878286,-0.194555060697305,-0.152181526397689,-0.762625484712756,0.922690034540593,0.0832648700812613,0.128159169422697,-0.209964808138295,-0.0694551855200463,-0.256586335734401,0.0770014154784979,-0.468351533196899,0.143364089536862,0.541413462823167,-0.0261597721132056,0.44563366360145,0.484198816271376,-0.233295838588387,-0.330454372764252
"Campy_Vic_1 (GE) - TPM",1.20140701182416,-0.636919668788103,-0.469500589393858,-0.490279255723053,0.177567717388341,0.125092664763066,-0.750417031726575,-0.545533032240306,0.0664081727656528,-0.826242517111462,-0.444892738832458,-0.655358084538095,-1.17399890953853,0.114960228800501,-0.258553912942781,-0.472912882239306,0.550374451789398,-0.384864903028422,0.5220609846056,-0.261248624013346,-0.0294897565929601,-0.43449315298774,-0.747707273420419,-0.536041737670708,-0.150012674408312,1.02123594022736,1.32823114468564,-0.84901722575076,-0.644983999805116,0.436536004230498,0.106539260617872
"Campy_Vic_2 (GE) - TPM",0.463959485707458,-0.554762611442968,-0.32501861021261,-0.730799391772612,0.446931486542305,-0.360224273975253,-0.625126679067181,-0.538888343393768,0.204390439348944,-0.616608851655029,-0.573164629385466,-0.826590154103721,0.480884507038563,-0.109294565797542,-1.00810179814181,-0.740333040483411,0.746202847692761,-0.292459412788413,-0.69758400296334,-0.357716481957841,-0.452968559738167,-0.357497917747962,-0.783493993360529,-0.523601790107811,-0.763019968834249,1.53990788444055,-0.906694931665672,-0.491435299457879,-0.148413267208835,-0.332234090976967,-0.160831095945734
"Campy_Vic_3 (GE) - TPM",-0.173900328582017,-0.249532982024228,-0.915878165398215,-0.298487165248708,0.838644711050872,-0.24452351308926,-0.688418096446994,-0.573280266967608,0.117050004258831,-0.747478656646102,-0.54444417319932,-0.349279734318784,-1.2386726456308,-0.404505591829905,0.530408187425379,-0.700782049829702,1.90586635914363,-0.316921629014916,-0.0704428634794615,-0.288115307485748,-0.588564124425944,-0.970140464489812,0.254897249914574,-0.518307042941931,-0.363697897845638,1.15380016013204,0.657030218045517,0.0251749882884835,0.353133232211055,-0.756137527897278,-0.491093742193338
