"","E2348C_RS01545","E2348C_RS04740","E2348C_RS26530","E2348C_RS06050","E2348C_RS06570","E2348C_RS09725","E2348C_RS09730","E2348C_RS11435","E2348C_RS11515","E2348C_RS11990","E2348C_RS13385","E2348C_RS13395","E2348C_RS13475","E2348C_RS13665","E2348C_RS20555","E2348C_RS23200","E2348C_RS27950"
"EPEC_Oss_1 (GE) - TPM",-0.19281886266254,-0.0873053552194624,0.691362698576607,-0.373284356334702,-0.605514967082617,0.143968742204744,-0.0512935784783005,-0.098219020750582,0.74479078631223,-0.486757416273866,-0.507518569568041,0.571601255969079,-0.472311329824665,-0.590037036471242,0.159245870544689,0.14660027983499,-0.277683282970586
"EPEC_Oss_2 (GE) - TPM",0.412932219176734,0.0626957233755857,-0.317728665655899,-0.34095809106353,-0.228965880490056,3.25841602283308,0.487133282511127,0.956393236334555,-0.0419051720338867,0.781666481150868,-0.480475816795843,-0.781300984182017,0.962574133797129,-0.0256936530954158,0.402933266693696,-0.0900541975410229,-0.277683282970586
"EPEC_Oss_3 (GE) - TPM",-0.254705438790988,-0.0280525691945748,-0.317728665655899,0.374022286405406,-0.0852881151310344,0.496109383771801,-0.510215763189314,-0.564889848044668,-1.00663301891767,-0.343340763546488,0.586325943700419,-0.201007537052516,0.0232853758495623,1.0177788248554,-0.0516703148065991,-0.371595342887516,-0.277683282970586
"EPEC_Oxs_1 (GE) - TPM",-0.107400561167698,-0.437820550859615,-0.317728665655899,-0.459820858716674,-0.383700408660077,-0.558574277575014,-0.333962616502834,-0.206431683980775,-0.777730413832935,-0.223437827467101,-0.34010799178956,-0.261706845424861,-0.472311329824665,-0.378486126910513,-0.673253143737691,-0.172577704855914,-0.277683282970586
"EPEC_Oxs_2 (GE) - TPM",-0.188458445961894,-0.393781679587617,0.56240454178964,-0.0954777500999897,-0.202519534256689,1.27970755781911,-0.510215763189314,1.47027023012681,-0.135555485095821,-0.273763587456632,-0.819714523976679,-0.275583989594836,-0.184374622635862,-0.465988518371491,-0.215249366622887,-0.371595342887516,-0.277683282970586
"EPEC_Oxs_3 (GE) - TPM",0.0712811745775346,-0.401178555478748,0.0728335038628468,-0.168710527958486,-0.426684343363414,-0.0147449762185426,0.200275477613297,-0.564889848044668,-0.465784678366598,-0.551396903359215,0.388619364149756,0.86439929054209,1.06096364346366,-0.48189390693825,-0.381053299642786,-0.371595342887516,-0.277683282970586
"EPEC_Sp_1 (GE) - TPM",5.6666746803198,5.61524470311207,5.41353617707461,3.49270429895478,3.98689069102816,3.43160961838582,4.70279997279227,4.73614472485899,3.61973898326895,4.10237516055482,4.49975730906973,3.60954653225088,5.15266059073299,3.36245391681522,4.39393514613854,5.51472270561749,4.97321050930579
"EPEC_Sp_2 (GE) - TPM",-0.132058052125061,-0.459535749928225,-0.317728665655899,-0.746475994336421,-0.605514967082617,-0.558574277575014,-0.510215763189314,-0.564889848044668,-0.671481825505701,-0.772882778634336,-0.819714523976679,-0.781300984182017,-0.472311329824665,-1.61181360714586,0.258672327678336,-0.371595342887516,-0.277683282970586
"EPEC_Sp_3 (GE) - TPM",-0.440979176811191,-0.286162883624391,-0.317728665655899,-0.746475994336421,0.244543110726467,-0.558574277575014,-0.510215763189314,-0.564889848044668,0.979581339038852,-0.772882778634336,-0.819714523976679,-0.781300984182017,-0.472311329824665,0.536582116842005,-0.544570604824456,-0.371595342887516,-0.277683282970586
"EPEC_Tm_1 (GE) - TPM",-0.0596072452274118,0.718944028934833,1.42688555520756,0.543943211537513,0.32644641071148,-0.558574277575014,0.0187367825593585,-0.564889848044668,0.438383447553926,1.5356287884014,0.259794271006573,1.44634428846651,0.288692375555626,1.24830788263913,0.507818433171872,0.822946578482581,-0.277683282970586
"EPEC_Tm_2 (GE) - TPM",-0.0538251248445398,0.222086418952142,-0.317728665655899,0.523811255803279,-0.0157438371357751,0.637100210328571,0.270834694880977,0.626467236101105,1.36967359328745,-0.042437554470862,-0.288380887440978,-0.781300984182017,0.370461283871222,0.375598479370452,0.659606290150091,0.28985164518194,-0.277683282970586
"EPEC_Tm_3 (GE) - TPM",-0.256099062743613,0.37450841431526,-0.317728665655899,1.58896586524193,-0.089180239528071,-0.558574277575014,-0.510215763189314,0.269520660197826,1.01040212237838,-0.00549173469926766,0.0175981051613607,0.0826269098441456,-0.177178017372236,0.606617455805108,0.475716374994,0.0916732479267383,-0.277683282970586
"EPEC_Vic_1 (GE) - TPM",-0.440979176811191,-0.348238466108588,-0.317728665655899,1.0165622108659,0.485880210689237,-0.558574277575014,-0.510215763189314,-0.564889848044668,-1.5156521452751,-0.772882778634336,-0.819714523976679,0.131756657418288,-0.472311329824665,-0.232643880737458,-1.07416751322749,-0.371595342887516,-0.277683282970586
"EPEC_Vic_2 (GE) - TPM",-0.235220655188115,-0.342334701515921,-0.317728665655899,1.11008257482641,-0.0308708487012743,-0.558574277575014,1.77283623443389,-0.564889848044668,-0.39112408214271,-0.772882778634336,-0.819714523976679,-0.781300984182017,-0.472311329824665,-0.159485820414854,-1.06088810764146,-0.371595342887516,-0.277683282970586
"EPEC_Vic_3 (GE) - TPM",0.313080665219053,-0.201826071484418,-0.317728665655899,-0.746475994336421,-0.605514967082617,-0.558574277575014,-0.510215763189314,-0.564889848044668,1.23178028932503,-0.772882778634336,-0.819714523976679,-0.781300984182017,-0.472311329824665,-0.724736486246636,-0.358394195037807,-0.371595342887516,-0.277683282970586
