"","CJJ81176_RS00115","CJJ81176_RS00135","CJJ81176_RS00910","CJJ81176_RS00915","CJJ81176_RS01040","CJJ81176_RS01600","CJJ81176_RS01890","CJJ81176_RS02145","CJJ81176_RS02165","CJJ81176_RS02835","CJJ81176_RS02885","CJJ81176_RS03130","CJJ81176_RS08975","CJJ81176_RS05095","CJJ81176_RS06665","CJJ81176_RS06670","CJJ81176_RS06825","CJJ81176_RS07275","CJJ81176_RS07400","CJJ81176_RS07590","CJJ81176_RS07720","CJJ81176_RS07725","CJJ81176_RS07730","CJJ81176_RS07815","CJJ81176_RS07965"
"Campy_Ns_3 (GE) - TPM",-0.403994231434775,-0.449013755124309,0.717664406285503,-0.0340752239686805,-0.491619109272113,-0.282479206945962,1.39429594296787,-0.543121750119768,0.199850121507187,-0.376227353028427,-0.477745759916179,-0.358069482018938,-0.00431922567912751,-0.47031104592924,0.926484783060871,0.536241896622429,-0.528222931020242,0.774080641957043,-0.184468476371408,1.11877538319066,0.858422119478564,0.415790681155781,0.0621906806319907,0.268943908734828,0.200109232723368
"Campy_Oss_1 (GE) - TPM",0.313717342634085,-0.584667373783109,-0.948201068837454,-0.65487948884377,-0.320978219863986,-0.00779307340852671,-0.882659747217406,-1.05241686366779,-0.983762991539065,-0.117773665329546,-0.147686567169633,0.555893919520069,-0.836894215086238,-0.869783217880951,-0.586267348466015,-0.442090414136828,0.288101568003755,-0.482602352786627,-0.210596184090655,-0.689157240738909,-0.662216907988465,-0.467383052120889,-0.541073134278087,-0.472859499182147,-0.573519829781832
"Campy_Oss_2 (GE) - TPM",-0.739322431979054,-0.572583851013811,-0.838985737189828,-0.344475273510078,-0.244700202863658,0.46820058595639,-0.104398471886564,-1.1699160111301,-1.024304227386,0.158505831003107,0.940149394818195,-0.709948200013099,-0.822516581299191,-0.862941909457789,-0.377352594051891,-0.475470048158579,0.357325583922292,0.688158237448994,0.554985335294344,-0.48256263652268,-0.627054016563023,-0.463514288244819,-0.162449377230098,-0.997198968210391,-0.523290872510449
"Campy_Oss_3 (GE) - TPM",0.187256671867682,-0.729216494264715,0.38815226329356,-1.04795851143324,1.42987488803012,-0.565350762551831,-0.192195741226773,-0.433499513479905,-0.464372602662485,1.0201394309051,-0.180053964323967,0.0196656007792546,-0.861885211832371,-0.357577851428744,-0.187981551402473,-0.318469237477153,0.167309719556713,0.523541328776633,0.715323512911878,-0.593098957224213,-0.307792926400489,-0.377175101552841,-0.0490105287956777,-0.648529360996368,-0.661971971248514
"Campy_Oxs_1 (GE) - TPM",1.01663005812519,0.989027219881975,-1.73480336575632,-0.777554577378013,0.921390902254833,0.941131387058447,-0.854729750181718,-0.93999053248835,-1.24342828401698,0.709577922550764,-0.183711588117705,0.928357615278954,0.442001359866151,1.02911911489633,-1.08085909664301,-0.684597666264556,0.47182841042987,-0.291890623503367,-0.914786774661049,-0.519368279938775,-0.891692971589079,-0.870319310599627,-1.09964088674128,-0.574963768027964,-0.246178204934829
"Campy_Oxs_2 (GE) - TPM",1.38690197892905,1.19287429545219,-1.76913302589233,-0.322935474047318,1.87967651769077,1.39214005875882,-1.76370133519369,-0.408381331845922,-1.21145743592682,1.69120015925959,-0.489422226073292,1.5109461922452,0.331897211003115,0.03610118234708,-1.00508337446731,-0.681560347018967,0.572721577077241,-0.217365871365883,-0.623691296312784,-0.467606939215141,-0.853627602892255,-0.884688776443868,-1.11251964685857,-0.815604701817559,-0.329143711836266
"Campy_Oxs_3 (GE) - TPM",1.19448572066767,1.96155180443334,-1.52887578156322,-0.913204849084488,1.39847305960053,2.18019572191486,-0.768899291321676,-0.916632032885074,-1.21540678787788,0.530291260340989,-0.409561683468918,1.5040939953761,0.415735889408106,0.416920309376192,-1.00542009371575,-0.645788965038444,1.40668544856143,-0.446389384079648,-1.63798613961172,-0.659355368337391,-0.75280564094772,-0.828911927895266,-1.0271212056066,-0.761399072958935,-0.338586697848459
"Campy_Sp_1 (GE) - TPM",0.127090348328465,-0.715698221456415,1.20855426253935,1.15556948296591,0.805855099931215,-0.799921731321371,-0.625429468908873,0.791341278597388,1.50552340489471,-0.630998866683866,-0.140868987372543,-0.421840537972322,0.030363227649922,-0.60814636523582,1.54037194481708,0.89661248814172,-1.78428370254183,1.57234486742176,1.62290610878934,-0.213394737157986,1.81954080555953,1.85418981370785,2.97578999823177,-0.868640045704418,0.152336031483813
"Campy_Sp_2 (GE) - TPM",0.437903307927496,-0.663465581241443,1.74732326057906,-1.04795851143324,0.924131766153437,-1.53940451662209,-0.96722144309601,0.890455319635497,1.82087061676582,-0.857416791245095,-0.0736702804064134,-0.104000287078201,0.123656144734768,-1.44439341917737,1.35956217617856,0.669701047131775,-0.926792169409961,1.90760514058133,1.23713666033321,-0.500612903394758,2.00215353875628,1.67512783828006,2.73242173482772,-1.15036050918159,-0.527826651838083
"Campy_Sp_3 (GE) - TPM",-0.806003891231797,-0.936738529082403,1.152485723512,-0.183710950249853,-0.733819716992209,-1.85105469608169,0.0770281072956461,0.953070904896323,1.21717998301042,-1.86454581338582,-0.267962160213918,-0.893281676819453,-0.192622981486147,-0.369625452147509,0.984515290781325,0.0357079774468438,-1.53127124983504,2.0318747322612,1.90159534807485,-0.619454313991108,0.742570964997909,0.911883098346842,2.21994416014682,-0.949726270692055,0.0851638544682463
"Campy_Tm_1 (GE) - TPM",1.5027297852831,0.0427760291674345,-0.163365263893597,-1.04795851143324,0.04534990495306,-0.305362083776103,-0.329449987489071,-0.697512305467064,0.24307226779361,0.156605235786222,0.490357232821377,0.755175162728791,-0.574676603578376,0.179704288519782,-0.237666922145919,-0.414129427076393,0.338851792111743,-0.443034364589369,-0.938086074608837,-0.0530521223667917,-0.494824850844513,-0.44985161478501,-0.107405112326184,-0.087613847477753,1.14866897191893
"Campy_Tm_2 (GE) - TPM",0.272887158408744,-0.475297218229631,0.510806775551434,1.03992397289107,0.90833375845986,-1.30742799823825,-0.513322225230969,0.384409786737402,0.409043976697243,0.412472165433602,0.0108718897308688,0.441791784849669,-0.440134418589455,1.61032362302257,-0.221452524244612,-0.442452530582438,1.08575242865286,-0.959375453162616,-1.3673626912331,-0.480223490889403,-0.430989887571356,-0.397895947882976,0.0281706900157378,0.956190231646279,0.905716732077664
"Campy_Tm_3 (GE) - TPM",1.92514397241844,-0.120014635736018,0.206889117937223,0.13477315885027,0.481799850466792,-1.1585308616143,-0.263918856979437,-0.050551701406564,0.186297970410662,0.472700650247943,-0.471142712614988,0.728754243631365,0.0661920916379164,-0.357116047382774,-0.24913514017955,-0.367801824928494,0.767473098073839,-0.376288063582834,-0.961124949528008,-0.150324171540097,-0.264136380546388,-0.517666630635166,-0.143524122017263,0.914076982975146,1.08786904940955
"Campy_Vic_1 (GE) - TPM",0.149880389968375,-0.19906647352628,-0.586808521769944,0.573506651155181,0.656654375297962,-0.259488242825097,-0.0751916372802847,0.356376042849722,-0.554770637289806,0.0981932689035674,-1.05295100374688,0.627213268681628,0.271904077313143,0.315102921311691,-0.603332216210661,-0.430340023221387,-0.0797603923992296,-0.870603311259818,-0.728833916671139,-0.379258595513469,-0.502979241541675,-0.607312551922372,-0.804640444589545,0.340942273741374,-0.456266830030824
"Campy_Vic_2 (GE) - TPM",1.26813620254946,-0.642138390427696,-0.390234482827638,-0.449800517512788,0.703247881916039,0.493078847036407,-0.257542341697932,0.448575385000304,-0.379219219701689,0.777541438719707,-0.483232901443821,0.670033164288998,0.610497173914539,0.760431008814275,-0.560247287134385,-0.551714208497918,0.0637813556026209,-0.570360177044047,-0.865708168154267,0.029855852745131,-0.340467548340476,-0.552502421150923,-0.767466831468421,0.264227539324182,-0.570845971160582
"Campy_Vic_3 (GE) - TPM",0.840418743847206,0.870463347538058,-0.599822116973804,-0.34834861720806,1.18441583610046,-0.00581786619758483,-0.805114947565003,0.0365924728550574,-0.408431524871128,0.688716351694305,-0.292785957474665,0.294206777088575,0.29315485274661,1.10321774034644,-0.547888439856469,-0.464164060589905,0.462868897078884,-0.787797839393253,-0.842303205947066,0.0576598170910374,-0.427806632558193,-0.522116745907053,-0.735373913712033,-0.337831055506441,-0.572016322479766
