"","D7S_RS00335","D7S_RS00340","D7S_RS01165","D7S_RS01515","D7S_RS02430","D7S_RS04660","D7S_RS05190","D7S_RS05425","D7S_RS05430","D7S_RS06065","D7S_RS06515","D7S_RS06875","D7S_RS08025","D7S_RS08030","D7S_RS08040","D7S_RS08045","D7S_RS08255","D7S_RS09425","D7S_RS09430","D7S_RS09435","D7S_RS09440","D7S_RS09945","D7S_RS10815","D7S_RS11050","D7S_RS11245","D7S_RS11250"
"AGGA_Oss_3 (GE) - TPM",1.12073239763551,0.743344063235293,0.469047191336976,1.13510989424382,-0.460313705136535,0.591167437596974,1.03859807408317,0.711967048349226,2.03650566457404,0.366312684451311,1.51956532674394,1.43616254180392,0.317995688510629,-0.148904865745814,0.233878736626783,0.286875129255072,1.69444884191902,0.490120809789264,1.06035458481803,0.759157534823901,0.45819656022127,-0.75892825780019,1.93913606739045,0.527721765464515,0.639222349133025,-0.0197240340434804
"AGGA_Oxs_1 (GE) - TPM",-0.950798470552967,-1.06361358877179,-1.09341732137078,0.0467320636080519,0.739792117841097,-0.774432528851585,-1.13976504631208,-1.1317162164236,-1.17700684719814,-0.187459190273807,0.259317412478606,-0.822872377250065,-0.420578232809255,-0.592172481564944,-0.509577946592273,-0.827772971196937,0.988754756473237,-0.199172451884654,-0.654148852849042,-0.304507822663127,-0.347108138891779,0.234293405847348,-0.695268254428161,-1.46719038401385,-1.85295628698512,-1.82730997267824
"AGGA_Oxs_2 (GE) - TPM",1.26508919476618,1.32854619769155,-0.386442970154093,-0.647962382632449,1.10045980242664,-1.07139392452506,1.38101267275875,1.62572415566088,0.224120614084229,-0.593327603153049,-0.0118830682514385,0.680836530876359,2.01323492336547,1.19319819965697,2.96742811330966,1.96861278167144,2.55257811102843,0.887750783726557,0.146341211344876,-0.434074137460479,0.609889282674019,-0.771143514274285,0.899265870370508,-0.693044600136335,0.0320928468664169,-0.364126407573547
"AGGA_Oxs_3 (GE) - TPM",0.604354102004143,0.321572482014919,-0.680259860437644,-1.03336569990503,0.244256833702831,-0.0988893071900742,-0.265763254906607,0.667420770832393,0.43761867257472,-0.0375202277621401,-0.1086050859459,0.886935532952631,0.859362312384306,0.695880104307441,2.44051367325714,1.17394247746203,0.101823707124441,0.900142885691134,0.352300407990366,0.288763916589007,-0.273132491086365,-0.898426489614463,1.10165010507268,-0.358418650503206,-0.0431234930374034,-0.801503125399447
"AGGA_Sp_1 (GE) - TPM",-0.460874167399205,-0.335879631889957,0.0426629907803021,-0.503071784643754,-0.0247998005738186,0.924482799438322,0.824613324273473,-0.0610925245942567,-0.210411207082253,0.589732296538317,-0.370253129916546,-0.269313241170228,-0.0265103449438931,0.461168382677741,-0.396509816892798,0.330729809942763,-0.968954630541763,-0.652556896884641,-0.140678091449686,0.626332202201687,0.436981637255458,-0.384390132211828,-0.240505624432725,-0.167565216042732,1.10954783408728,1.28979675813355
"AGGA_Sp_2 (GE) - TPM",-1.17751609755207,-0.928941593939844,-0.246768302902203,-0.840364589239357,-0.933155564510717,0.663576939196744,0.738057764136201,0.0190385766400076,-0.323822143036737,1.21489012608346,-0.498027624504858,0.0741501386867136,0.085906322960888,0.201814981473135,-0.430011105642537,0.263594916793083,-0.00133148658886366,-1.19731992390204,-0.256578852957326,-0.153317060343486,0.634576550568593,-0.162578311918308,-0.314930798007775,0.570020816826268,0.109301394216542,0.690050509351772
"AGGA_Sp_3 (GE) - TPM",-0.561653618467585,-1.18552911996621,0.439447117183493,-0.450240775770268,-1.43976430461721,0.903431439268622,0.560479810296757,-0.613540358034569,0.746670980771424,-0.775564335949553,-0.26112917852545,0.283588195308029,0.230654630603242,0.273941012036175,-0.683429493952921,0.224511414399059,0.0559897595719487,-0.921154165214402,-0.411084355061919,-0.0152162971465447,0.693620165491737,0.00563117127615506,0.0783052544601184,-0.0598744120257595,1.13050574566278,1.36942621720705
"AGGA_Tm_1 (GE) - TPM",-0.778308226578957,-0.532547027162167,-0.972801606526424,-1.19859284222847,0.719405145327877,-1.55136121028248,-1.31717469657688,-1.35687108604281,-1.13955886212275,-1.48886255403136,-1.30242628524663,0.108052356938373,-1.42150274296056,-1.60498796914207,-0.784369619112481,-0.860330035496202,-0.907413758179603,-1.64209126046529,-1.25589855743857,-1.27646472660171,-1.6123681229832,1.52051971012623,-1.04104620207594,-1.33931355029324,-1.16986985057065,-1.07290568131944
"AGGA_Tm_2 (GE) - TPM",-0.938201192487552,-0.190767996231151,-1.41276111479815,-1.30232649179826,2.19225703052539,-1.86786054175717,-0.950360179016229,-1.81591656590424,-0.690537878947175,-1.55455946277917,-1.40961502954888,0.0375561895998054,-1.28742710200667,-1.37694447043337,-0.850747093145086,-0.444300945184212,-0.955695382528067,-1.83255829436254,-1.73774840612575,-1.61945535819618,-1.7507197790358,1.05536781636782,-0.848118620826662,-1.34990253398002,-1.42539798243861,-1.38627933514111
"AGGA_Tm_3 (GE) - TPM",-0.578111020211318,-0.156255623462919,-1.31211427800595,-1.21340174721123,1.1752109733501,-1.35750808376237,-0.422517192372259,-1.27013234226738,-0.365806823575389,-0.955424438541601,-1.23657661881722,0.43586036747488,-1.21946708807895,-1.45286399999039,-0.321512105616329,-0.806554278740106,-0.994357257112278,-1.6240695609467,-1.59340658468492,-1.5001480829533,-1.4024240101037,1.39132934233862,-0.823217108685184,-0.966246004375862,-1.29765345213076,-1.11795161357575
"AGGA_Vic_1 (GE) - TPM",1.02201541669669,0.70035824398106,0.0278192133692146,-0.738004347932341,-0.990402736182744,-0.721001628744068,-0.22891550711645,0.629603721063912,0.00304125604259042,-0.368799296621167,-0.662522219662134,0.100609322422624,1.25742702357721,0.820336255684283,0.404865952002441,-0.288383284951623,-0.236937263434729,1.38578870925123,0.251800172317797,0.105271635956808,-0.182434342913169,-0.497223118302906,-0.388077841871907,0.0299695913024609,0.0452125951904537,0.174591157519118
"AGGA_Vic_2 (GE) - TPM",0.584189940865205,0.394633108557676,0.283849994790693,-0.0638615133495313,-1.30391871308464,0.22220620754201,-0.311731638260584,-0.107210103458958,-0.0179605638002526,-0.204637325291321,0.0127018992613248,0.461979609970048,1.0965376153275,0.859501254442552,-0.138695004324445,-0.158894697330544,-0.23731548026059,1.17746044032224,1.22007639048892,1.49364083624165,1.06395040108422,-0.73782644343438,0.582723635400618,0.576977281575064,-0.201710225360657,-0.489558733980226
"AGGA_Vic_3 (GE) - TPM",1.03640260208418,0.302049426385993,0.862576621005975,-0.0845668766329388,-1.56896696895968,0.578679256122601,0.368348160203126,-0.306308186012625,0.114093123635516,0.0154231952314748,0.119994637239424,0.0218853903298902,1.04123466474981,0.225506116401002,-0.249161124654341,-0.283333377856134,-0.41098549911185,0.940792135336006,0.397302588081225,1.14362882701633,0.84819445106279,-0.437816593827001,0.10435806824593,0.605842685763549,0.194870840325496,-0.324130090791846
