"","SPD_RS00535","SPD_RS00540","SPD_RS01410","SPD_RS01900","SPD_RS02905","SPD_RS02910","SPD_RS03900","SPD_RS03905","SPD_RS03910","SPD_RS03915","SPD_RS03925","SPD_RS03930","SPD_RS04300","SPD_RS05410","SPD_RS08265","SPD_RS08270","SPD_RS08275","SPD_RS08285","SPD_RS08520","SPD_RS08525","SPD_RS08530","SPD_RS08535","SPD_RS08540","SPD_RS08710","SPD_RS09080","SPD_RS09465","SPD_RS09470","SPD_RS09475","SPD_RS10165","SPD_RS10735","SPD_RS10740","SPD_RS10745"
"STRPN_Ns_3 (GE) - TPM",-0.380291024411881,0.0163340467470196,-0.451802827337341,-0.21892758143455,-0.0697308120555075,-0.483648912184222,-0.120242036392557,-0.0873997925314191,0.152493768076818,0.0896656126410985,-0.102797650150344,0.134732569881798,0.0224988683769779,-0.0752990335233043,-0.0151660400401389,0.106623347290781,-0.172249312976699,-0.0860783032767955,-0.360206178418669,-0.429442480990851,-0.25500359873101,-0.330660986743316,-0.34252509742767,-0.47984258546529,0.22570684469952,-0.209398677587454,-0.411693449982728,-0.456800267801186,0.413562376790094,-0.028990847303106,0.330550325084812,0.454506058699302
"STRPN_Oss_1 (GE) - TPM",-1.38951298643376,-0.638420723505078,-0.725874967481156,-0.555391651676527,-0.672749610268216,-0.32089287663728,0.0243972095491397,0.203449923121487,0.851137642909122,1.41880298450271,1.19091694910931,-0.0796659729093673,0.232016472511619,1.11207555412091,2.60545339893361,0.930565400517371,0.278866702346029,-0.151757397682202,-0.00784841100606737,-0.350207348900247,0.133523652656169,0.0743427683105637,-0.22568283876926,3.11383155046911,-1.06521877469823,1.02625122418924,0.879669579258313,-0.15523235409077,-0.0133668428710219,0.975602780634469,0.888413659611786,0.678287501193736
"STRPN_Oss_2 (GE) - TPM",-1.27801063064923,-0.150587156072113,-0.141932467079639,0.116306623268782,-0.534486085576002,-0.433490597790047,0.237033950937876,0.346997684363345,1.07213997113184,2.00176202399644,1.33753739747798,1.59595396100747,0.822338110145191,2.28713515339064,2.15897546946208,1.84302513914289,0.552709262082367,0.669655669856863,0.354771084259862,-0.0328653090299883,0.360912767691005,0.204333891061416,-0.353104702698971,2.17047044645404,-1.22630745871601,2.09870519254181,1.36869332483966,-0.308349003381518,-0.31015418035235,1.50195978693155,1.12789884191145,0.643549714797622
"STRPN_Oss_3 (GE) - TPM",-0.676067770144541,-0.786564500268092,-0.44841501541223,-0.323431441024136,-0.959174205257872,-0.0220835013855726,-0.53361189428956,-0.305420541136938,0.272562919141249,-0.103784184896878,-0.172764232037549,0.0607449912577684,-0.225643633013457,0.694747190128392,0.215301485856716,-0.180601688700742,-0.235872499408655,-0.0321452633158679,-0.540848980848185,-0.292774021514368,-0.230168816252008,-0.349245990023948,-0.736461978762362,-0.0519017428065146,-0.555673230689063,-0.169551801828279,-0.0832985231567551,-0.670382704917445,-0.792095194546006,0.329044119712871,0.0438595369374917,-0.388357058762141
"STRPN_Oxs_1 (GE) - TPM",-0.419828969235477,0.503750458595469,-0.559646848118019,0.0353967996090296,-0.344736854925777,-0.573159928880219,-0.251644292749299,-0.443875695929506,-0.382184872806417,-0.401355143858981,-0.474836520934909,-0.270763194832878,0.134425825619384,0.885134527532595,-0.395736800450564,-0.323565323248031,-0.443435352533951,-0.18432809403425,-0.171626283027238,-0.327469158411358,-0.37584074418871,-0.468190210521136,-0.474515745727564,-0.692805823543452,0.27102343929147,-0.567762979081416,-0.269918012214382,-0.315057912820106,-0.0730170079071399,-0.0979425188632511,0.0787594047896268,0.158215681745519
"STRPN_Oxs_2 (GE) - TPM",-0.441696680511914,0.595350227576692,-0.534875401753637,0.0286653079719459,-0.305140092773533,-0.435541828571114,-0.295103530582217,-0.436406078613351,-0.375480616756434,-0.441496761295812,-0.453071283039287,-0.299084844106298,0.0709904201371965,0.42038487601132,-0.354925914825591,-0.417651703566129,-0.426064982074027,-0.159820059696545,-0.125378073176634,-0.422008062556601,-0.423274316667279,-0.492688532502664,-0.483351295858694,-0.531413040244792,0.372017278773668,-0.502525492042846,-0.354272793817213,-0.350248450891422,-0.070451328286389,-0.0337776712441746,0.0569382208155985,0.130826222944304
"STRPN_Oxs_3 (GE) - TPM",-0.233378700667824,0.343220060958534,-0.568797634907365,0.0639108987366899,-0.282292569239381,-0.498497108069459,-0.314357368362123,-0.547194900778141,-0.510446953361695,-0.583715544371364,-0.446883381974335,-0.199149467632475,-0.19117217177405,0.0269216275593753,-0.54252458058556,-0.265083552060633,-0.263222841905676,-0.127196332868227,-0.26415505618992,-0.310487111724431,-0.373393073700479,-0.492752655567696,-0.493820871274549,0.0933073353293999,0.0142527924583013,-0.431431025157989,-0.238968209590676,-0.275615123824861,-0.0518539908099457,-0.443053873419964,-0.205419434005802,-0.15078836817398
"STRPN_Sp_1 (GE) - TPM",0.411698349848492,-0.166257568099385,-0.175487557676861,0.650094127542775,0.735219890175925,0.0531616650418853,-0.730799193572548,-0.838885606072681,-0.923083546993367,-1.03615296357975,-0.962339366604482,-1.08044563812751,-0.823864772851947,-1.37816355527131,-0.854025601250302,-1.2620970999997,-1.05297337157147,-1.17162382860659,-1.07834473053571,-0.946100156265147,-0.997683729905414,-0.556963139209802,-0.324311625648089,-0.205545763171182,0.868796147439922,-0.782265073392945,-0.346719958837483,-0.0952672612548409,-0.67466132846625,-0.694024590360405,-0.859255685730416,-0.823107925174104
"STRPN_Sp_2 (GE) - TPM",0.206337153875947,-0.522255441624332,-0.678656677949707,0.0271622237225194,0.469650206799196,-0.332176619679299,-1.08541609504464,-0.92635337638385,-0.91882326656949,-0.994847834946575,-0.962507841544505,-1.0853856914991,-1.08223036583355,-0.963181083828525,-1.1914985133136,-1.28699962970036,-1.10925205257719,-1.13049044053806,-1.04421666941776,-0.950784787376445,-0.860758481852385,-0.789545932729572,-0.492540125602462,-0.278294771432318,0.493226089942603,-0.917722840300452,-0.704798409115526,-0.378202413021783,-0.784525487154107,-0.772252786135204,-0.969791065305145,-0.730681210133142
"STRPN_Sp_3 (GE) - TPM",-0.244593847145597,-0.591862291673518,-0.658909665872062,0.0288631794182937,0.710061035109542,-0.354202847896032,-0.970399399360094,-0.886486489961087,-1.06779335406067,-0.977716973904522,-0.913195098055725,-1.04607060399935,-0.972475355730801,-1.52864428310775,-0.986906089548346,-1.22486605286393,-0.974901774101544,-0.833744326146682,-1.05449267131261,-0.934915555500355,-0.925004996970798,-0.945082803591732,-0.633394855569688,-0.401257988321631,0.0742120428313908,-0.854388000132537,-0.873916913700614,-0.398751705816803,-0.647238712166187,-0.863395661689079,-1.1294500454456,-0.850452506759702
"STRPN_Tm_1 (GE) - TPM",-1.05178221631961,-1.10917758891891,-0.337015552410356,-0.94747227436783,-1.37414329478246,-1.22872008922332,-1.30794710698001,-0.968370803639507,-0.961658914861467,-1.08730131656114,-0.944825974423295,-1.18736404249022,-1.09912631427901,-1.52864428310775,-1.16008844321961,-1.02241069995609,-0.892162837608799,-1.19966445547311,-1.07385293258683,-0.998002294419437,-1.0551595187836,-1.24718243942306,-1.28552176491425,-0.538954498587539,1.09332598167724,-1.35758773747065,-1.24081541746745,-1.18122045043321,-1.54208665762807,-1.21094350587141,-1.3745241721444,-1.30963779058204
"STRPN_Tm_2 (GE) - TPM",-0.198390784445805,-0.689799707603909,-0.507679909743284,-0.635846299315838,-1.27002119685144,-0.801200134505824,-0.992014360799066,-0.83033621215753,-0.68947469047084,-0.951671355044564,-0.848347274328826,-0.898622043638438,-1.30286026903336,-1.112478675179,-0.893335773834406,-1.08080440428311,-0.765285604987644,-0.980285383889502,-1.02350110476978,-0.902001104468695,-1.00379721124374,-1.24411532095778,-1.15845776447538,-0.279177157681448,0.759446516922982,-1.17398818761773,-0.972461565648271,-0.855475795069023,-1.18791624255553,-0.689734699536918,-1.16019003668053,-1.2568688598884
"STRPN_Tm_3 (GE) - TPM",-1.13723965276772,-0.790654630107146,-0.676452285876059,-0.510996250693062,-1.09828210910382,-0.689976797248583,-1.08975131719514,-0.923878074240693,-0.828305742490799,-0.993188273058667,-0.869686901333609,-1.27601275880515,-1.31962747154886,-0.186997512441077,-1.07707262401328,-0.956136935000603,-0.930874943758164,-1.06492228141715,-1.04759274359975,-0.970318041374658,-1.17843342113514,-1.13752816775164,-1.25612477053312,-0.449493996736001,2.49541706212064,-1.26204157338079,-1.0603278126176,-0.912215557953621,-1.53018672835031,-1.20773343823567,-1.32231270703055,-1.32601249012442
"STRPN_Vic_1 (GE) - TPM",-1.59177163158289,-1.34697840193711,-1.55869154597458,-1.76937374926445,-1.33503427380724,-1.31151212408489,-1.5129492893768,-1.23844643833125,-1.14584853048358,-1.24930955023959,-1.09381918977234,-1.5499939271509,-1.51118818034699,-1.23751408548084,-1.44435070887834,-1.41267792750273,-1.27592610704728,-1.4102063168014,-1.11153640579725,-1.03841381028938,-1.15153307143418,-1.35244718137701,-1.34416914344181,-1.34205912098396,1.06048089746336,-1.57563008037997,-1.66875593042535,-1.41068212024653,-2.01206482453152,-1.16840635293968,-1.68753349439035,-1.64635706234186
"STRPN_Vic_2 (GE) - TPM",-1.33128513160242,-1.48115977602455,-1.41877775593382,-2.08024036670983,-1.41148126530087,-1.2719414733253,-1.52369265491353,-1.24558853565016,-1.22770019373734,-1.2494604847176,-1.13653113368403,-1.63208996022894,-1.66530498442621,-1.52864428310775,-1.37833152237801,-1.39647963666595,-1.25663137731568,-1.50133120127362,-1.11555130193294,-1.11961666500897,-1.18843760717972,-1.29298392431328,-1.30275731741158,-1.30053877913064,0.542982578031759,-1.43784288610797,-1.6891129828479,-1.55388508253279,-1.7445802291661,-0.941905108063757,-1.6850484400589,-1.73574180839956
"STRPN_Vic_3 (GE) - TPM",-0.948423554478918,-1.23442951778669,-1.51395949667154,-1.54891146361819,-1.18445207493073,-1.09812887068851,-1.38857880031278,-1.13974223625198,-1.20614317573384,-1.26734125230933,-1.10784058687444,-1.30776930630264,-1.23469927068497,-1.52864428310775,-1.23455951587988,-1.35642729281122,-1.29219054177935,-1.4213336098125,-1.11480543167766,-1.06232082517307,-1.09124327904489,-1.19891652988924,-1.23724623095315,-1.49301864513407,0.780909563278201,-1.43710181742017,-1.55550662526657,-1.2876621259847,-1.76728475175517,-1.23221584388455,-1.53510711080537,-1.56453891623707
