"","VC0008","VC0062","VC0288","VC0301","VC0408","VC0859","VC0860","VC1035","VC1132","VC1133","VC1356","VC1390","VC1429","VC1700","VC1795","VC1951","VC2181","VC2297","VCA0185","VCA0244","VCA0245","VCA0286","VCA0313","VCA0338","VCA0340","VCA0349","VCA0422","VCA0504","VCA0919","VCA0964","VCA1109","VCA1111"
"Vibrio_Ns_3 (GE) - TPM",-0.341956047609396,-0.730613047134936,-0.567833632760952,-0.424838791578463,-1.35697316205451,-0.789056324471164,-0.534948309033341,-0.735741281112442,-0.88571637439045,-0.898243592610537,-1.5455023832294,-0.603920076099692,-1.5355417420776,-1.2615773089028,-0.507599126807563,-0.604554964868186,-1.37406335657711,-0.439227332941619,-0.555288174705013,-0.544312288168928,-0.545560470911323,-0.504444516314554,-0.62145402678856,-0.672564069180031,-0.744063934702646,-0.414659289081502,-0.923426105614023,-0.52274136516987,-0.492215692542404,-0.929186542857888,-0.608330497510642,-0.535470375505852
"Vibrio_Oss_1 (GE) - TPM",0.763435195088471,0.290119263901432,-0.208890266735773,0.172761362746364,0.217284975736742,-0.360874304127271,0.00207203421510118,-0.506657859539004,-0.223160370854839,-0.204719111743786,-0.307948135872811,-0.105234906905972,-0.355345736299694,-0.600334336267561,0.1193797303384,-0.244808724988804,-0.0758699995683903,0.618265018352652,-0.44099042186212,0.195367300332616,-0.0420955527337833,0.0174257098257127,-0.302160324702665,0.406871924631992,0.742710832423617,1.321095105017,0.0252866769863887,-1.01074215102193,-0.440011022195782,-0.0943815797707719,-0.529355962161401,0.120803941453359
"Vibrio_Oss_2 (GE) - TPM",1.7913178463917,0.666634069267832,-0.389478483243964,0.0352818698907825,-0.0994484038082896,0.812898290207688,0.473378091410929,-0.0759125990983187,-0.280381686394747,-0.162562804370369,0.161620583123214,-0.151176386800782,0.103215552920016,-0.0741848567052732,0.17917099890132,-0.458427233490207,-0.188217724886589,-0.306063489992029,-0.106755465334525,-0.270190218474719,0.243436307506332,0.0443541029353294,-0.570526480687074,1.01201854679556,1.32505635617215,-1.07381276537992,-0.313138159401567,0.98378340081584,-0.689755892125348,-0.0781526214412526,-0.368065074654132,-0.188823797209095
"Vibrio_Oss_3 (GE) - TPM",0.280614016453975,-0.557959951116669,-0.05152945327145,-0.424838791578463,-0.209432805806032,1.07331266440039,-0.78263227146208,-0.526156535466109,-0.351428020573966,-0.791444555581128,0.356731655648296,-0.002243484560523,-0.327416225152551,1.28837148504418,-0.562825661076949,-0.508120482253735,0.617259478982605,-2.02315075049394,-0.135803508567784,0.174670834858558,0.338549160058641,-1.07237989128384,-0.795408373596754,-0.790895440305989,-0.995138858419199,-0.147022266228171,-0.57176954703747,-0.477333347886664,-0.599355192098226,-0.799923868268969,0.35178071005381,-0.463081170634248
"Vibrio_Oxs_1 (GE) - TPM",-0.913451133705085,-0.49398654716617,1.1032111115186,-0.424838791578463,-0.982063776882792,0.221310288433952,-0.78263227146208,-0.427663599692989,-0.611683803479484,-0.328185131622014,-0.853866142090077,-0.761714775757663,-1.14069530771645,-0.327909048753448,-0.43072422316539,-0.314616919169593,-1.10728682286302,-0.713200774901047,-0.555288174705013,-0.679664947808728,0.201670560442965,-0.33719329369295,-0.628969398942004,-0.111580926955217,-0.731209985024906,-1.07381276537992,0.0551131162112333,0.176188633429607,-0.560681408252088,-0.624451818953354,-0.34413144331003,0.238599707282807
"Vibrio_Oxs_2 (GE) - TPM",-0.674516174693576,-0.878565497282034,-0.0543259565285704,-0.424838791578463,-1.28133662385275,-0.789056324471164,-0.78263227146208,-0.676097570879331,-0.767263641850805,-0.708553357543799,-1.07131362300547,-0.439335983747025,-0.998425455985705,-0.308100125783155,-0.321307501264831,-0.682524027553435,-1.18905114420388,-0.620501789534007,-0.387230682113535,-0.552823259488009,-0.481968399782022,-0.634078090721656,-0.469376168614502,-0.609773967038525,-0.956216559683254,-0.908416097049388,-0.492540290267834,-0.741481734590965,-0.777747350608829,-0.74218679542759,-0.633758933080661,-0.14585884053785
"Vibrio_Oxs_3 (GE) - TPM",-0.831207256578845,-0.0662169683822998,-0.314503228993272,-0.424838791578463,-0.887267048492341,-0.532576642338397,-0.78263227146208,-0.714501304524203,-0.643709378430216,-0.730910011421898,-1.15632095062582,-0.633139486139512,-1.30120108818221,-0.756334636433414,-0.562825661076949,-0.621010495934937,-1.38902401450906,-0.661249436180049,-0.555288174705013,-0.679664947808728,-0.684485966045105,-1.07237989128384,-0.541907032049221,-0.629948898358842,-0.720475455199346,0.187708116643028,-0.623394307634914,-1.01074215102193,-0.67177770927987,-0.718172522917259,-0.349326425197401,-0.809265476745561
"Vibrio_Sp_1 (GE) - TPM",1.39379289831876,-0.145800882723383,-0.685537233586106,-0.424838791578463,0.530229119033478,0.590759335210774,-0.169623531916782,-0.698564867029662,-0.146563631948324,0.800106203890856,0.146333376400621,0.41335025320954,0.0816291602956342,0.789878464548384,0.364246055709173,0.516534832683454,-0.40911601012014,-0.781018778458854,0.218821805035799,-0.230233509764248,0.0928812842610795,1.34341587286526,0.664652058068226,0.12590188288901,-0.588263799070824,0.907564819464449,1.63326422370771,1.20361045732381,-0.413076715640616,0.257939154100935,0.0256094870659774,0.241821908733998
"Vibrio_Sp_2 (GE) - TPM",-0.377029364798925,-1.17067707279324,0.173666577279126,-0.424838791578463,1.06449590497102,1.76224865914868,-0.78263227146208,0.0881248881290315,-0.115175195421079,-0.345170703818405,2.12208463806199,-0.113571382266513,-0.184127498138978,0.1260123822307,-0.562825661076949,0.551932066920885,0.0369058316589147,-0.270497086317497,1.99710818744937,-0.679664947808728,0.397727112908561,0.653449131604554,0.442506403959124,-0.179604913095447,-0.00301307510250762,-0.276357296072491,-0.401291422574202,-0.169295703109853,-0.226427632807076,0.693645076563014,-0.749583908786263,-0.45429924918673
"Vibrio_Sp_3 (GE) - TPM",1.10666583283998,-0.871715395045609,0.147273558607567,-0.424838791578463,0.894445342125857,1.1239994305806,1.70397198659967,-0.352900100637449,0.0272949094332585,0.894459412124835,1.24277541682298,-0.63778977040142,0.586888150561524,-0.0770866922965617,0.487697122977912,0.477793576978268,-0.500940649333933,0.0529033771250042,-0.00298191190773714,0.927811739065577,-0.521359425983832,0.551646234823279,-0.40148324513552,0.159487582918949,0.396763162053766,0.273672112701628,0.98235864969048,-0.00824012366713204,-0.373232846969358,0.935381096184996,0.369970975651127,0.989344368261745
"Vibrio_Tm_1 (GE) - TPM",-0.529327411979479,-0.472663233469877,-0.608237097906601,-0.0431848805018759,-0.340171607438756,-0.442136673318938,0.0806589956743365,-0.0737680805272806,0.32484528937979,0.72876591674561,-0.548084968852923,0.234501999888669,1.12245672180382,-0.352014202466067,0.115848981327658,0.547503203573145,0.195663200699951,-0.221888999991366,-0.462495674130546,0.104063444374956,0.0609776284930056,0.16646639381055,0.511863895757309,0.234673658510056,0.339527885868012,-1.07381276537992,0.23791104697691,0.786687542998726,0.92524902683017,-0.225099219087878,-0.582089385407392,-0.00838696108680432
"Vibrio_Tm_2 (GE) - TPM",-0.867662169910538,-0.396467408416617,-0.308422186320535,-0.424838791578463,-0.722206009249999,-0.727893761651538,0.315716901263957,-0.101550949432582,-0.380088965609613,-0.361971413199272,-0.0508071620128947,-0.418330113242409,0.252303585742315,-0.33948388834,-0.31092762194009,-0.196144682041563,0.398747096358619,0.00473990139087747,-0.0364587644710431,-0.448397107789404,-0.163473445141077,-0.574606340305682,-0.168215557067889,0.648385670718973,-0.0610480656880816,-0.423222381451583,-0.40195719691957,-0.45601110433669,-0.0917025536185637,-0.612273945577794,-0.427442950746209,-0.368237887300935
"Vibrio_Tm_3 (GE) - TPM",-0.69594595478533,-0.125252658269002,0.243470229234001,-0.424838791578463,-0.524698505956933,-0.406789424126521,-0.311910110410702,-0.127822731383964,-0.387333267771923,-0.188118167481286,-0.343423946757542,-0.0183763191160554,0.739612784427054,0.279506288889584,0.250596968640254,-0.158173588762495,1.06914768182101,0.196059589205939,-0.380007563685761,-0.336682189620469,-0.508467815988962,0.0228514332416604,-0.15782384239292,-0.543518428070493,0.501741300047242,0.158368837390942,-0.33692727609682,-0.14397288899057,0.0699099620645171,-0.645716004884895,0.357778191430456,-0.654567942118024
"Vibrio_Vic_1 (GE) - TPM",-0.383638153537458,0.0217176193599447,-0.144314255497781,-0.222558025331613,0.173382260303681,0.148843640715483,0.548862316302219,0.101210364464737,-0.0925117887294933,0.200271871746434,-0.144018626245191,-0.564316068783383,-0.272381253072471,-0.880118300896485,-0.0206865202034329,-0.0603259288512277,-0.488827469831792,0.280666310794312,0.177637136510603,0.0398262749158141,0.194395711639549,-0.00418676479259582,0.718822021133936,0.619639198131911,0.599374027409172,-0.210045978597164,0.0688120461533012,-0.240675769828801,-0.0481819646252641,-0.46139527762587,-0.531684243484273,-0.0786959693342466
"Vibrio_Vic_2 (GE) - TPM",-1.13593125577151,0.412825325906903,-0.259403267128266,-0.424838791578463,-0.194316495923023,-0.415741470887991,-0.0383582811796814,0.38189514685656,-0.165136903551366,-0.26970734087803,-1.16217902484466,-0.645304573148048,-0.366400479243742,-0.759568041023585,-0.562825661076949,-0.163585893958512,-0.168593065016242,-1.18550341059774,0.341347148044579,-0.0781208698865118,-0.226096362127033,1.19522433284879,-0.321005801552103,-0.288903005130226,1.6456578917914,-0.363277421475185,0.105162875341931,-0.507696536340948,0.234681464089727,-0.26137240537109,1.79715926308573,1.13704855879743
"Vibrio_Vic_3 (GE) - TPM",-0.43887103104913,-1.0227428108603,-0.735397880923501,-0.424838791578463,0.293413192452323,-0.417165444137983,1.74300470073191,0.126634053615627,-0.306218575353238,-0.141969539317785,-1.0351969500579,-0.51790924822572,-0.280747612444989,-0.473537138984823,0.328306113406527,-0.0888547942203904,-0.551013405796149,0.188846125420336,0.126803428283582,1.43504212969345,0.457116837287723,0.769438261291066,-0.0769715259669481,0.529764128625771,0.0599924227759797,-0.884921029572368,-0.754896182652893,-0.888088739410685,0.27497575318775,-0.646234646860221,-0.369707928614259,-0.311749711954898
