"","ETEC_RS27355","ETEC_RS01720","ETEC_RS01735","ETEC_RS01755","ETEC_RS02050","ETEC_RS03270","ETEC_RS05520","ETEC_RS06505","ETEC_RS06600","ETEC_RS06775","ETEC_RS09800","ETEC_RS10840","ETEC_RS10860","ETEC_RS11520","ETEC_RS12865","ETEC_RS12950","ETEC_RS13345","ETEC_RS30045","ETEC_RS14190","ETEC_RS30050","ETEC_RS14360","ETEC_RS14480","ETEC_RS14850","ETEC_RS30075","ETEC_RS15835","ETEC_RS15905","ETEC_RS17520","ETEC_RS28670","ETEC_RS18480","ETEC_RS19130","ETEC_RS20365","ETEC_RS21750","ETEC_RS23320","ETEC_RS24230","ETEC_RS24295","ETEC_RS25570","ETEC_RS26345"
"ETEC_Oss_1 (GE) - TPM",-0.369545748682907,0.0152781380964955,0.315188961271319,-0.326054329753315,-0.994119404559136,0.297524799192044,-0.118888555512908,1.29459971915088,-0.368856227158824,-0.248234958787802,-0.208418529106929,-0.323866607445284,-0.256873430463365,-0.213362611517221,-0.288979524524498,0.65302302741293,-1.1334794367329,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.77892764205535,-0.543669902855308,-0.722790361712273,1.90352052007059,-0.195926659735563,-0.808257841604143,0.0578851723117913,-0.175625452691111,-0.794283029353273,-0.420093392383426,1.00115869775835,1.13570753152336,-0.496968048190593,-0.249190075688745,-0.321034853186289,-0.639116217668256,-1.21889829834698
"ETEC_Oss_2 (GE) - TPM",-0.369545748682907,-0.115460739597202,-0.344695729508186,-0.326054329753315,-1.06978569093442,0.307233562335259,-0.390404300785581,-0.338949096446522,-0.368856227158824,-0.539565591778825,0.344726692459682,0.725993839007151,0.0838584703303612,0.793160631130101,0.183261433457864,-0.00881283412807903,0.0252995581612455,-0.255915428255236,-0.0172029329642965,-0.184638426888044,-0.393567100825682,-0.687739405089318,-0.423911778412072,1.01098566124134,-0.0129701893259968,-0.583444743404202,0.366853362942027,-0.175625452691111,-0.566760235841655,-0.420093392383426,0.479913978268132,1.53493196719121,0.450108673838551,-0.0501802582178597,-0.55379356487507,-0.168777307725467,-1.08313746918818
"ETEC_Oss_3 (GE) - TPM",-0.369545748682907,-0.389960708655048,0.349121482909631,-0.326054329753315,0.179533009222756,-0.306730063281066,-0.670787591032996,-0.338949096446522,-0.368856227158824,-0.0833015162103257,-0.904726535512644,-0.581164113916749,3.4049977882583,0.825532377924793,-0.404715307847527,0.484248354703611,-0.782674914487261,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.77892764205535,-0.378164739826987,-0.522617058088837,2.93491518136194,-0.545012944945783,-0.417408721065561,1.66260244212448,-0.175625452691111,-0.618013842784106,-0.420093392383426,1.76502371961782,-0.830911166808195,-0.682800396929014,0.0305703095855453,1.67841331483304,-0.639116217668256,0.376111776223997
"ETEC_Oxs_1 (GE) - TPM",-0.369545748682907,0.109597191238342,-0.614625460321675,-0.326054329753315,0.530900020004775,-0.306730063281066,-0.0584697620153331,-0.338949096446522,-0.368856227158824,0.467891200070047,-1.14378655552944,-0.581164113916749,-0.180037422218193,-0.817091787586279,-0.404715307847527,0.0970557430178949,0.503754862065767,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.77892764205535,0.260391701813951,2.00591768296516,-0.382922177113229,-0.545012944945783,-0.561152237579255,0.115007352071345,-0.175625452691111,-0.598211673667088,-0.420093392383426,-0.17894555576046,-0.490411242732959,0.691707775945319,1.19486432708066,-0.476273330361675,-0.149995125604229,0.672732932229334
"ETEC_Oxs_2 (GE) - TPM",-0.369545748682907,-0.389960708655048,-0.614625460321675,-0.326054329753315,-0.449991060843817,-0.306730063281066,-0.273907048092094,-0.338949096446522,0.171293969284953,1.2266608590471,-0.974778944007304,-0.581164113916749,-0.586996923387134,-0.817091787586279,0.0114231291535317,0.46967793753755,0.556404288935059,-0.255915428255236,-0.24568325095994,-0.184638426888044,1.94844781444373,1.18319378692981,-0.532865521501191,-0.382922177113229,-0.545012944945783,-1.08884012755758,2.15745988316478,-0.175625452691111,0.130205771676891,-0.420093392383426,-0.318941782578974,-1.61087705945624,-0.682800396929014,0.468584219971509,-0.917302271816691,-0.401344301695531,1.38639219109645
"ETEC_Oxs_3 (GE) - TPM",1.18206101560623,0.937058726701496,1.56025031048516,-0.326054329753315,1.11565275728025,-0.306730063281066,-0.490059422232689,-0.338949096446522,-0.368856227158824,0.224257342558286,-0.876910780446021,-0.581164113916749,0.494045269885806,-0.817091787586279,0.732270705477954,-0.789281337896609,-1.01496835393597,-0.255915428255236,-0.24568325095994,-0.184638426888044,1.08402676791894,0.543251465593343,0.27850500588355,1.11454230503353,-0.545012944945783,3.13271308399797,-0.242929375202906,-0.175625452691111,1.00698080020129,-0.420093392383426,-0.341961266153838,0.0287411812930763,-0.682800396929014,-0.463196273097479,2.20681461589488,-0.639116217668256,0.0203986866629669
"ETEC_Sp_1 (GE) - TPM",-0.369545748682907,0.878312679422973,-0.614625460321675,-0.326054329753315,-0.875693299594501,1.11161932729352,0.106486082377832,-0.338949096446522,0.336384572717146,-0.61386693244329,0.654545824840549,0.626729388840689,0.962781107716822,0.245744809601245,-0.404715307847527,-0.0962660293205911,-0.0980431711401687,-0.255915428255236,-0.24568325095994,-0.184638426888044,1.44667606693995,-0.939209144064086,-0.369554035318996,-0.382922177113229,-0.545012944945783,-0.13363499150751,-0.950587875727769,-0.175625452691111,-0.318447980860255,3.11465787654664,-0.240116944789728,-0.867464295918234,-0.682800396929014,-0.869375649505161,0.202378289037141,0.292216163692694,-0.555849947371867
"ETEC_Sp_2 (GE) - TPM",-0.369545748682907,-0.389960708655048,-0.614625460321675,-0.326054329753315,0.272049954421004,-0.306730063281066,-0.040200174345537,-0.338949096446522,-0.368856227158824,-0.61386693244329,-0.399233626069075,-0.581164113916749,-0.586996923387134,0.907426634328541,-0.404715307847527,0.134575207925244,-1.24094853127636,-0.255915428255236,-0.24568325095994,-0.184638426888044,0.304426452075508,0.535466473187763,-0.313129582282787,-0.382922177113229,-0.545012944945783,-0.438386710302508,-0.127546013275509,-0.175625452691111,-0.43354275544031,-0.420093392383426,-0.576844114651156,-2.07225826281425,-0.682800396929014,-0.160765571137104,-0.917302271816691,-0.639116217668256,-0.653824365757794
"ETEC_Sp_3 (GE) - TPM",-0.369545748682907,-0.389960708655048,0.648358726652817,-0.326054329753315,-0.865535214627531,-0.306730063281066,4.05203704324136,2.24974385860492,-0.368856227158824,0.776738216566912,-0.467018627189646,-0.581164113916749,1.50559646132972,2.05310612151749,-0.404715307847527,0.994911982586102,-0.398194533450913,-0.255915428255236,4.03049674116094,-0.184638426888044,0.122611192276144,0.636136241608915,0.215575009435601,-0.382922177113229,-0.545012944945783,1.95828479711646,-0.950587875727769,-0.175625452691111,-0.301719118508535,3.1595146099142,0.105156501891735,1.99468525273249,1.08413630111045,-0.869375649505161,-0.917302271816691,-0.639116217668256,-0.473896695012599
"ETEC_Tm_1 (GE) - TPM",-0.369545748682907,-0.245073746712035,-0.329676075763647,0.116846575119298,-0.761710613442162,0.665459383986181,0.690741612629895,-0.338949096446522,0.114542058119726,-0.0648171899618101,0.723210009052028,0.246771037735444,-0.350935695282172,0.397087796441823,-0.280576621965076,0.784687680310504,1.20091423660542,-0.255915428255236,-0.24568325095994,0.480273316077407,0.339780860296865,-0.792758718995132,-0.268540927610834,-0.382922177113229,0.203849881311138,0.293089028849928,-0.641532898794471,-0.175625452691111,-0.431927800548946,0.387523288553805,0.154039435155319,0.0381466390393357,0.51314693930097,-0.470247461860523,-0.149831553109817,0.708553503781968,-0.247167507992275
"ETEC_Tm_2 (GE) - TPM",-0.369545748682907,-0.389960708655048,-0.614625460321675,0.373809582649223,0.202334704137204,-0.306730063281066,-0.109536228923535,-0.338949096446522,-0.114237183100494,-0.427952997120894,0.387655827264616,0.727123875320877,-0.213977286165601,0.461991132258858,-0.404715307847527,2.29741819890939,0.640320811664915,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.618221940064096,-0.668066895606055,-0.193121743888636,-0.382922177113229,0.342491564646584,-0.193756949795562,-0.0959525839310134,-0.175625452691111,0.148072835683544,0.217997164334803,-0.151344022038974,0.392611089978559,-0.0528623584143529,-0.65914396118237,-0.108806806779394,-0.0787048877137603,0.087976876189019
"ETEC_Tm_3 (GE) - TPM",-0.369545748682907,-0.389960708655048,-0.614625460321675,0.299724073878313,-1.03014329601355,-0.306730063281066,-0.168948626185427,-0.338949096446522,-0.141190396588553,-0.281399652655058,0.393932632852633,-0.581164113916749,0.413601745621336,-0.359618582720852,-0.229318716837832,1.58784514549172,1.60011895178186,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.347846016628478,-0.224617799861949,0.25362506547494,-0.382922177113229,0.777580265724341,-0.219320820875511,-0.0772551377896357,-0.175625452691111,-0.785582876981113,0.150450799072218,-0.142035062895937,0.0668654328983898,0.725336288769626,-0.493421273426858,0.167063543923714,1.26501763519775,0.497864206779041
"ETEC_Vic_1 (GE) - TPM",4.20283667838538,4.82410983606641,4.51263435073348,3.65863230797512,3.26010421620372,5.52432643534463,3.05728852491365,4.91563029044494,5.42985454935458,4.678653231376,4.39850325495615,4.38467526711722,3.66058989266967,4.28064388549296,5.17953342765124,3.21453027778919,3.578711981401,5.28881424417311,4.09425347348138,5.79743319811608,3.79597507708272,3.31760387007244,3.70572442229117,4.02991001578773,4.50800850457821,2.89873548363807,3.22016642469763,5.82493618645131,4.12155320467719,3.21288563466119,4.96050843323935,2.88083843966857,4.69704339677804,4.51693335795257,3.68587988815873,4.46602150487037,4.2883798334496
"ETEC_Vic_2 (GE) - TPM",-0.369545748682907,-0.389960708655048,1.4992878201761,-0.326054329753315,-1.67615966067541,-0.306730063281066,-0.670787591032996,-0.338949096446522,-0.368856227158824,2.29553082784726,1.2471283441306,-0.581164113916749,-0.586996923387134,-0.817091787586279,1.43714455458068,-1.16043498759122,-2.02096259409921,-0.255915428255236,-0.24568325095994,-0.184638426888044,-0.77892764205535,-1.09605967851082,-0.41073327204858,-0.382922177113229,-0.545012944945783,-1.3835278218886,-0.950587875727769,-0.175625452691111,-1.07809417009014,-0.420093392383426,0.564650905772108,-0.710853109020001,-0.682800396929014,2.0915796008161,0.980539511265978,0.413280074810986,-0.598145543423217
