"","B4U56_RS00365","B4U56_RS00810","B4U56_RS01630","B4U56_RS01665","B4U56_RS01700","B4U56_RS01905","B4U56_RS02800","B4U56_RS03290","B4U56_RS04350","B4U56_RS04355","B4U56_RS04360","B4U56_RS04365","B4U56_RS04370","B4U56_RS04480","B4U56_RS05300","B4U56_RS05710","B4U56_RS06270","B4U56_RS06640","B4U56_RS08400","B4U56_RS08900","B4U56_RS08940","B4U56_RS08945","B4U56_RS12245","B4U56_RS09245","B4U56_RS09850","B4U56_RS11150","B4U56_RS11155","B4U56_RS11160","B4U56_RS11165","B4U56_RS11390","B4U56_RS11920","B4U56_RS11925","B4U56_RS11930","B4U56_RS11935"
"SEPI_Oss_2 (GE) - TPM",-0.325381085836216,-0.952746321992842,0.382343677318843,-1.5132199088221,-0.658463158818834,-0.522935389913331,-1.20336019343647,1.08881712693971,-0.796539433665497,-0.434432402939265,-0.890395444020356,-0.777529710881519,-0.75558381951422,-0.749942046785623,-0.0656205807816708,-0.689434977599366,-0.746664783046531,0.714693497950881,1.75369246328901,0.966683209738482,-0.17991417543352,-0.662107391676933,-0.244169663361903,-0.125392016788496,-0.399717348355071,-0.469522938240459,-0.0131248720011601,0.360000227597811,0.162421247935177,-0.735570473443381,-0.581691939895026,-0.565149850748611,-0.705080936338391,-0.967309303197026
"SEPI_Oss_3 (GE) - TPM",-0.649368370320324,-0.349670731372698,-0.066982665498214,-1.8078071646849,1.56258193014842,-0.488627777452943,2.07000367479988,0.414945783832731,-0.784822333860326,-0.666033170984249,-0.649730912181528,-1.00531708093675,-0.936141225235376,0.0774827249076741,0.607581694613083,-0.788099974940221,2.20065151309002,-0.105559813828529,1.23585653152871,-0.348552332077986,-0.893989244477761,-0.846402298264239,-0.244169663361903,-0.401350263947252,-0.485415971149017,-0.554833643712927,-0.423075521955411,-0.260701798530108,-0.301634022656489,-0.581159526860756,-0.463225730278268,-0.633547645424849,-0.51391374269719,-0.971195206114411
"SEPI_Oxs_1 (GE) - TPM",-0.784235357693723,-0.787062997886694,-0.876090941704238,0.222391697980594,-0.658463158818834,0.181029630460935,-1.40775905614269,-0.834883841606427,-1.37430350920678,-1.30062546835702,-1.06085576881959,-1.02414069662389,-0.983661658371077,-0.0786936540793096,-1.09619214520636,-0.808912529225063,0.143023656338994,-0.546581346541742,-0.386109234473001,0.259356694827472,-0.940255351574592,-0.952524928918354,-0.244169663361903,-0.668861147580388,-0.729504236389176,-0.675300486451064,-0.812872432666924,-0.872756987196512,-0.879370770680432,-0.716813360981143,-0.632033650082768,-0.519519306581683,-0.53148444651818,-0.437803303002519
"SEPI_Oxs_2 (GE) - TPM",1.33865178865585,-0.411883964133278,-0.551561579612331,-0.466738777587785,-0.658463158818834,0.209636012798105,-0.878522064690052,0.0571120065701418,0.379567630272338,0.630095963359155,0.515644457175089,-0.517686318388515,-0.784142991947911,-2.18709129808214,-0.13519668784385,0.764891319436173,-2.20783717852278,0.35920901258201,0.233252585508328,0.0285304802585189,2.13383841783289,1.73291382892355,-0.244169663361903,1.10153662317166,1.31274956057642,0.00382555434245207,1.18847991659535,1.31214144946415,1.4816653116749,0.153530429598233,0.358422134687741,1.14823841386801,0.947128188278641,0.603863357704296
"SEPI_Oxs_3 (GE) - TPM",0.472219674675105,-0.73445434549748,-0.90280503338317,-0.449653883833427,-0.320598138374545,0.523432301898503,-0.928083096465366,-0.0902699158891006,-0.42393798719832,0.0756886695459668,-0.156811801894173,-0.542217397792113,-1.05647420755386,-0.920509276106424,-0.339582355838015,0.464043845080185,-0.754830238146303,-0.310108613073065,-0.317092590708061,1.45298977668449,0.423299195942876,0.476598729122944,-0.244169663361903,0.214818803257221,0.343836851094363,-0.416257584162946,0.0781968703842819,0.196025407433007,0.582341446797168,-0.160064737212993,-0.135173862041336,0.249822018612665,-0.108426694743052,-0.203622095489725
"SEPI_Sp_1 (GE) - TPM",-0.751762515472887,0.662603591194826,0.483007931476948,1.33644536685678,-0.363506736853337,0.708945060495565,-0.585443497234376,0.164499079999246,1.01358238429672,0.6433732347327,0.199715796784214,0.732649673588581,0.974970250376779,-0.9224777520351,-0.890510071478432,-0.316971633903276,0.719415530886622,-1.17318946098343,-1.55088665627906,-1.00065565477168,-1.07653448746911,-0.915823183541143,2.469474956772,-0.577437594760757,-0.803574972895926,-0.470652259536966,-0.67194461148214,-0.757521846525279,-0.756667304918778,-0.550590968415362,-0.301644362042044,-0.786394903044557,-0.804367674436415,-0.455368771037946
"SEPI_Sp_2 (GE) - TPM",-0.763105525411302,0.631057051105856,0.647825302943848,-0.664491542504965,0.475617022986301,0.815426092956829,0.805547288167341,-0.0294507234794379,0.457306889882958,-0.221726183338478,-0.116321471388125,0.155751982817834,0.759922627107461,-0.799970466696463,-1.55072240780005,-0.182456720170988,-0.89475196458037,-0.874790265020597,-1.50431640295444,-0.764876123209887,-0.978452870896036,-0.959469260331842,-0.244169663361903,-0.433911331017717,-0.790164747342145,-0.276065251618223,-0.609927722275027,-0.626952731899593,-0.677308718508636,-0.556357706414367,-0.0647208962399098,-0.814106636926285,-0.753116170771673,-0.206400877494954
"SEPI_Sp_3 (GE) - TPM",-0.608823140425419,0.553580647974415,0.23540040339618,1.52319123157763,0.163118464050771,1.78662796007838,0.164020088673288,0.510143379439467,0.861650085352476,0.814275796042912,0.942486160472142,0.860306154926437,1.94890060249078,-0.327109065314238,-0.626776364207059,-0.603155892121906,2.54846973213399,-0.795450277400367,-1.24918137655596,1.43658226708439,-1.01737577130982,-0.896162063521235,-0.244169663361903,-0.540754291384144,-0.838759340109658,-0.428466002495547,-0.658541435952756,-0.756527163702117,-0.698192493723977,-0.48694929322174,-0.501313609027224,-0.737184334551516,-0.730073639954306,-0.258211626751631
"SEPI_Tm_1 (GE) - TPM",-0.761346080067287,0.684472761730786,-0.281237899443263,-0.369281116032813,-0.153805955652208,-0.835409604345275,1.00564389495167,0.775007499250542,-0.478966440909549,0.075121980865013,-0.3529813408386,-0.172382368188432,0.309946807523189,0.501123336125694,-0.452062608634113,0.0415767940403104,0.658079474726876,-0.27895974693441,-0.52653887536284,-0.024354014399306,0.478199047642111,0.302358438073997,-0.244169663361903,-0.665652466669923,-0.775921591455834,-0.509616446574243,-0.607763453834316,-0.466122962410576,-0.45443566605552,-0.604027281523744,-0.662745933317292,-0.725601916283516,-0.591440558193675,0.045081363447932
"SEPI_Tm_2 (GE) - TPM",-0.736981634246919,0.379995947345705,0.0139844314126279,0.206577835080343,-0.462543955015447,-0.491427201266982,-0.36389221963687,-0.130939788104381,-0.437708124969992,-0.405229529911667,-0.57708078103535,-0.681295054872649,-0.634700456377126,0.134291282179826,-0.0145869394859645,-0.421587402677081,0.222627870574337,-0.656767241076173,-0.669479703891017,-0.656008609346961,-0.00368979090539862,0.119644752726548,-0.244169663361903,-0.660038262648816,-0.717811428780375,-0.49425171648189,-0.62170781887403,-0.495199692901427,-0.477369567058467,-0.4415790170547,-0.630840645124214,-0.689221090489561,-0.743377132427032,-0.237374443097681
"SEPI_Tm_3 (GE) - TPM",-0.735287473107362,0.150404409645567,-0.26080037739633,-0.207388356767045,1.21669231683157,-1.22842112552995,0.898117787137933,0.41217691465074,-0.0316748831000822,-0.308832646146174,-0.740187225664562,-0.661102151354855,-0.00676090978561317,0.122862979555421,-0.129658677825904,-0.0536590990039532,0.583619561007024,-0.432116759445984,-0.682153244573621,0.148983031368962,0.382395380753478,0.170089308099553,-0.244169663361903,-0.653683014587711,-0.612176411252355,-0.465744898583042,-0.563125692491629,-0.443059559734681,-0.337805393163768,-0.584238745630948,-0.569469920597758,-0.71903117163088,-0.716551432885728,-0.399944865062243
"SEPI_Vic_1 (GE) - TPM",3.42026309824147,2.73959523333439,-0.09740648387886,1.28583671567661,0.7501269329296,3.00206225101991,0.503460254024577,-0.00864407665565223,1.64741477525211,1.39659457935452,1.84252770509851,1.90636689293899,0.968322928678695,-1.76631210097725,2.21000637453444,-0.00701218509986341,-1.04289131594914,1.3702961125001,-0.154899665598759,1.14813786511536,1.50961266137007,1.46826774619203,-0.244169663361903,3.10876925868629,2.14404132140965,1.90199347107854,1.96935657164647,1.56023555840844,1.16999271060203,3.08621267643099,0.737589050486274,0.982505352165171,1.93139882498747,1.52130314347442
"SEPI_Vic_2 (GE) - TPM",2.72764847852746,3.05384221901463,0.141820896946116,1.67056759937105,-0.658463158818834,0.900476254325639,-0.633596145596879,0.614804468728071,0.858550631881443,1.97455190245037,2.01443760159405,1.84049952765053,1.53191770014121,-2.06197256570634,1.89675123520785,-0.422637261084045,-0.658645810626132,1.05746447495424,-0.00303553433559367,2.3064843569781,1.03512178232801,1.9781111499504,-0.244169663361903,3.05200773294139,2.50704247434672,1.84384382799421,1.92262247402596,1.69071595818432,1.05462606056121,2.82977481409289,-0.137129879934774,1.17518600583991,1.52973488518167,1.88343834335817
"SEPI_Vic_3 (GE) - TPM",-0.533738619723969,-0.651457122601815,-0.452689280095778,-0.167028623948172,1.28498986360551,-0.549174498932594,2.0387368925332,0.11380420064212,1.20534945894913,0.508137022897086,0.549392058778421,0.795557116779156,0.545337155168878,1.53064732718791,0.119755384839015,-0.416197947954317,0.116556353557505,-0.440120873158722,-0.427023437915063,-0.467017584674661,-0.314719470797238,0.295003243581113,-0.244169663361903,-0.443915784356628,-0.3751168504686,-0.543830019992304,-0.61581728459197,-0.573307647697562,-0.364272316529394,0.284734413449684,-0.563418979033222,-0.327786155131258,-0.391127673817629,-0.435772702435775
